Pathway,both,humann2,mpro,num_Ecs,sample
Acarbose and validamycin biosynthesis,2.0,0.0,0.0,14,cow_ec
Aflatoxin biosynthesis,1.0,0.0,0.0,13,cow_ec
"Alanine, aspartate and glutamate metabolism",21.0,2.0,1.0,50,cow_ec
Amino sugar and nucleotide sugar metabolism,27.0,1.0,9.0,119,cow_ec
Aminoacyl-tRNA biosynthesis,22.0,1.0,1.0,31,cow_ec
Aminobenzoate degradation,2.0,1.0,1.0,51,cow_ec
Arachidonic acid metabolism,0.0,1.0,0.0,26,cow_ec
Arginine and proline metabolism,15.0,4.0,8.0,86,cow_ec
Arginine biosynthesis,15.0,2.0,3.0,28,cow_ec
Ascorbate and aldarate metabolism,4.0,2.0,5.0,46,cow_ec
Atrazine degradation,1.0,1.0,0.0,10,cow_ec
Benzoate degradation,4.0,5.0,4.0,69,cow_ec
Biosynthesis of ansamycins,1.0,0.0,0.0,4,cow_ec
Biosynthesis of antibiotics,128.0,17.0,18.0,496,cow_ec
Biosynthesis of secondary metabolites,193.0,24.0,25.0,778,cow_ec
Biosynthesis of siderophore group nonribosomal peptides,1.0,0.0,2.0,6,cow_ec
Biosynthesis of unsaturated fatty acids,2.0,0.0,0.0,16,cow_ec
Biosynthesis of vancomycin group antibiotics,1.0,0.0,0.0,10,cow_ec
Biotin metabolism,11.0,0.0,1.0,20,cow_ec
Butanoate metabolism,12.0,6.0,2.0,55,cow_ec
C5-Branched dibasic acid metabolism,6.0,0.0,0.0,22,cow_ec
Caprolactam degradation,0.0,1.0,2.0,21,cow_ec
Carbapenem biosynthesis,2.0,0.0,0.0,5,cow_ec
Carbon fixation in photosynthetic organisms,16.0,0.0,1.0,25,cow_ec
Carbon fixation pathways in prokaryotes,20.0,1.0,5.0,50,cow_ec
Chloroalkane and chloroalkene degradation,1.0,1.0,1.0,17,cow_ec
Chlorocyclohexane and chlorobenzene degradation,0.0,1.0,2.0,21,cow_ec
Citrate cycle (TCA cycle),15.0,2.0,1.0,26,cow_ec
Cyanoamino acid metabolism,4.0,0.0,1.0,30,cow_ec
Cysteine and methionine metabolism,30.0,5.0,2.0,76,cow_ec
D-Alanine metabolism,3.0,0.0,0.0,6,cow_ec
D-Glutamine and D-glutamate metabolism,4.0,0.0,0.0,12,cow_ec
Dioxin degradation,1.0,0.0,0.0,13,cow_ec
Drug metabolism - cytochrome P450,2.0,0.0,0.0,8,cow_ec
Drug metabolism - other enzymes,13.0,4.0,1.0,25,cow_ec
Ether lipid metabolism,0.0,2.0,0.0,23,cow_ec
Ethylbenzene degradation,1.0,0.0,0.0,6,cow_ec
Fatty acid biosynthesis,8.0,1.0,2.0,17,cow_ec
Fatty acid degradation,4.0,0.0,4.0,29,cow_ec
Fatty acid elongation,1.0,0.0,1.0,13,cow_ec
Flavone and flavonol biosynthesis,0.0,1.0,0.0,32,cow_ec
Fluorobenzoate degradation,0.0,0.0,2.0,14,cow_ec
Folate biosynthesis,16.0,0.0,5.0,51,cow_ec
Fructose and mannose metabolism,19.0,2.0,5.0,75,cow_ec
Galactose metabolism,17.0,2.0,1.0,48,cow_ec
Geraniol degradation,1.0,0.0,1.0,10,cow_ec
Glucosinolate biosynthesis,1.0,0.0,0.0,15,cow_ec
Glutathione metabolism,12.0,1.0,3.0,39,cow_ec
Glycerolipid metabolism,10.0,2.0,4.0,40,cow_ec
Glycerophospholipid metabolism,14.0,4.0,3.0,61,cow_ec
"Glycine, serine and threonine metabolism",21.0,3.0,4.0,68,cow_ec
