Pathway,both,humann2,mpro,remaining,num_Ecs,num_Ecs,num_Ecs,num_Ecs,sample,,,,Both,HUMAnN2,MetaPro,Remaining
Biosynthesis of terpenoids and steroids,1,0,0,0,1,1,1,1,kimchi_ec,,,Biosynthesis of terpenoids and steroids,100,0,0,0
Lipoic acid metabolism,2,0,1,0,3,3,3,3,kimchi_ec,,,Lipoic acid metabolism,66.66666667,0,33.33333333,0
Photosynthesis,2,0,1,0,3,3,3,3,kimchi_ec,,,Photosynthesis,66.66666667,0,33.33333333,0
Relaxin signaling pathway,1,0,0,0,1,1,1,1,kimchi_ec,,,Relaxin signaling pathway,100,0,0,0
T cell receptor signaling pathway,2,0,0,0,2,2,2,2,kimchi_ec,,,T cell receptor signaling pathway,100,0,0,0
Th1 and Th2 cell differentiation,1,0,0,0,1,1,1,1,kimchi_ec,,,Th1 and Th2 cell differentiation,100,0,0,0
Thermogenesis,1,0,0,0,1,1,1,1,kimchi_ec,,,Thermogenesis,100,0,0,0
beta-Lactam resistance,1,0,0,0,1,1,1,1,kimchi_ec,,,beta-Lactam resistance,100,0,0,0
Brassinosteroid biosynthesis,0,0,1,1,2,2,2,2,kimchi_ec,,,Brassinosteroid biosynthesis,0,0,50,50
Human cytomegalovirus infection,1,0,0,1,2,2,2,2,kimchi_ec,,,Human cytomegalovirus infection,50,0,0,50
Human papillomavirus infection,1,0,0,1,2,2,2,2,kimchi_ec,,,Human papillomavirus infection,50,0,0,50
Other glycan degradation,4,3,1,1,9,9,9,9,kimchi_ec,,,Other glycan degradation,44.44444444,33.33333333,11.11111111,11.11111111
Oxidative phosphorylation,9,0,1,1,11,11,11,11,kimchi_ec,,,Oxidative phosphorylation,81.81818182,0,9.090909091,9.090909091
PI3K-Akt signaling pathway,1,0,0,1,2,2,2,2,kimchi_ec,,,PI3K-Akt signaling pathway,50,0,0,50
Synthesis and degradation of ketone bodies,4,0,1,1,6,6,6,6,kimchi_ec,,,Synthesis and degradation of ketone bodies,66.66666667,0,16.66666667,16.66666667
Betalain biosynthesis,0,0,1,2,3,3,3,3,kimchi_ec,,,Betalain biosynthesis,0,0,33.33333333,66.66666667
