taxa_id,name,reads,genes
Can't find,archaeon GW2011_AR11,2,1
Can't find,synthetic construct,125,1
Can't find,Archaea,24,1
Can't find,Cloning vector pFosill-1,27,1
Can't find,archaeon GW2011_AR18,1,1
Can't find,uncultured prokaryote,3,1
Can't find,archaeon GW2011_AR15,1,1
Can't find,archaeon GW2011_AR20,2,1
Can't find,miscellaneous Crenarchaeota group-15 archaeon DG-45,6,1
Can't find,Candidatus Bathyarchaeota archaeon B25,1,1
Can't find,Candidatus Thorarchaeota,8,1
Can't find,miscellaneous Crenarchaeota group-6 archaeon AD8-1,2,1
Can't find,Lokiarchaeum sp. GC14_75,4,1
Can't find,Candidatus Bathyarchaeota archaeon RBG_13_60_20,1,1
Can't find,Candidatus Woesearchaeota archaeon CG1_02_57_44,3,1
Can't find,archaeon GW2011_AR5,1,1
Can't find,Candidatus Bathyarchaeota,3,1
Can't find,miscellaneous Crenarchaeota group archaeon SMTZ-80,15,1
Can't find,archaeon GW2011_AR4,1,1
Can't find,miscellaneous Crenarchaeota group archaeon SMTZ1-55,2,1
Can't find,archaeon GW2011_AR17,1,1
Can't find,miscellaneous Crenarchaeota group-1 archaeon SG8-32-1,1,1
Can't find,Candidatus Micrarchaeum acidiphilum,11,1
Can't find,archaeon RBG_16_50_20,2,1
Can't find,Candidatus Bathyarchaeota archaeon RBG_13_46_16b,4,1
Can't find,archaeon GW2011_AR3,2,1
Can't find,Candidatus Micrarchaeota archaeon CG1_02_55_22,2,1
Can't find,Candidatus Korarchaeum cryptofilum,1,1
Can't find,Candidatus Thorarchaeota archaeon SMTZ1-83,4,1
Can't find,Candidatus Micrarchaeota archaeon CG1_02_47_40,2,1
Can't find,Sulfolobus sp. A20,1,1
Can't find,Candidatus Micrarchaeota archaeon RBG_16_36_9,1,1
Can't find,Candidatus Woesearchaeota archaeon CG1_02_47_18,5,1
Can't find,Ignicoccus islandicus,1,1
Can't find,Metallosphaera cuprina,3,1
Can't find,Candidatus Micrarchaeota archaeon RBG_16_49_10,1,1
Can't find,Caldisphaera lagunensis,2,1
Can't find,Desulfurococcus amylolyticus,2,1
Can't find,Candidatus Micrarchaeota archaeon CG1_02_51_15,1,1
Can't find,Acidilobus saccharovorans,1,1
Can't find,Sulfolobales,3,1
Can't find,Acidilobus,47,1
superkingdom,uncultured organism,11148,1
Can't find,uncultured archaeon,44,1
superkingdom,unidentified,1,1
Can't find,Ignisphaera aggregans,16,1
Can't find,Thermogladius calderae,1,1
Can't find,Pyrobaculum sp. WP30,1,1
Can't find,uncultured marine group II/III euryarchaeote AD1000_02_G03,1,1
Can't find,Candidatus Parvarchaeum acidophilus,2,1
Can't find,Thermofilum pendens,2,1
Can't find,Euryarchaeota,28,1
Can't find,Sulfolobus solfataricus,1110,1
Can't find,Staphylothermus hellenicus,2,1
Can't find,Staphylothermus,1,1
Can't find,Marine Group III euryarchaeote CG-Bathy1,61,1
Can't find,Vulcanisaeta,1,1
Can't find,uncultured marine group II/III euryarchaeote KM3_87_G01,2,1
Can't find,Thermoprotei,2,1
Can't find,Euryarchaeota archaeon RBG_19FT_COMBO_56_21,1,1
Can't find,Ignicoccus hospitalis,3,1
Can't find,Sulfurisphaera tokodaii,1,1
Can't find,Euryarchaeota archaeon RBG_16_67_27,1,1
Can't find,uncultured marine group II/III euryarchaeote KM3_147_B09,2,1
Can't find,Archaeoglobus sulfaticallidus,1,1
Can't find,Euryarchaeota archaeon SM23-78,1,1
Can't find,Candidatus Altiarchaeales archaeon WOR_SM1_SCG,1,1
Can't find,Candidatus Altiarchaeales archaeon IMC4,2,1
Can't find,Hadesarchaea,2,1
Can't find,Hadesarchaea archaeon YNP_N21,1,1
Can't find,Candidatus Altiarchaeales,1,1
Can't find,Vulcanisaeta sp. JCM 16159,1,1
Can't find,uncultured marine group II/III euryarchaeote AD1000_88_G11,1,1
Can't find,Sulfolobus islandicus,2,1
Can't find,Archaeoglobaceae,5,1
Can't find,Aciduliprofundum boonei,1,1
Can't find,Hadesarchaea archaeon DG-33,1,1
Can't find,Halobacteria,5,1
Can't find,uncultured marine group II euryarchaeote,1,1
Can't find,Hadesarchaea archaeon DG-33-1,2,1
Can't find,Halarchaeum acidiphilum,1,1
Can't find,Halomicrobium zhouii,1,1
Can't find,Halobacterium salinarum,1,1
Can't find,Halococcus thailandensis,1,1
Can't find,Haloferax mucosum,1,1
Can't find,Halococcus hamelinensis,1,1
Can't find,Halococcus,2,1
Can't find,Halobacterium sp. DL1,1,1
Can't find,Haloarcula,2,1
Can't find,Halogeometricum borinquense,2,1
Can't find,Haloquadratum walsbyi,1,1
Can't find,Haloarcula rubripromontorii,1,1
Can't find,Halorubrum litoreum,2,1
Can't find,Halobacteriaceae,2,1
Can't find,Haloprofundus marisrubri,1,1
Can't find,Halorubrum terrestre,1,1
Can't find,Halorubrum coriense,1,1
Can't find,Halorubrum distributum,1,1
Can't find,Haloferax sp. ATB1,1,1
Can't find,Halonotius sp. J07HN4,1,1
Can't find,Halorubrum sp. J07HR59,5,1
Can't find,Natronococcus amylolyticus,2,1
Can't find,Natrialbaceae,3,1
Can't find,Halorubrum hochstenium,1,1
Can't find,Halohasta litchfieldiae,1,1
Can't find,Halostagnicola,1,1
Can't find,Salinarchaeum sp. Harcht-Bsk1,1,1
Can't find,Halopiger salifodinae,2,1
Can't find,Natrinema pallidum,1,1
Can't find,Natronorubrum sulfidifaciens,1,1
Can't find,Halopiger goleimassiliensis,2,1
Can't find,Methanosphaera sp. WGK6,1,1
Can't find,Methanobacterium sp. SMA-27,1,1
Can't find,Natrialba taiwanensis,1,1
Can't find,Methanobacteriaceae,4,1
Can't find,Methanothermococcus thermolithotrophicus,1,1
Can't find,Methanobacterium lacus,1,1
Can't find,Natrialba,1,1
Can't find,Methanobrevibacter curvatus,1,1
Can't find,Methanobrevibacter cuticularis,2,1
Can't find,Methanobacterium paludis,1,1
Can't find,Arc I group archaeon U1lsi0528_Bin055,1,1
Can't find,Methanobrevibacter wolinii,1,1
Can't find,Methanocella,1,1
Can't find,Methanococcus maripaludis,1,1
Can't find,Methanoplanus limicola,4,1
Can't find,Methanomicrobium mobile,2,1
Can't find,Methanocaldococcus sp. FS406-22,1,1
Can't find,methanogenic archaeon mixed culture ISO4-G1,1,1
Can't find,Candidatus Syntrophoarchaeum caldarius,1,1
Can't find,Methanosphaerula palustris,1,1
Can't find,Candidatus Methanoperedens nitroreducens,2,1
Can't find,Methanolacinia petrolearia,1,1
Can't find,Methanocella paludicola,1,1
Can't find,Methanosaeta harundinacea,3,1
Can't find,Methanothrix soehngenii,2,1
Can't find,Methanoculleus thermophilus,1,1
Can't find,Candidatus Methanoperedens sp. BLZ1,1,1
Can't find,Methanosphaera,6,1
Can't find,Methanolinea sp. SDB,1,1
Can't find,Methanobrevibacter,3,1
Can't find,Methanospirillum hungatei,1,1
Can't find,Methanosarcinales,2,1
Can't find,Thermococcales,1,1
Can't find,Methanolobus profundi,1,1
Can't find,Methanococcus,1,1
Can't find,Theionarchaea archaeon DG-70,2,1
Can't find,Methanohalophilus,1,1
Can't find,Methanolobus,1,1
Can't find,Methanococcoides,1,1
Can't find,Methanolobus tindarius,1,1
Can't find,Palaeococcus pacificus,1,1
Can't find,Methanosarcina sp. MTP4,10,1
Can't find,Pyrococcus furiosus,1,1
Can't find,Methanopyrus kandleri,1,1
Can't find,Thermococcus,7,1
Can't find,Thermoplasmatales archaeon E-plasma,1,1
Can't find,Thermoplasmatales archaeon BRNA1,1,1
Can't find,Thermococcaceae,148,1
Can't find,Thermoplasmatales archaeon SCGC AB-539-N05,1,1
Can't find,Thermoplasmatales archaeon SG8-52-4,36,1
Can't find,Candidatus Methanomassiliicoccus intestinalis,2,1
Can't find,Thermoplasma volcanium,2,1
Can't find,Thermoplasmatales archaeon I-plasma,1,1
Can't find,Ferroplasma acidarmanus,1,1
Can't find,Thermoplasmatales archaeon Gpl,1,1
Can't find,methanogenic archaeon ISO4-H5,1,1
Can't find,Methanosarcina lacustris,1,1
Can't find,Candidatus Caldiarchaeum subterraneum,2,1
Can't find,Thaumarchaeota archaeon CSP1-1,10,1
Can't find,uncultured marine thaumarchaeote AD1000_33_G09,2,1
Can't find,Nanopusillaceae,1,1
Can't find,Thermoplasmatales,3,1
Can't find,Methanosarcina,1,1
Can't find,Picrophilus torridus,1,1
Can't find,uncultured marine thaumarchaeote KM3_53_F08,1,1
Can't find,Thermoplasma acidophilum,1,1
Can't find,Thaumarchaeota,9,1
Can't find,Nitrosopumilus,2,1
superkingdom,Parcubacteria group bacterium GW2011_GWA1_47_11,1,1
superkingdom,bacteria symbiont BFo2 of Frankliniella occidentalis,169,1
Can't find,uncultured marine thaumarchaeote KM3_74_F11,1,1
Can't find,Candidatus Nitrosopumilus salaria,10,1
Can't find,Nitrosopumilus sp. PRT-SC01,1,1
Can't find,Nitrososphaera,2,1
superkingdom,Parcubacteria group bacterium GW2011_GWF2_39_13b,1,1
superkingdom,Parcubacteria group bacterium GW2011_GWC1_44_10,1,1
superkingdom,Parcubacteria group bacterium GW2011_GWF2_43_11,4,1
superkingdom,Parcubacteria group bacterium GW2011_GWA2_44_12,4,1
superkingdom,bacteria symbiont BFo1 of Frankliniella occidentalis,317,1
Can't find,Candidatus Nitrososphaera evergladensis,2,1
superkingdom,Parcubacteria group bacterium CG2_30_36_38,1,1
Can't find,Candidatus Nitrososphaera gargensis,1,1
superkingdom,Bacteria,167879,1
superkingdom,bacterium P201,24,1
superkingdom,bacterium F082,63831,1
superkingdom,bacterium JKG1,2,1
superkingdom,bacterium BRH_c32,2,1
superkingdom,bacterium A37T11,1,1
superkingdom,bacterium CG2_30_40_12,1,1
superkingdom,candidate division TM6 bacterium GW2011_GWF2_37_49,2,1
superkingdom,bacterium 2013Arg42i,10,1
superkingdom,bacterium SCGC AG-212-C10,1,1
superkingdom,bacterium A52C2,1,1
superkingdom,bacterium OL-1,1,1
superkingdom,candidate division KSB1 bacterium RBG_16_48_16,2,1
superkingdom,bacterium P3,3,1
superkingdom,candidate division TM6 bacterium RIFCSPHIGHO2_12_FULL_36_22,1,1
superkingdom,bacterium SCN 62-11,3,1
superkingdom,candidate division SR1 bacterium Aalborg_AAW-1,1,1
superkingdom,bacterium YEK0313,1,1
superkingdom,candidate division WS6 bacterium OLB21,1,1
superkingdom,uncultured bacterium AOCefta2,1,1
superkingdom,candidate division TM6 bacterium GW2011_GWF2_43_17,1,1
superkingdom,uncultured marine bacterium MedDCM-OCT-S04-C40,1,1
superkingdom,uncultured bacterium Contig1480,1,1
superkingdom,uncultured endophytic bacterium,1,1
superkingdom,Candidatus Moduliflexus flocculans,2,1
superkingdom,Candidatus Vecturithrix granuli,4,1
superkingdom,Acidobacteria bacterium RIFCSPLOWO2_12_FULL_59_11,1,1
superkingdom,uncultured marine bacterium,1,1
superkingdom,uncultured marine bacterium Ant4D3,1,1
superkingdom,Thermobaculum terrenum,2,1
superkingdom,uncultured bacterium EIL26B11,1,1
superkingdom,Acidobacteria bacterium RIFCSPHIGHO2_01_FULL_67_28,1,1
superkingdom,uncultured bacterium pA1,1,1
