,kingdom,phylum,class,order,family,genus,species,list_form
1,,,,,,,Cloning vector pFosill-1,['Cloning vector pFosill-1']
2,,,,,,,synthetic construct,['synthetic construct']
3,,,,,,,uncultured organism,['uncultured organism']
4,,,,,,,uncultured prokaryote,['uncultured prokaryote']
5,,,,,,,unidentified,['unidentified']
6,Archaea,,,,,,,['Archaea']
7,Archaea,,,,,,archaeon GW2011_AR11,"['Archaea', 'archaeon GW2011_AR11']"
8,Archaea,,,,,,archaeon GW2011_AR15,"['Archaea', 'archaeon GW2011_AR15']"
9,Archaea,,,,,,archaeon GW2011_AR17,"['Archaea', 'archaeon GW2011_AR17']"
10,Archaea,,,,,,archaeon GW2011_AR18,"['Archaea', 'archaeon GW2011_AR18']"
11,Archaea,,,,,,archaeon GW2011_AR20,"['Archaea', 'archaeon GW2011_AR20']"
12,Archaea,,,,,,archaeon GW2011_AR3,"['Archaea', 'archaeon GW2011_AR3']"
13,Archaea,,,,,,archaeon GW2011_AR4,"['Archaea', 'archaeon GW2011_AR4']"
14,Archaea,,,,,,archaeon GW2011_AR5,"['Archaea', 'archaeon GW2011_AR5']"
15,Archaea,,,,,,archaeon RBG_16_50_20,"['Archaea', 'archaeon RBG_16_50_20']"
16,Archaea,,,,,,uncultured archaeon,"['Archaea', 'uncultured archaeon']"
17,Archaea,Candidatus Bathyarchaeota,,,,,,"['Archaea', 'Candidatus Bathyarchaeota']"
18,Archaea,Candidatus Bathyarchaeota,,,,,Candidatus Bathyarchaeota archaeon B25,"['Archaea', 'Candidatus Bathyarchaeota', 'Candidatus Bathyarchaeota archaeon B25']"
19,Archaea,Candidatus Bathyarchaeota,,,,,Candidatus Bathyarchaeota archaeon RBG_13_46_16b,"['Archaea', 'Candidatus Bathyarchaeota', 'Candidatus Bathyarchaeota archaeon RBG_13_46_16b']"
20,Archaea,Candidatus Bathyarchaeota,,,,,Candidatus Bathyarchaeota archaeon RBG_13_60_20,"['Archaea', 'Candidatus Bathyarchaeota', 'Candidatus Bathyarchaeota archaeon RBG_13_60_20']"
21,Archaea,Candidatus Bathyarchaeota,,,,,miscellaneous Crenarchaeota group archaeon SMTZ-80,"['Archaea', 'Candidatus Bathyarchaeota', 'miscellaneous Crenarchaeota group archaeon SMTZ-80']"
22,Archaea,Candidatus Bathyarchaeota,,,,,miscellaneous Crenarchaeota group archaeon SMTZ1-55,"['Archaea', 'Candidatus Bathyarchaeota', 'miscellaneous Crenarchaeota group archaeon SMTZ1-55']"
23,Archaea,Candidatus Bathyarchaeota,,,,,miscellaneous Crenarchaeota group-1 archaeon SG8-32-1,"['Archaea', 'Candidatus Bathyarchaeota', 'miscellaneous Crenarchaeota group-1 archaeon SG8-32-1']"
24,Archaea,Candidatus Bathyarchaeota,,,,,miscellaneous Crenarchaeota group-15 archaeon DG-45,"['Archaea', 'Candidatus Bathyarchaeota', 'miscellaneous Crenarchaeota group-15 archaeon DG-45']"
25,Archaea,Candidatus Bathyarchaeota,,,,,miscellaneous Crenarchaeota group-6 archaeon AD8-1,"['Archaea', 'Candidatus Bathyarchaeota', 'miscellaneous Crenarchaeota group-6 archaeon AD8-1']"
26,Archaea,Candidatus Korarchaeota,,,,Candidatus Korarchaeum,Candidatus Korarchaeum cryptofilum,"['Archaea', 'Candidatus Korarchaeota', 'Candidatus Korarchaeum', 'Candidatus Korarchaeum cryptofilum']"
27,Archaea,Candidatus Lokiarchaeota,,,,Lokiarchaeum,Lokiarchaeum sp. GC14_75,"['Archaea', 'Candidatus Lokiarchaeota', 'Lokiarchaeum', 'Lokiarchaeum sp. GC14_75']"
28,Archaea,Candidatus Micrarchaeota,,,,,Candidatus Micrarchaeota archaeon CG1_02_47_40,"['Archaea', 'Candidatus Micrarchaeota', 'Candidatus Micrarchaeota archaeon CG1_02_47_40']"
29,Archaea,Candidatus Micrarchaeota,,,,,Candidatus Micrarchaeota archaeon CG1_02_51_15,"['Archaea', 'Candidatus Micrarchaeota', 'Candidatus Micrarchaeota archaeon CG1_02_51_15']"
30,Archaea,Candidatus Micrarchaeota,,,,,Candidatus Micrarchaeota archaeon CG1_02_55_22,"['Archaea', 'Candidatus Micrarchaeota', 'Candidatus Micrarchaeota archaeon CG1_02_55_22']"
31,Archaea,Candidatus Micrarchaeota,,,,,Candidatus Micrarchaeota archaeon RBG_16_36_9,"['Archaea', 'Candidatus Micrarchaeota', 'Candidatus Micrarchaeota archaeon RBG_16_36_9']"
32,Archaea,Candidatus Micrarchaeota,,,,,Candidatus Micrarchaeota archaeon RBG_16_49_10,"['Archaea', 'Candidatus Micrarchaeota', 'Candidatus Micrarchaeota archaeon RBG_16_49_10']"
33,Archaea,Candidatus Micrarchaeota,,,,Candidatus Micrarchaeum,Candidatus Micrarchaeum acidiphilum,"['Archaea', 'Candidatus Micrarchaeota', 'Candidatus Micrarchaeum', 'Candidatus Micrarchaeum acidiphilum']"
34,Archaea,Candidatus Parvarchaeota,,,,Candidatus Parvarchaeum,Candidatus Parvarchaeum acidophilus,"['Archaea', 'Candidatus Parvarchaeota', 'Candidatus Parvarchaeum', 'Candidatus Parvarchaeum acidophilus']"
35,Archaea,Candidatus Thorarchaeota,,,,,,"['Archaea', 'Candidatus Thorarchaeota']"
36,Archaea,Candidatus Thorarchaeota,,,,,Candidatus Thorarchaeota archaeon SMTZ1-83,"['Archaea', 'Candidatus Thorarchaeota', 'Candidatus Thorarchaeota archaeon SMTZ1-83']"
37,Archaea,Candidatus Woesearchaeota,,,,,Candidatus Woesearchaeota archaeon CG1_02_47_18,"['Archaea', 'Candidatus Woesearchaeota', 'Candidatus Woesearchaeota archaeon CG1_02_47_18']"
38,Archaea,Candidatus Woesearchaeota,,,,,Candidatus Woesearchaeota archaeon CG1_02_57_44,"['Archaea', 'Candidatus Woesearchaeota', 'Candidatus Woesearchaeota archaeon CG1_02_57_44']"
39,Archaea,Crenarchaeota,Thermoprotei,,,,,"['Archaea', 'Crenarchaeota', 'Thermoprotei']"
40,Archaea,Crenarchaeota,Thermoprotei,Acidilobales,Acidilobaceae,Acidilobus,,"['Archaea', 'Crenarchaeota', 'Thermoprotei', 'Acidilobales', 'Acidilobaceae', 'Acidilobus']"
41,Archaea,Crenarchaeota,Thermoprotei,Acidilobales,Acidilobaceae,Acidilobus,Acidilobus saccharovorans,"['Archaea', 'Crenarchaeota', 'Thermoprotei', 'Acidilobales', 'Acidilobaceae', 'Acidilobus', 'Acidilobus saccharovorans']"
42,Archaea,Crenarchaeota,Thermoprotei,Acidilobales,Caldisphaeraceae,Caldisphaera,Caldisphaera lagunensis,"['Archaea', 'Crenarchaeota', 'Thermoprotei', 'Acidilobales', 'Caldisphaeraceae', 'Caldisphaera', 'Caldisphaera lagunensis']"
43,Archaea,Crenarchaeota,Thermoprotei,Desulfurococcales,Desulfurococcaceae,Desulfurococcus,Desulfurococcus amylolyticus,"['Archaea', 'Crenarchaeota', 'Thermoprotei', 'Desulfurococcales', 'Desulfurococcaceae', 'Desulfurococcus', 'Desulfurococcus amylolyticus']"
44,Archaea,Crenarchaeota,Thermoprotei,Desulfurococcales,Desulfurococcaceae,Ignicoccus,Ignicoccus hospitalis,"['Archaea', 'Crenarchaeota', 'Thermoprotei', 'Desulfurococcales', 'Desulfurococcaceae', 'Ignicoccus', 'Ignicoccus hospitalis']"
45,Archaea,Crenarchaeota,Thermoprotei,Desulfurococcales,Desulfurococcaceae,Ignicoccus,Ignicoccus islandicus,"['Archaea', 'Crenarchaeota', 'Thermoprotei', 'Desulfurococcales', 'Desulfurococcaceae', 'Ignicoccus', 'Ignicoccus islandicus']"
46,Archaea,Crenarchaeota,Thermoprotei,Desulfurococcales,Desulfurococcaceae,Ignisphaera,Ignisphaera aggregans,"['Archaea', 'Crenarchaeota', 'Thermoprotei', 'Desulfurococcales', 'Desulfurococcaceae', 'Ignisphaera', 'Ignisphaera aggregans']"
47,Archaea,Crenarchaeota,Thermoprotei,Desulfurococcales,Desulfurococcaceae,Staphylothermus,,"['Archaea', 'Crenarchaeota', 'Thermoprotei', 'Desulfurococcales', 'Desulfurococcaceae', 'Staphylothermus']"
48,Archaea,Crenarchaeota,Thermoprotei,Desulfurococcales,Desulfurococcaceae,Staphylothermus,Staphylothermus hellenicus,"['Archaea', 'Crenarchaeota', 'Thermoprotei', 'Desulfurococcales', 'Desulfurococcaceae', 'Staphylothermus', 'Staphylothermus hellenicus']"
49,Archaea,Crenarchaeota,Thermoprotei,Desulfurococcales,Desulfurococcaceae,Thermogladius,Thermogladius calderae,"['Archaea', 'Crenarchaeota', 'Thermoprotei', 'Desulfurococcales', 'Desulfurococcaceae', 'Thermogladius', 'Thermogladius calderae']"
50,Archaea,Crenarchaeota,Thermoprotei,Sulfolobales,,,,"['Archaea', 'Crenarchaeota', 'Thermoprotei', 'Sulfolobales']"
51,Archaea,Crenarchaeota,Thermoprotei,Sulfolobales,Sulfolobaceae,Metallosphaera,Metallosphaera cuprina,"['Archaea', 'Crenarchaeota', 'Thermoprotei', 'Sulfolobales', 'Sulfolobaceae', 'Metallosphaera', 'Metallosphaera cuprina']"
52,Archaea,Crenarchaeota,Thermoprotei,Sulfolobales,Sulfolobaceae,Sulfolobus,Sulfolobus islandicus,"['Archaea', 'Crenarchaeota', 'Thermoprotei', 'Sulfolobales', 'Sulfolobaceae', 'Sulfolobus', 'Sulfolobus islandicus']"
53,Archaea,Crenarchaeota,Thermoprotei,Sulfolobales,Sulfolobaceae,Sulfolobus,Sulfolobus solfataricus,"['Archaea', 'Crenarchaeota', 'Thermoprotei', 'Sulfolobales', 'Sulfolobaceae', 'Sulfolobus', 'Sulfolobus solfataricus']"
54,Archaea,Crenarchaeota,Thermoprotei,Sulfolobales,Sulfolobaceae,Sulfolobus,Sulfolobus sp. A20,"['Archaea', 'Crenarchaeota', 'Thermoprotei', 'Sulfolobales', 'Sulfolobaceae', 'Sulfolobus', 'Sulfolobus sp. A20']"
55,Archaea,Crenarchaeota,Thermoprotei,Sulfolobales,Sulfolobaceae,Sulfurisphaera,Sulfurisphaera tokodaii,"['Archaea', 'Crenarchaeota', 'Thermoprotei', 'Sulfolobales', 'Sulfolobaceae', 'Sulfurisphaera', 'Sulfurisphaera tokodaii']"
56,Archaea,Crenarchaeota,Thermoprotei,Thermoproteales,Thermofilaceae,Thermofilum,Thermofilum pendens,"['Archaea', 'Crenarchaeota', 'Thermoprotei', 'Thermoproteales', 'Thermofilaceae', 'Thermofilum', 'Thermofilum pendens']"
57,Archaea,Crenarchaeota,Thermoprotei,Thermoproteales,Thermoproteaceae,Pyrobaculum,Pyrobaculum sp. WP30,"['Archaea', 'Crenarchaeota', 'Thermoprotei', 'Thermoproteales', 'Thermoproteaceae', 'Pyrobaculum', 'Pyrobaculum sp. WP30']"
58,Archaea,Crenarchaeota,Thermoprotei,Thermoproteales,Thermoproteaceae,Vulcanisaeta,,"['Archaea', 'Crenarchaeota', 'Thermoprotei', 'Thermoproteales', 'Thermoproteaceae', 'Vulcanisaeta']"
