GeneID,RPK,taxa
UNMAPPED|UNMAPPED,2164110.0,UNMAPPED
UniRef90_D1KAJ3|unclassified,13301.6052522124,unclassified
UniRef90_A7AJP8|unclassified,7857.7843603748,unclassified
UniRef90_D0TKA0|unclassified,5380.5242977117,unclassified
UniRef90_S0GJR7|g__Parabacteroides.s__Parabacteroides_goldsteinii,3701.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_S0GJR7|unclassified,17.0,unclassified
UniRef90_A8RZB5|unclassified,3239.427214312,unclassified
UniRef90_A5ZLI4|unclassified,2979.5527688646002,unclassified
UniRef90_V1EAX6|unclassified,2788.0,unclassified
UniRef90_A7ACF2|unclassified,2424.5398504699,unclassified
UniRef90_B1QRR6|unclassified,1868.8901775854001,unclassified
UniRef90_UPI000156FA79|unclassified,1680.1774147564001,unclassified
UniRef90_A5ZQM1|unclassified,1465.6794937323998,unclassified
UniRef90_B5CUP9|unclassified,1446.3567231626,unclassified
UniRef90_unknown|g__Parabacteroides.s__Parabacteroides_goldsteinii,1441.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_G9S8W7|unclassified,1245.3517661916999,unclassified
UniRef90_S7K4H7|unclassified,1164.4357130592998,unclassified
UniRef90_A7AJP9|unclassified,1120.0,unclassified
UniRef90_W6U045|unclassified,671.2382226082,unclassified
UniRef90_B7R8V5|unclassified,641.1855227112001,unclassified
UniRef90_B3C522|unclassified,624.9271676623,unclassified
UniRef90_W1YU10|unclassified,620.4598171976,unclassified
UniRef90_D4CI29|unclassified,611.0,unclassified
UniRef90_W2CMU2|unclassified,565.2671154085,unclassified
UniRef90_K0WTB3|unclassified,545.6009813308,unclassified
UniRef90_UPI0001DE5DFE|unclassified,542.3583118018,unclassified
UniRef90_A7VD49|unclassified,517.5243657724,unclassified
UniRef90_UPI00015BEA70|unclassified,514.3268823771,unclassified
UniRef90_D1KAJ2|unclassified,512.6196489998,unclassified
UniRef90_W1WT70|unclassified,510.54588267019994,unclassified
UniRef90_E0MU53|unclassified,503.06666419519996,unclassified
UniRef90_W8YNF3|unclassified,502.3354651735,unclassified
UniRef90_R9J210|unclassified,481.00970463790003,unclassified
UniRef90_UPI0001532979|unclassified,450.7938930204,unclassified
UniRef90_A7B5X1|unclassified,428.8179802354,unclassified
UniRef90_D9UEL3|unclassified,391.99029536209997,unclassified
UniRef90_E0XVH4|unclassified,380.0,unclassified
UniRef90_A7SPZ4|unclassified,367.8664912611,unclassified
UniRef90_A0A009X8S5|unclassified,349.961907536,unclassified
UniRef90_R9D7R0|unclassified,325.5001548608,unclassified
UniRef90_A7VEU0|unclassified,305.1255255843,unclassified
UniRef90_A8SIA6|unclassified,304.8099572382,unclassified
UniRef90_D6SEF8|unclassified,293.0103841339,unclassified
UniRef90_A5ZYU0|unclassified,277.4249473453,unclassified
UniRef90_E9RZN0|unclassified,268.0,unclassified
UniRef90_A5TSU5|unclassified,266.6630760934,unclassified
UniRef90_N2B405|g__Parabacteroides.s__Parabacteroides_goldsteinii,266.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_A7B8Q0|unclassified,264.6697273496,unclassified
UniRef90_A8ST13|unclassified,263.7867183982,unclassified
UniRef90_F1YWH0|unclassified,254.6995847647,unclassified
UniRef90_R5DLF8|g__Parabacteroides.s__Parabacteroides_goldsteinii,231.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_C3WU82|unclassified,220.9012716678,unclassified
UniRef90_UPI000156186B|unclassified,203.82990613040002,unclassified
UniRef90_UPI00036D18AF|unclassified,197.0539971957,unclassified
UniRef90_A0A026VT83|unclassified,194.84915899080002,unclassified
UniRef90_D5GZ89|unclassified,190.84554607349997,unclassified
UniRef90_A6BKY7|unclassified,178.4424102224,unclassified
UniRef90_A5Z511|unclassified,170.2998058222,unclassified
UniRef90_A0A015S3B6|unclassified,169.0,unclassified
UniRef90_H4BMF2|unclassified,161.1325128681,unclassified
UniRef90_A5ZYU5|unclassified,157.89137095680002,unclassified
UniRef90_B0NWG2|unclassified,157.8483757059,unclassified
UniRef90_A5ZYU6|unclassified,152.6339044386,unclassified
UniRef90_W1YRV6|unclassified,152.1193429956,unclassified
UniRef90_A6LE88|g__Parabacteroides.s__Parabacteroides_goldsteinii,150.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_A5KR94|unclassified,148.2063076659,unclassified
UniRef90_T1DKC0|unclassified,137.4903950488,unclassified
UniRef90_A7B8Q2|unclassified,136.1947693405,unclassified
UniRef90_UPI0001FD331E|unclassified,132.7670812977,unclassified
UniRef90_N2AX68|g__Parabacteroides.s__Parabacteroides_goldsteinii,130.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_B1A1E2|unclassified,128.6575619997,unclassified
UniRef90_T0NDH0|unclassified,126.9313362298,unclassified
UniRef90_G6AJF3|unclassified,126.9203450799,unclassified
UniRef90_J7TUV6|unclassified,124.5081989059,unclassified
UniRef90_W8YEK8|unclassified,124.0,unclassified
UniRef90_D1YGT1|unclassified,119.70373533280001,unclassified
UniRef90_D4PZQ0|unclassified,119.54373890309999,unclassified
UniRef90_A5ZQM3|unclassified,112.04272203149999,unclassified
UniRef90_A5ZYV5|unclassified,110.9339890772,unclassified
UniRef90_K5ZBK6|g__Parabacteroides.s__Parabacteroides_goldsteinii,106.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K5ZGJ0|g__Parabacteroides.s__Parabacteroides_goldsteinii,104.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
