GeneID,RPK,taxa
UniRef90_unknown|g__Parabacteroides.s__Parabacteroides_goldsteinii,77680.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_unknown|g__Escherichia.s__Escherichia_coli,1912.0,g__Escherichia.s__Escherichia_coli
UniRef90_unknown|g__Clostridium.s__Clostridium_sp_ASF356,1093.0,g__Clostridium.s__Clostridium_sp_ASF356
UniRef90_unknown|g__Mucispirillum.s__Mucispirillum_schaedleri,456.0,g__Mucispirillum.s__Mucispirillum_schaedleri
UniRef90_unknown|g__Lactobacillus.s__Lactobacillus_murinus,227.0,g__Lactobacillus.s__Lactobacillus_murinus
UniRef90_S0GJR7|g__Parabacteroides.s__Parabacteroides_goldsteinii,3580.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_N2B405|g__Parabacteroides.s__Parabacteroides_goldsteinii,1100.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_Q8A6A5|g__Parabacteroides.s__Parabacteroides_goldsteinii,850.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K5Z513|g__Parabacteroides.s__Parabacteroides_goldsteinii,804.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K5YN04|g__Parabacteroides.s__Parabacteroides_goldsteinii,680.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K6ARK0|g__Parabacteroides.s__Parabacteroides_goldsteinii,608.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_N2BCN4|g__Parabacteroides.s__Parabacteroides_goldsteinii,589.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K5ZYR5|g__Parabacteroides.s__Parabacteroides_goldsteinii,564.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_N1ZD63|g__Clostridium.s__Clostridium_sp_ASF356,530.0,g__Clostridium.s__Clostridium_sp_ASF356
UniRef90_N2AR07|g__Parabacteroides.s__Parabacteroides_goldsteinii,521.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_N2ASE1|g__Parabacteroides.s__Parabacteroides_goldsteinii,515.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_S0GNF1|g__Parabacteroides.s__Parabacteroides_goldsteinii,477.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K5ZYW7|g__Parabacteroides.s__Parabacteroides_goldsteinii,475.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K5ZTK9|g__Parabacteroides.s__Parabacteroides_goldsteinii,472.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K5ZA95|g__Parabacteroides.s__Parabacteroides_goldsteinii,465.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_N2BJ19|g__Parabacteroides.s__Parabacteroides_goldsteinii,463.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
