genus,Length,Reads,RPK
g_Acetoanaerobium,4509,14,13.090105690767594
g_Acetobacter,3936,3,1.5580691557660808
g_Acetobacterium,4638,17,13.820446538823607
g_Acetohalobium,702,1,1.4245014245014247
g_Acholeplasma,2787,3,2.0996513609430454
g_Achromobacter,9891,37,15.36775740185951
g_Acidiphilium,2112,3,2.840909090909091
g_Acidipropionibacterium,1830,1,0.5464480874316939
g_Acidithiobacillus,5436,12,4.712865158239491
g_Acidothermus,3213,1,0.3112356053532524
g_Acidovorax,162417,438,411.40979792223834
g_Acinetobacter,68031,363,256.9493647711885
g_Actinobacillus,4164,90,78.11610555377892
g_Actinomyces,9696,11,20.275761019021665
g_Actinoplanes,4254,4,1.8262759954602856
g_Adlercreutzia,3522,15,6.396271090250222
g_Advenella,3756,4,4.769014389267553
g_Aequorivita,2697,6,7.334075714746061
g_Aerococcus,6270,20,17.79628643501261
g_Aeromicrobium,3369,2,1.1882013615115867
g_Aeromonas,35079,91,69.2147382712228
g_Afipia,23319,48,39.352461948158734
g_Aggregatibacter,2121,43,20.273455917020275
g_Agrobacterium,19128,39,37.33891138689719
g_Agrococcus,2298,4,4.280182411447891
g_Akkermansia,6482,4,1.8617063024880305
g_Alcanivorax,3402,35,27.00703391098374
g_Algibacter,4629,3,1.9622190674822253
g_Algoriphagus,7119,18,10.347167893971791
g_Alicycliphilus,13644,26,26.47794546376462
g_Aliivibrio,1884,2,3.9971230897506893
g_Alistipes,60600,712,303.3617766536429
g_Alkaliphilus,8826,8,6.949812521189465
g_Alphabaculovirus,699,62,88.69814020028613
g_Alphainfluenzavirus,3384,2,0.5910165484633569
g_Altererythrobacter,12975,118,94.90723062614889
g_Alteromonas,10140,22,16.702279344228536
g_Aminobacter,4830,8,4.7169723445277665
g_Amycolatopsis,552,28,50.724637681159415
g_Anabaena,1659,1,0.6027727546714888
g_Anaerococcus,2232,7,10.067847747835994
g_Anaeromyxobacter,1398,14,10.014306151645208
g_Anaerophaga,150,37,246.66666666666669
g_Anaerostipes,7356,6,3.9056700266275275
g_Anaerotignum,34761,2312,8969.948297434155
g_Aneurinibacillus,1401,63,44.96788008565311
g_Anoxybacillus,8430,24,20.853866133037883
g_Aquincola,1632,1,0.6127450980392157
g_Arachidicoccus,9117,42,47.32223095212419
g_Arcanobacterium,3273,83,72.71334399208338
g_Archaeoglobus,5559,83,139.13143533219122
g_Arcobacter,5502,11,6.185202828034585
g_Ardenticatena,8286,3,0.724112961622013
g_Arsenophonus,6435,29,25.219954176523984
g_Arthrobacter,7140,8,8.113574585887022
g_Asticcacaulis,15504,26,24.737493090818443
g_Aurantimonas,972,1,1.02880658436214
g_Auraticoccus,1086,1,0.9208103130755064
g_Azoarcus,4404,120,108.43078293796637
g_Azorhizobium,687,4,5.822416302765648
g_Azospira,3603,6,4.871661134819029
g_Azospirillum,11106,23,27.036925469649354
g_Azotobacter,2415,2,2.109140832966526
g_Bacillus,111936,353,302.81027092784245
g_Bacteroides,2136251,22982,23297.62406961179
g_Barnesiella,68481,858,670.6266647698953
g_Bartonella,12207,30,14.39810080778873
g_Bdellovibrio,3639,23,32.92997450892187
g_Belliella,4470,3,2.254518565950862
g_Betainfluenzavirus,1515,1,0.6600660066006601
g_Beutenbergia,1740,10,5.747126436781609
g_Bibersteinia,8271,15,8.32488398405208
g_Bifidobacterium,7768,47,19.609238679521848
g_Blastochloris,18105,11,9.364376018482702
g_Blastococcus,2814,4,2.8429282160625444
g_Blastomonas,4542,32,34.89426961671539
g_Blattabacterium,2973,10,3.363605785401951
g_Blautia,1896442,21208,49905.52435432267
g_Bordetella,12978,37,32.08693810492344
g_Borrelia,3861,92,55.4017331214371
g_Borreliella,4671,4,3.4357004367563357
g_Bosea,18828,46,48.99928292681051
g_Brachybacterium,6768,4,2.785209362496869
g_Brachyspira,29889,70,58.73285109675844
g_Bradyrhizobium,379434,781,815.806384020605
g_Brevibacillus,1794,2,2.2429261559696343
g_Brevibacterium,8949,67,66.80148408025168
g_Brevundimonas,18045,17,12.71731525472702
g_Buchnera,12789,72,52.9449690027695
g_Burkholderia,113604,236,194.58296040564755
g_Butyrivibrio,4944,14,12.411133230996349
g_Caldanaerobacter,5232,12,6.465155961879598
g_Caldicellulosiruptor,12603,43,36.100945345506595
g_Caldilinea,1521,1,0.6574621959237344
g_Caldimicrobium,2628,1,0.380517503805175
g_Calditerrivibrio,4545,3,2.317636898274564
g_Calothrix,1692,32,18.912529550827422
g_Campylobacter,27144,44,69.82434705516295
g_Candidatus Accumulibacter,834,1,1.1990407673860912
g_Candidatus Actinomarina,1119,858,766.7560321715818
g_Candidatus Amoebophilus,6105,4,3.2400161820607982
g_Candidatus Atelocyanobacterium,621,3,4.830917874396135
g_Candidatus Azobacteroides,5434,100,118.04307735030929
g_Candidatus Babela,2808,3,1.0683760683760684
g_Candidatus Blochmannia,3534,5,6.232800526278787
g_Candidatus Cloacimonas,1884,4,2.1231422505307855
g_Candidatus Endoecteinascidia,873,1,1.145475372279496
g_Candidatus Evansia,1347,1,0.7423904974016333
g_Candidatus Gullanella,1038,1,0.9633911368015414
g_Candidatus Hoaglandella,2640,1,0.3787878787878788
g_Candidatus Izimaplasma,2577,1,0.38804811796662786
g_Candidatus Kinetoplastibacterium,7140,4,2.0156695613581177
g_Candidatus Methylomirabilis,705,132,187.2340425531915
g_Candidatus Methylopumilus,1158,1,0.8635578583765113
g_Candidatus Nanopusillus,1968,1,0.508130081300813
g_Candidatus Paracaedibacter,2103,1,0.475511174512601
g_Candidatus Pelagibacter,1524,1,0.6561679790026247
g_Candidatus Phytoplasma,4098,16,27.56196786023072
g_Candidatus Protochlamydia,351,123,350.42735042735046
g_Candidatus Ruthia,597,24,40.20100502512563
g_Candidatus Solibacter,1914,1,0.522466039707419
g_Candidatus Sulcia,3435,7,11.992401402871234
g_Candidatus Thioglobus,1509,2,1.3253810470510272
g_Candidatus Walczuchella,822,4,4.866180048661801
g_Candidatus Zinderia,3930,1,0.2544529262086514
g_Capnocytophaga,13326,240,110.58392613031847
g_Carnobacterium,9576,19,17.03903196218367
g_Catenulispora,3447,4,12.814756661517405
g_Caulobacter,54663,176,225.35091026575918
g_Cedecea,7446,31,22.23645250627785
g_Celeribacter,1080,2,1.8518518518518516
g_Cellulophaga,25053,154,119.98888217896715
g_Cellulosilyticum,21087,125,118.597251748301
g_Cellvibrio,1689,1,0.5920663114268798
g_Chamaesiphon,5556,41,18.376939630762262
g_Chania,1671,1,0.5984440454817475
g_Chelatococcus,4737,10,8.687745791110524
g_Chitinophaga,19396,280,147.4206736391925
g_Chlamydia,9060,156,583.0782071087677
g_Chlorobaculum,8208,177,508.39725158238997
g_Chlorobium,4245,2,0.9901142514876204
g_Chlorovirus,2256,3,1.3297872340425534
g_Chondromyces,1215,2,3.436513593320436
g_Chroococcidiopsis,4524,55,31.181488774912392
g_Chryseobacterium,37095,133,132.91908215992723
g_Chthonomonas,777,1,1.287001287001287
g_Citrobacter,14305,19,22.89259647502887
g_Citromicrobium,2517,3,3.6294361289337713
g_Clavibacter,1449,67,70.79498977505112
g_Cloacibacillus,1884,4,2.1231422505307855
g_Clostridioides,28395,87,94.48057296212694
g_Clostridium,287718,1456,1234.344830294606
g_Collimonas,12570,101,100.07657469106071
g_Colwellia,1746,1,0.572737686139748
g_Comamonas,7089,48,52.84425564671031
g_Confluentimicrobium,810,2,2.4691358024691357
g_Coprococcus,2046,10,19.991193663760036
g_Corallococcus,1338,1,0.7473841554559043
g_Corynebacterium,48846,151,83.15871468374675
g_Coxiella,681,1,1.4684287812041115
g_Cp220virus,3849,3,1.5154351752996718
g_Cronobacter,11412,64,38.32608480999011
g_Cryobacterium,3912,2,1.4818097624445317
g_Cupriavidus,63387,186,166.8310787266011
g_Curvibacter,5922,7,5.665219162658234
g_Cutibacterium,671464,1160,1210.4103014414918
g_Cyanobacterium,2070,6,8.855326649714188
g_Cyanobium,4818,10,6.912198824642658
g_Cyanothece,5130,65,62.691061404809744
g_Cyclobacterium,6423,3,3.165186997618121
g_Cycloclasticus,1083,7,6.463527239150508
g_Cylindrospermum,2559,56,62.580797454363555
g_Cytophaga,7470,12,5.489630197280411
g_Dactylococcopsis,1227,3,2.4449877750611244
g_Dechloromonas,1197,1,0.835421888053467
g_Deferribacter,4452,4,5.439590025268467
g_Defluviimonas,3075,3,2.0800509146791057
g_Defluviitoga,3390,2,1.1878144949107932
g_Dehalobacter,999,67,67.06706706706707
g_Deinococcus,2679,38,39.13008504632575
g_Delftia,10347,15,11.665334300920513
g_Denitrovibrio,6842,4,2.3404527587364004
g_Dermabacter,942,8,8.492569002123142
g_Desulfitobacterium,4113,19,8.771229151214317
g_Desulfobacterium,6534,108,63.635885624302546
g_Desulfobacula,4968,59,19.20188365201153
g_Desulfobulbus,1395,28,20.07168458781362
g_Desulfocapsa,1143,1,0.8748906386701663
g_Desulfococcus,471,24,50.955414012738856
g_Desulfosporosinus,4896,28,17.708093704470517
g_Desulfotalea,1458,2,2.7434842249657065
g_Desulfotomaculum,8505,11,9.126984082658463
g_Desulfovibrio,8337,81,50.59983248296024
g_Desulfurella,969,1,1.0319917440660475
g_Desulfurispirillum,2286,1,0.4374453193350831
g_Desulfurobacterium,4011,5,2.557289613657046
g_Desulfuromonas,3015,63,37.16339118976208
g_Devosia,10350,35,31.610793520075276
g_Dialister,4167,17,22.87651037975096
g_Dictyoglomus,2397,3,2.5196810911096623
g_Dinoroseobacter,1116,9,14.776100141953801
g_Dokdonella,828,5,6.038647342995169
g_Dokdonia,2724,14,8.743063621112402
g_Draconibacterium,27507,257,178.29073473649535
g_Dyadobacter,16077,152,68.16536081889241
g_Dyella,2262,22,9.725906277630415
g_Echinicola,3768,12,15.90693584242964
g_Edwardsiella,2652,7,5.279034690799397
g_Eggerthella,1356,20,27.267041901188243
g_Ehrlichia,4707,2,1.5414542132099385
g_Elizabethkingia,11262,125,109.7875509729986
g_Elusimicrobium,771,4,5.188067444876784
g_Emticicia,18242,20,12.089859880833874
g_Ensifer,13691,43,29.103350711207902
g_Enterobacter,35811,71,49.328173141778464
g_Enterococcus,50493,283,190.49172208044973
g_Erwinia,1698,12,14.040312268658724
g_Erysipelothrix,4824,8,4.756434834126288
g_Erythrobacter,6636,24,13.419233412956636
g_Escherichia,918271,1270,1837.5686309352163
g_Ethanoligenens,2664,81,63.3315539286713
g_Eubacterium,14697,33,25.582524405133757
g_Exiguobacterium,720,20,27.77777777777778
g_Faecalibacterium,5277,92,70.93133854273685
g_Faecalibaculum,1188,2,1.6835016835016836
g_Fermentimonas,28098,666,415.17996826086414
g_Ferrimonas,4350,2,0.4597701149425288
g_Ferroplasma,1047,50,47.755491881566385
g_Fervidobacterium,4788,16,10.581152158922736
g_Fibrella,7449,48,28.837683353891926
g_Fictibacillus,7284,23,19.975440920081446
g_Filifactor,6468,21,18.240755001444253
g_Filimonas,15900,119,61.42324900533059
g_Fimbriimonas,12819,127,53.43497096989759
g_Finegoldia,849,1,1.1778563015312131
g_Fischerella,3198,115,142.66082362462018
g_Flammeovirga,6453,8,9.666529428069312
g_Flavisolibacter,4899,13,18.61768986122931
g_Flavobacterium,65655,308,187.32652035211504
g_Flavonifractor,3996,3,2.689139802541864
g_Flexistipes,1338,2,4.208063253040468
g_Fluviicola,4164,44,45.52679817107355
g_Formosa,19518,35,23.546545276847034
g_Francisella,14205,136,111.63467762032195
g_Frankia,4335,2,0.9589872033278515
g_Frischella,807,10,12.391573729863692
g_Frondihabitans,2163,2,0.9246417013407305
g_Fusobacterium,52188,175,303.79886589665284
g_Gallibacterium,903,1,1.1074197120708749
g_Gardnerella,3507,43,12.261191901910465
g_Gemella,4056,1,0.2465483234714004
g_Geminocystis,3255,4,5.531444750564329
g_Gemmata,6855,9,5.172102049639513
g_Gemmatimonas,987,53,53.69807497467072
