genus,reads
g__Acetobacteraceae_noname,1.0
g__Acholeplasma,4.0
g__Achromobacter,21.0
g__Acidiphilium,3.0
g__Acidithiobacillus,1.0
g__Acidovorax,741.0
g__Acinetobacter,217.0
g__Actinoalloteichus,2.0
g__Actinobacillus,1.0
g__Actinobacteria_noname,8.0
g__Actinomadura,11.0
g__Actinomyces,34.0
g__Actinoplanes,8.0
g__Actinopolymorpha,1.0
g__Aerococcus,3.0
g__Aeromonas,28.0
g__Afipia,252.0
g__Agrobacterium,41.0
g__Agrococcus,4.0
g__Agromyces,4.0
g__Ajellomyces,1.0
g__Albidiferax,21.0
g__Alcaligenes,2.0
g__Alcanivorax,25.0
g__Alicycliphilus,31.0
g__Alistipes,82.0
g__Allochromatium,1.0
g__Alloprevotella,10.0
g__Alphaproteobacteria_noname,9.0
g__Amorphus,3.0
g__Anaerococcus,4.0
g__Anaerolinea,1.0
g__Anaeromyxobacter,17.0
g__Anaerostipes,7021.0
g__Anaerotruncus,6.0
g__Ancylobacter,1.0
g__Arenimonas,2.0
g__Arthrobacter,16.0
g__Arthroderma,1.0
g__Arthrospira,1.0
g__Aspergillus,28.0
g__Asticcacaulis,121.0
g__Aurantimonas,6.0
g__Aureimonas,1.0
g__Azoarcus,21.0
g__Azorhizobium,13.0
g__Azospira,2.0
g__Azospirillum,3.0
g__Azotobacter,1.0
g__Babesia,7.0
g__Bacillus,70.0
g__Bacteroidales_noname,1.0
g__Bacteroides,16937.0
g__Barnesiella,1903.0
g__Bifidobacterium,12.0
g__Bilophila,7.0
g__Blastococcus,1.0
g__Blastomonas,142.0
g__Blattabacterium,24.0
g__Blautia,14677.0
g__Bordetella,11.0
g__Botryotinia,25.0
g__Brachybacterium,48.0
g__Brachymonas,7.0
g__Bradyrhizobiaceae_noname,46.0
g__Bradyrhizobium,1259.0
g__Brevibacterium,43.0
g__Brevundimonas,50.0
g__Brucella,33.0
g__Burkholderia,189.0
g__Burkholderiales_noname,32.0
g__Butyricicoccus,1.0
g__Butyricimonas,14.0
g__Caldalkalibacillus,11.0
g__Caldanaerobacter,7.0
g__Caldimonas,62.0
g__Campylobacter,15.0
g__Candida,36.0
g__Candidatus_Saccharibacteria_noname,3.0
g__Candidatus_Sulcia,1.0
g__Capnocytophaga,17.0
g__Cardiobacterium,10.0
g__Carnobacterium,892.0
g__Caulobacter,334.0
g__Cedecea,1.0
g__Cellulomonas,11.0
g__Cellvibrio,10.0
g__Centipeda,1.0
g__Chaetomium,13.0
g__Chelatococcus,16.0
g__Chitiniphilus,8.0
g__Chlamydia,615.0
g__Chlorobium,11.0
g__Chromobacterium,1.0
g__Chromohalobacter,1.0
g__Chroococcidiopsis,2.0
g__Chryseobacterium,28.0
g__Chthoniobacter,2.0
g__Citricoccus,43.0
g__Citrobacter,20.0
g__Citromicrobium,8.0
g__Clavibacter,2.0
g__Clostridiales_noname,37.0
g__Clostridium,42765.0
g__Comamonas,61.0
g__Conexibacter,3.0
g__Coprinopsis,3.0
g__Coprobacillus,2.0
g__Coprococcus,1918.0
g__Corynebacterium,192.0
g__Coxiella,24.0
g__Cronobacter,1.0
g__Cupriavidus,190.0
g__Curvibacter,230.0
g__Cyanothece,8.0
g__Cytophaga,32.0
