taxa,reads
g__Acetobacteraceae_noname.s__Acetobacteraceae_bacterium_AT_5844,1.0
g__Acholeplasma.s__Acholeplasma_laidlawii,4.0
g__Achromobacter.s__Achromobacter_arsenitoxydans,10.0
g__Achromobacter.s__Achromobacter_piechaudii,7.0
g__Achromobacter.s__Achromobacter_xylosoxidans,4.0
g__Acidiphilium.s__Acidiphilium_cryptum,3.0
g__Acidithiobacillus.s__Acidithiobacillus_ferrooxidans,1.0
g__Acidovorax.s__Acidovorax_avenae,12.0
g__Acidovorax.s__Acidovorax_citrulli,12.0
g__Acidovorax.s__Acidovorax_delafieldii,53.0
g__Acidovorax.s__Acidovorax_ebreus,50.0
g__Acidovorax.s__Acidovorax_radicis,55.0
g__Acidovorax.s__Acidovorax_sp_CF316,66.0
g__Acidovorax.s__Acidovorax_sp_JS42,105.0
g__Acidovorax.s__Acidovorax_sp_KKS102,271.0
g__Acidovorax.s__Acidovorax_sp_MR_S7,67.0
g__Acidovorax.s__Acidovorax_sp_NO_1,50.0
g__Acinetobacter.s__Acinetobacter_baumannii,17.0
g__Acinetobacter.s__Acinetobacter_bouvetii,3.0
g__Acinetobacter.s__Acinetobacter_haemolyticus,2.0
g__Acinetobacter.s__Acinetobacter_indicus,1.0
g__Acinetobacter.s__Acinetobacter_johnsonii,24.0
g__Acinetobacter.s__Acinetobacter_junii,23.0
g__Acinetobacter.s__Acinetobacter_lwoffii,12.0
g__Acinetobacter.s__Acinetobacter_pittii_calcoaceticus_nosocomialis,24.0
g__Acinetobacter.s__Acinetobacter_radioresistens,1.0
g__Acinetobacter.s__Acinetobacter_schindleri,5.0
g__Acinetobacter.s__Acinetobacter_sp_ANC_3929,32.0
g__Acinetobacter.s__Acinetobacter_sp_ANC_3994,18.0
g__Acinetobacter.s__Acinetobacter_sp_CIP_101934,1.0
g__Acinetobacter.s__Acinetobacter_sp_CIP_101966,1.0
g__Acinetobacter.s__Acinetobacter_sp_CIP_102136,3.0
g__Acinetobacter.s__Acinetobacter_sp_CIP_102529,1.0
g__Acinetobacter.s__Acinetobacter_sp_CIP_51_11,1.0
g__Acinetobacter.s__Acinetobacter_sp_CIP_64_2,1.0
g__Acinetobacter.s__Acinetobacter_sp_CIP_64_7,2.0
g__Acinetobacter.s__Acinetobacter_sp_HA,1.0
g__Acinetobacter.s__Acinetobacter_sp_MDS7A,1.0
g__Acinetobacter.s__Acinetobacter_sp_NCTC_10304,4.0
g__Acinetobacter.s__Acinetobacter_sp_NIPH_284,4.0
g__Acinetobacter.s__Acinetobacter_sp_NIPH_899,3.0
g__Acinetobacter.s__Acinetobacter_sp_P8_3_8,7.0
g__Acinetobacter.s__Acinetobacter_sp_TG2027,1.0
g__Acinetobacter.s__Acinetobacter_tjernbergiae,2.0
g__Acinetobacter.s__Acinetobacter_towneri,4.0
g__Acinetobacter.s__Acinetobacter_ursingii,10.0
g__Acinetobacter.s__Acinetobacter_venetianus,8.0
g__Actinoalloteichus.s__Actinoalloteichus_spitiensis,2.0
g__Actinobacillus.s__Actinobacillus_pleuropneumoniae,1.0
g__Actinobacteria_noname.s__actinobacterium_SCGC_AAA024_D14,1.0
g__Actinobacteria_noname.s__actinobacterium_SCGC_AAA278_O22,7.0
g__Actinomadura.s__Actinomadura_madurae,11.0
g__Actinomyces.s__Actinomyces_massiliensis,1.0
g__Actinomyces.s__Actinomyces_naeslundii,5.0
g__Actinomyces.s__Actinomyces_odontolyticus,1.0
g__Actinomyces.s__Actinomyces_oris,6.0
g__Actinomyces.s__Actinomyces_sp_ICM39,1.0
g__Actinomyces.s__Actinomyces_sp_oral_taxon_171,5.0
g__Actinomyces.s__Actinomyces_sp_oral_taxon_175,11.0
g__Actinomyces.s__Actinomyces_sp_oral_taxon_180,1.0
g__Actinomyces.s__Actinomyces_viscosus,3.0
g__Actinoplanes.s__Actinoplanes_friuliensis,1.0
g__Actinoplanes.s__Actinoplanes_globisporus,6.0
g__Actinoplanes.s__Actinoplanes_missouriensis,1.0
g__Actinopolymorpha.s__Actinopolymorpha_alba,1.0
g__Aerococcus.s__Aerococcus_viridans,3.0
g__Aeromonas.s__Aeromonas_aquariorum,1.0
g__Aeromonas.s__Aeromonas_caviae,8.0
g__Aeromonas.s__Aeromonas_hydrophila,2.0
g__Aeromonas.s__Aeromonas_media,5.0
g__Aeromonas.s__Aeromonas_salmonicida,12.0
g__Afipia.s__Afipia_birgiae,83.0
g__Afipia.s__Afipia_broomeae,89.0
g__Afipia.s__Afipia_clevelandensis,23.0
g__Afipia.s__Afipia_felis,17.0
g__Afipia.s__Afipia_sp_1NLS2,40.0
g__Agrobacterium.s__Agrobacterium_albertimagni,6.0
g__Agrobacterium.s__Agrobacterium_fabrum,5.0
g__Agrobacterium.s__Agrobacterium_sp_224MFTsu3_1,3.0
g__Agrobacterium.s__Agrobacterium_sp_H13_3,1.0
g__Agrobacterium.s__Agrobacterium_tumefaciens,19.0
g__Agrobacterium.s__Agrobacterium_vitis,7.0
g__Agrococcus.s__Agrococcus_pavilionensis,4.0
g__Agromyces.s__Agromyces_italicus,1.0
g__Agromyces.s__Agromyces_subbeticus,3.0
g__Ajellomyces.s__Ajellomyces_dermatitidis,1.0
g__Albidiferax.s__Albidiferax_ferrireducens,21.0
g__Alcaligenes.s__Alcaligenes_sp_EGD_AK7,1.0
g__Alcaligenes.s__Alcaligenes_sp_HPC1271,1.0
g__Alcanivorax.s__Alcanivorax_hongdengensis,25.0
g__Alicycliphilus.s__Alicycliphilus_denitrificans,21.0
g__Alicycliphilus.s__Alicycliphilus_sp_CRZ1,10.0
g__Alistipes.s__Alistipes_putredinis,46.0
g__Alistipes.s__Alistipes_shahii,35.0
g__Alistipes.s__Alistipes_sp_HGB5,1.0
g__Allochromatium.s__Allochromatium_vinosum,1.0
g__Alloprevotella.s__Alloprevotella_tannerae,9.0
g__Alloprevotella.s__Prevotella_sp_oral_taxon_473,1.0
g__Alphaproteobacteria_noname.s__Polymorphum_gilvum,9.0
g__Amorphus.s__Amorphus_coralli,3.0
g__Anaerococcus.s__Anaerococcus_hydrogenalis,1.0
g__Anaerococcus.s__Anaerococcus_prevotii,3.0
g__Anaerolinea.s__Anaerolinea_thermophila,1.0
g__Anaeromyxobacter.s__Anaeromyxobacter_dehalogenans,2.0
g__Anaeromyxobacter.s__Anaeromyxobacter_sp_Fw109_5,15.0
g__Anaerostipes.s__Anaerostipes_caccae,7018.0
