GeneID,RPK,taxa
UniRef90_S0GJR7|g__Parabacteroides.s__Parabacteroides_goldsteinii,5602.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_unknown|g__Parabacteroides.s__Parabacteroides_goldsteinii,1542.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_N2B405|g__Parabacteroides.s__Parabacteroides_goldsteinii,109.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K5YMQ5|g__Parabacteroides.s__Parabacteroides_goldsteinii,88.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K5Z1A3|g__Parabacteroides.s__Parabacteroides_goldsteinii,84.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_Q5L7N5|g__Parabacteroides.s__Parabacteroides_goldsteinii,78.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K5ZZY7|g__Parabacteroides.s__Parabacteroides_goldsteinii,76.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_R5DHY0|g__Parabacteroides.s__Parabacteroides_goldsteinii,75.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K5ZGT5|g__Parabacteroides.s__Parabacteroides_goldsteinii,70.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K6AYS9|g__Parabacteroides.s__Parabacteroides_goldsteinii,67.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K6A0T5|g__Parabacteroides.s__Parabacteroides_goldsteinii,52.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_R5DPL5|g__Parabacteroides.s__Parabacteroides_goldsteinii,50.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_N2AP30|g__Parabacteroides.s__Parabacteroides_goldsteinii,45.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K5Z9T8|g__Parabacteroides.s__Parabacteroides_goldsteinii,44.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K5ZU03|g__Parabacteroides.s__Parabacteroides_goldsteinii,41.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K5ZU07|g__Parabacteroides.s__Parabacteroides_goldsteinii,39.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K6A1K8|g__Parabacteroides.s__Parabacteroides_goldsteinii,39.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K5ZF52|g__Parabacteroides.s__Parabacteroides_goldsteinii,38.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K6A5E7|g__Parabacteroides.s__Parabacteroides_goldsteinii,38.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_N2ASE1|g__Parabacteroides.s__Parabacteroides_goldsteinii,38.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_A6LE88|g__Parabacteroides.s__Parabacteroides_goldsteinii,36.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_N2B6Q5|g__Parabacteroides.s__Parabacteroides_goldsteinii,35.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_R6WP78|g__Parabacteroides.s__Parabacteroides_goldsteinii,34.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K5ZDK4|g__Parabacteroides.s__Parabacteroides_goldsteinii,33.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_N2BGZ1|g__Parabacteroides.s__Parabacteroides_goldsteinii,33.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_N2AYX7|g__Parabacteroides.s__Parabacteroides_goldsteinii,32.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
