Taxonomy,Length,Reads,RPK
root,79496,597,2499.9542729649706
root;k_;p_;c_;o_;f_;g;_;s_uncultured microorganism,1668,2,1.1990407673860912
root;k_;p_;c_;o_;f_;g;_;s_uncultured organism,38684,421,1346.5937211557607
root;k_;p_;c_;o_;f_;g;_;s_uncultured prokaryote,3528,2,6.962699822380107
root;k_Archaea;p_Euryarchaeota;c_Methanococci;o_Methanococcales;f_Methanococcaceae;g_Methanococcus;s_Methanococcus maripaludis,3539,2,0.5651313930488838
root;k_Archaea;p_Euryarchaeota;c_Methanomicrobia;o_Methanosarcinales;f_Methanosarcinaceae;g_Methanomethylovorans;s_Methanomethylovorans hollandica,1758,1,0.5688282138794084
root;k_Archaea;p_Euryarchaeota;c_Methanomicrobia;o_Methanosarcinales;f_Methanosarcinaceae;g_Methanosarcina;s_Methanosarcina vacuolata,2028,1,0.4930966469428008
root;k_Archaea;p_Thaumarchaeota;c_;o_Nitrosopumilales;f_;g_;s_uncultured marine crenarchaeote HF4000_APKG5B22,2250,1,0.4444444444444444
root;k_Bacteria,96065,711,2592.8444670375407
root;k_Bacteria;p_;c_;o_;f_;g_;s_bacterium 28S114,231,1,4.329004329004329
root;k_Bacteria;p_;c_;o_;f_;g_;s_uncultured bacterium,49906,676,3217.5970824679716
root;k_Bacteria;p_;c_;o_;f_;g_;s_uncultured bacterium 125003-E23,283,1,3.53356890459364
root;k_Bacteria;p_;c_;o_;f_;g_;s_uncultured bacterium 1i11,2238,2,1.9860761684171293
root;k_Bacteria;p_;c_;o_;f_;g_;s_uncultured bacterium 22g15,10758,10,7.182448360276915
root;k_Bacteria;p_;c_;o_;f_;g_;s_uncultured bacterium Ak20-3,366,1,2.73224043715847
root;k_Bacteria;p_;c_;o_;f_;g_;s_uncultured bacterium BD_contig00061,2799,2,1.4696431271737487
root;k_Bacteria;p_;c_;o_;f_;g_;s_uncultured bacterium BD_contig03192,189,1,5.291005291005291
root;k_Bacteria;p_;c_;o_;f_;g_;s_uncultured bacterium FC3,283,2,7.06713780918728
root;k_Bacteria;p_;c_;o_;f_;g_;s_uncultured rumen bacterium,726,3,17.603098655730236
root;k_Bacteria;p_Acidobacteria,179,1,5.58659217877095
root;k_Bacteria;p_Actinobacteria;c_Actinobacteria;o_Actinomycetales;f_Actinomycetaceae;g_Actinotignum;s_Actinotignum schaalii,489,1,2.044989775051125
root;k_Bacteria;p_Actinobacteria;c_Actinobacteria;o_Corynebacteriales;f_Corynebacteriaceae;g_Corynebacterium;s_Corynebacterium humireducens,822,1,1.2165450121654502
root;k_Bacteria;p_Actinobacteria;c_Actinobacteria;o_Corynebacteriales;f_Gordoniaceae;g_Gordonia;s_Gordonia bronchialis,1167,1,0.856898029134533
root;k_Bacteria;p_Actinobacteria;c_Actinobacteria;o_Corynebacteriales;f_Mycobacteriaceae;g_Mycobacteroides;s_Mycobacteroides abscessus,549,1,1.8214936247723132
root;k_Bacteria;p_Actinobacteria;c_Actinobacteria;o_Corynebacteriales;f_Mycobacteriaceae;g_Mycolicibacterium;s_Mycolicibacterium gilvum,275,1,3.6363636363636362
root;k_Bacteria;p_Actinobacteria;c_Actinobacteria;o_Frankiales;f_Frankiaceae;g_Frankia;s_Frankia alni,1152,1,0.8680555555555556
root;k_Bacteria;p_Actinobacteria;c_Actinobacteria;o_Propionibacteriales;f_Propionibacteriaceae;g_Cutibacterium;s_Cutibacterium acnes,5304,4,3.5127251613082597
root;k_Bacteria;p_Actinobacteria;c_Actinobacteria;o_Pseudonocardiales;f_Pseudonocardiaceae;g_Allokutzneria;s_Allokutzneria albata,1662,1,0.601684717208183
