genus,Length,Reads,RPK,percentage_rpk
unclassified,5088715,15838,32754.99846983443,40.91258185589964
g_Blautia,427343,5370,21787.857925006316,27.21409135898636
g_unknown,410481,3012,10877.183711319936,13.586130048544147
g_Tannerella,5709,1755,7120.816722109625,8.894245478059448
g_Lactobacillus,42336,792,3173.1599963304543,3.963430748174055
g_Anaerotignum,13236,472,1677.1990049060687,2.094902908942185
g_Parabacteroides,147183,378,563.4340262316289,0.7037564278877875
g_Bacteroides,296921,387,409.823022479726,0.5118888333661626
g_Weissella,237,83,350.210970464135,0.4374304889418119
g_Porphyromonas,6496,86,196.94542389970064,0.24599438720358718
g_Anaerophaga,150,27,180.0,0.2248287308223819
g_Paludibacter,1401,22,139.5415557527359,0.17429417153815696
g_Tyzzerella,2784,13,45.63293473420674,0.05699774888884604
g_Prevotella,29409,33,43.929220563648414,0.05486972725189751
g_Pseudomonas,10069,24,39.76094526390038,0.04966334922211621
g_Chlamydia,1122,10,34.25426774483378,0.04278524190178351
g_Mahella,1314,10,30.667334557800412,0.03830498836853133
g_Clostridium,26733,21,26.497369469367303,0.033096499710719894
g_Megasphaera,1272,27,21.22641509433962,0.02651282203094126
g_Ruminiclostridium,4083,6,19.382896686921498,0.024210178121010617
g_Candidatus Azobacteroides,483,3,18.89644746787604,0.02360257945141323
g_Bacillus,9489,11,18.434885964987856,0.023026066746464225
g_Chitinophaga,1570,16,17.945148687198156,0.02241436113200941
g_Paenibacillus,16458,26,15.648366083783088,0.01954556825589421
g_Ruminococcus,4077,18,13.927907327496484,0.017396631819182152
g_Pedobacter,4941,6,13.89337204347327,0.017353495574318097
g_Streptococcus,10548,9,13.816755732383317,0.017257798085525616
g_Lachnoclostridium,8502,10,11.626976999643352,0.014522658234060225
g_Leadbetterella,2391,3,11.563395145484698,0.014443241414205648
g_Phycisphaera,267,3,11.235955056179774,0.01403425286032346
g_Draconibacterium,5253,24,10.731263888554361,0.013403869112131863
g_Roseburia,2487,3,8.851816032667097,0.011056347578320861
g_Sporosarcina,1437,3,8.093580111172194,0.010109274134467317
g_Winogradskyella,1140,2,7.8097704338533,0.009754782081430002
g_Gottschalkia,525,2,7.752968279284069,0.009683833435209017
