taxa,reads
g__Acidovorax.s__Acidovorax_sp_MR_S7,1.0
g__Acinetobacter.s__Acinetobacter_baumannii,9.0
g__Acinetobacter.s__Acinetobacter_johnsonii,3.0
g__Acinetobacter.s__Acinetobacter_radioresistens,3.0
g__Acinetobacter.s__Acinetobacter_sp_P8_3_8,9.0
g__Actinomadura.s__Actinomadura_madurae,1.0
g__Actinomyces.s__Actinomyces_odontolyticus,10.0
g__Aeromonas.s__Aeromonas_hydrophila,6.0
g__Afipia.s__Afipia_broomeae,1.0
g__Alcaligenes.s__Alcaligenes_sp_EGD_AK7,1.0
g__Alcanivorax.s__Alcanivorax_hongdengensis,3.0
g__Alicycliphilus.s__Alicycliphilus_denitrificans,1.0
g__Alicycliphilus.s__Alicycliphilus_sp_CRZ1,1.0
g__Alloprevotella.s__Alloprevotella_tannerae,1.0
g__Anaerostipes.s__Anaerostipes_caccae,39.0
g__Anaerotruncus.s__Anaerotruncus_colihominis,3.0
g__Bacillus.s__Bacillus_anthracis,3.0
g__Bacillus.s__Bacillus_licheniformis,5.0
g__Bacillus.s__Bacillus_smithii,1.0
g__Bacillus.s__Bacillus_sp_2_A_57_CT2,5.0
g__Bacillus.s__Bacillus_sp_37MA,11.0
g__Bacillus.s__Bacillus_sp_7_6_55CFAA_CT2,1.0
g__Bacillus.s__Bacillus_sp_BT1B_CT2,1.0
g__Bacillus.s__Bacillus_sp_JC63,4.0
g__Bacteroides.s__Bacteroides_caccae,405.0
g__Bacteroides.s__Bacteroides_coprocola,291.0
g__Bacteroides.s__Bacteroides_dorei,1.0
g__Bacteroides.s__Bacteroides_fragilis,5.0
g__Bacteroides.s__Bacteroides_ovatus,93.0
g__Bacteroides.s__Bacteroides_plebeius,398.0
g__Bacteroides.s__Bacteroides_salyersiae,1.0
g__Bacteroides.s__Bacteroides_sp_2_1_16,26.0
g__Bacteroides.s__Bacteroides_sp_2_1_22,98.0
g__Bacteroides.s__Bacteroides_sp_2_1_33B,539.0
g__Bacteroides.s__Bacteroides_sp_2_1_7,1.0
g__Bacteroides.s__Bacteroides_sp_2_2_4,5.0
g__Bacteroides.s__Bacteroides_sp_3_1_19,4.0
g__Bacteroides.s__Bacteroides_sp_3_1_33FAA,299.0
g__Bacteroides.s__Bacteroides_sp_4_1_36,1.0
g__Bacteroides.s__Bacteroides_sp_HPS0048,2.0
g__Bacteroides.s__Bacteroides_stercoris,3.0
g__Bacteroides.s__Bacteroides_thetaiotaomicron,3.0
g__Bacteroides.s__Bacteroides_uniformis,118.0
g__Bacteroides.s__Bacteroides_vulgatus,8.0
g__Bacteroides.s__Bacteroides_xylanisolvens,8.0
g__Barnesiella.s__Barnesiella_intestinihominis,72.0
g__Blattabacterium.s__Blattabacterium_sp_Nauphoeta_cinerea,4.0
