genus,reads
g__Acidovorax,1.0
g__Acinetobacter,24.0
g__Actinomadura,1.0
g__Actinomyces,10.0
g__Aeromonas,6.0
g__Afipia,1.0
g__Alcaligenes,1.0
g__Alcanivorax,3.0
g__Alicycliphilus,2.0
g__Alloprevotella,1.0
g__Anaerostipes,39.0
g__Anaerotruncus,3.0
g__Bacillus,31.0
g__Bacteroides,2309.0
g__Barnesiella,72.0
g__Blattabacterium,4.0
g__Blautia,5737.0
g__Bordetella,1.0
g__Botryotinia,1.0
g__Bradyrhizobiaceae_noname,1.0
g__Bradyrhizobium,3.0
g__Brucella,12.0
g__Burkholderia,6.0
g__Butyricicoccus,2.0
g__Caldanaerobacter,13.0
g__Campylobacter,1.0
g__Candidatus_Sulcia,1.0
g__Carnobacterium,163.0
g__Caulobacter,1.0
g__Centipeda,2.0
g__Chlamydia,24.0
g__Citrobacter,1.0
g__Clostridiales_noname,104.0
g__Clostridium,3205.0
g__Collinsella,1.0
g__Coprococcus,72.0
g__Corynebacterium,3.0
g__Cupriavidus,1.0
g__Curvibacter,1.0
g__Dorea,106.0
g__Enterococcus,301.0
g__Erysipelothrix,3.0
g__Erysipelotrichaceae_noname,14.0
g__Escherichia,25.0
g__Eubacterium,376.0
g__Faecalibacterium,30.0
g__Fervidobacterium,1.0
g__Finegoldia,16.0
g__Flavobacteriia_noname,1.0
g__Fusobacterium,8.0
g__Heliobacterium,18.0
g__Ilumatobacter,1.0
g__Johnsonella,1.0
g__Klebsiella,1.0
g__Lachnospiraceae_noname,47.0
g__Lactobacillus,445.0
g__Leptosphaeria,3.0
g__Leptospira,1.0
g__Leptotrichia,4.0
g__Limnohabitans,2.0
g__Listeria,616.0
g__Marinilabilia,1.0
g__Massilia,1.0
g__Mesorhizobium,6.0
g__Microbacterium,1.0
g__Mucispirillum,322.0
g__Myceliophthora,1.0
g__Myxococcus,1.0
g__Opitutaceae_noname,1.0
g__Paenibacillus,234.0
g__Parabacteroides,10482.0
g__Paraprevotella,75.0
g__Parvimonas,14.0
g__Peptostreptococcaceae_noname,95.0
g__Persephonella,1.0
g__Plasmodium,36.0
g__Polaromonas,1.0
g__Porphyromonas,56.0
g__Prevotella,198.0
g__Propionibacterium,40.0
g__Pseudoflavonifractor,3.0
g__Pseudomonas,6.0
g__Pseudoramibacter,2.0
g__Pseudovibrio,4.0
g__Rhodococcus,1445.0
g__Rhodopseudomonas,2.0
g__Rhodospirillales_noname,3.0
g__Rhodospirillum,4.0
g__Rothia,1.0
g__Ruminococcus,17.0
g__Scheffersomyces,1.0
g__Shigella,8.0
g__Singularimonas,2.0
g__Sphingopyxis,2.0
g__Staphylococcus,33.0
g__Stenotrophomonas,2.0
g__Streptococcus,62.0
g__Streptomyces,1.0
g__Sutterella,2.0
g__Tannerella,1775.0
g__Tetrasphaera,3.0
g__Thalassiosira,11.0
g__Thermosinus,1.0
g__Vibrio,20.0
g__Xanthomonas,1.0
g__Zymoseptoria,2.0
