GeneID,RPK,taxa
UniRef90_S0GJR7|g__Parabacteroides.s__Parabacteroides_goldsteinii,5983.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_unknown|g__Parabacteroides.s__Parabacteroides_goldsteinii,3732.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_unknown|g__Escherichia.s__Escherichia_coli,915.0,g__Escherichia.s__Escherichia_coli
UniRef90_L2CS94|g__Escherichia.s__Escherichia_coli,1137.0,g__Escherichia.s__Escherichia_coli
UniRef90_A0A023KWQ1|g__Escherichia.s__Escherichia_coli,931.0,g__Escherichia.s__Escherichia_coli
UniRef90_X2PD96|g__Escherichia.s__Escherichia_coli,866.0,g__Escherichia.s__Escherichia_coli
UniRef90_K5Z1A3|g__Parabacteroides.s__Parabacteroides_goldsteinii,415.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_X3F781|g__Escherichia.s__Escherichia_coli,409.0,g__Escherichia.s__Escherichia_coli
UniRef90_N2B405|g__Parabacteroides.s__Parabacteroides_goldsteinii,393.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_R6X2N4|g__Parabacteroides.s__Parabacteroides_goldsteinii,328.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K6AUE6|g__Parabacteroides.s__Parabacteroides_goldsteinii,259.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_R5DPL5|g__Parabacteroides.s__Parabacteroides_goldsteinii,253.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_R5I7R5|g__Parabacteroides.s__Parabacteroides_goldsteinii,231.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_R6X5K9|g__Parabacteroides.s__Parabacteroides_goldsteinii,218.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_A1AII0|g__Escherichia.s__Escherichia_coli,214.0,g__Escherichia.s__Escherichia_coli
UniRef90_K6A195|g__Parabacteroides.s__Parabacteroides_goldsteinii,193.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K5ZU07|g__Parabacteroides.s__Parabacteroides_goldsteinii,176.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K6A1K8|g__Parabacteroides.s__Parabacteroides_goldsteinii,161.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_Q5L7N5|g__Parabacteroides.s__Parabacteroides_goldsteinii,138.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K5YZ96|g__Parabacteroides.s__Parabacteroides_goldsteinii,134.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K5ZV36|g__Parabacteroides.s__Parabacteroides_goldsteinii,126.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_N2BCN4|g__Parabacteroides.s__Parabacteroides_goldsteinii,123.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K5ZGT5|g__Parabacteroides.s__Parabacteroides_goldsteinii,116.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K5ZDK4|g__Parabacteroides.s__Parabacteroides_goldsteinii,109.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
