genus,Length,Reads,RPK,percentage_rpk
g_unknown,2178583,57661,164940.11131784652,36.55506264463499
unclassified,7019585,54478,108172.00212099357,23.97375800425242
g_Blautia,287083,28743,84585.54275816861,18.74637885018056
g_Parabacteroides,189295,11300,35407.53042910382,7.847239113556144
g_Bacteroides,323091,10321,21565.277685619298,4.779432185707918
g_Anaerotignum,16985,4506,18584.54895741612,4.118824377725064
g_Lactobacillus,36312,2544,7305.684749435373,1.6191317051007026
g_Weissella,447,363,1532.1880650994576,0.3395731350947169
g_Clostridium,48513,789,1109.6334086240797,0.24592392014739836
g_Anaerophaga,414,164,1090.4545454545455,0.2416733801240308
g_Tannerella,17247,255,1077.7967759469382,0.23886808580480798
g_Escherichia,675120,647,929.6152386413734,0.20602716351062533
g_Ralstonia,24001,453,766.6073851508047,0.16990033997264167
g_Ruminococcus,1533,275,402.1851164708308,0.08913478965101372
g_Leadbetterella,180,70,388.8888888888889,0.08618799624635437
g_Mycoplasma,9445,332,279.5774770565347,0.06196171511086415
g_Chlamydia,2229,84,279.3786947026219,0.0619176597180196
g_Geosporobacter,1713,338,197.31465265615878,0.04373011168066217
g_Raoultella,273,50,183.15018315018312,0.04059089305165825
g_Bradyrhizobium,76154,166,168.8340725719803,0.03741806677651858
g_Bacillus,12499,55,152.19142096807843,0.03372961787774764
g_Staphylococcus,18240,184,135.63275053043685,0.030059781412114312
g_Porphyromonas,4009,60,133.48576479158555,0.02958395295805436
g_Streptococcus,16137,27,81.6351611015439,0.01809249675066103
g_Cutibacterium,54489,44,72.07824762435435,0.01597443360606425
g_Prevotella,21756,74,67.39241817186745,0.014935930674247686
g_Mesorhizobium,12951,67,59.52965227241657,0.013193335148404681
g_Cellulophaga,2445,65,55.073180339994124,0.012205663869646827
g_Vibrio,9387,31,53.00980985960002,0.01174836675394071
g_Blattabacterium,912,46,50.43859649122807,0.011178518310147465
g_Paenibacillus,8364,172,50.34695894276243,0.011158209021533569
g_Enterococcus,5007,49,46.263150297192325,0.010253129719265846
g_Pseudomonas,28653,47,46.1076391363847,0.010218664359809964
g_Acidovorax,13362,57,45.60250330527644,0.010106712986655931
g_Tyzzerella,972,16,45.098701810706544,0.009995057337539907
g_Pedobacter,3219,15,43.57816624921312,0.009658066703426196
g_Fusobacterium,5229,47,38.35930448703378,0.00850142980579174
g_Coprococcus,1515,14,33.97014600427263,0.00752867695621121
g_Thermovirga,201,6,29.850746268656714,0.006615709733195644
g_Mucilaginibacter,7698,12,28.985618988197707,0.006423974795707822
g_Frischella,981,27,27.522935779816514,0.0060998057631758
g_Barnesiella,24240,36,26.921877062045066,0.005966595357861481
g_Thermodesulfovibrio,1056,26,24.62121212121212,0.00545670755455815
g_Ruminiclostridium,2736,11,23.5801116130431,0.005225972325926338
g_Clostridioides,6399,24,23.31749436735526,0.0051677694437348674
g_Sphingomonas,6081,38,19.561292666912546,0.004335296448727794
g_Caulobacter,14018,31,19.1877918953849,0.004252518863627818
g_Bartonella,3711,21,18.3543634020779,0.00406780921029218
g_Starkeya,1377,25,18.15541031227306,0.0040237159778876925
g_Rhodopseudomonas,16878,36,17.085023285617474,0.003786490087224881
g_Buchnera,1008,17,16.865079365079364,0.0037377447351735313
g_Bordetella,3387,15,16.828197457995294,0.0037295707354524222
g_Agrobacterium,3786,17,16.33782746256728,0.0036208918594731448
g_Chryseobacterium,1017,10,15.779351341900515,0.0034971188765801874
g_Thiobacillus,1239,9,14.44991789819376,0.0032024814931791066
g_Methylobacterium,3879,12,14.247973257785922,0.003157725254554827
g_Alistipes,7407,22,13.932282447649769,0.003087759875917338
g_Petrimonas,1935,5,13.569192124191447,0.003007289519655104
g_Polymorphum,1239,16,12.9136400322841,0.002862001950760989
g_Flavobacterium,1461,6,12.161272483080085,0.0026952575326009694
g_Formosa,3843,6,12.043346763533304,0.002669122094525878
g_Candidatus Blochmannia,933,11,11.789924973204716,0.002612957166862374
g_Synechococcus,2238,17,11.72605839098464,0.0025988026540801276
g_Cupriavidus,528,6,11.363636363636363,0.002518480409796069
g_Lactococcus,2586,5,10.693064773060307,0.0023698641253436896
g_Oceanobacillus,1314,14,10.6544901065449,0.002361314965653544
g_Methylophilus,1692,18,10.638297872340425,0.0023577263410856815
g_Treponema,891,3,10.184747471901417,0.002257207654829931
g_Shigella,2313,5,10.093840032360056,0.0022370601775380428
g_Elizabethkingia,3942,7,9.444307575893284,0.002093106718029874
g_Leeuwenhoekiella,108,1,9.25925925925926,0.0020520951487227232
g_Thermus,444,4,9.00900900900901,0.0019966331176761633
g_Xanthomonas,4101,17,8.9703904655908,0.0019880742337114446
g_Francisella,3348,11,8.919862970917356,0.001976876013228224
g_Sphingobium,2433,5,8.856227203978472,0.001962772655177206
g_Brevundimonas,11892,13,8.71414183614752,0.0019312828042219255
g_Erysipelothrix,699,3,8.393997920071312,0.0018603305002980325
g_Wenyingzhuangia,1314,11,8.37138508371385,0.0018553189015849275
g_Desulfobacula,2802,11,7.851534618129907,0.0017401063787884333
g_Odoribacter,9435,11,7.377807369457963,0.0016351159727961476
g_Acinetobacter,6576,7,7.207847316933656,0.0015974483592758745
g_Caldicellulosiruptor,3168,5,7.190374321629751,0.00159357588439502
g_Moraxella,1682,5,7.114325345920102,0.0015767214331101572
g_Chitinophaga,283,2,7.06713780918728,0.0015662634350675202
g_Sphingopyxis,5442,6,7.006690939430307,0.0015528668204236743
g_Candidatus Brownia,144,1,6.944444444444445,0.0015390713615420423
g_Paracoccus,144,1,6.944444444444445,0.0015390713615420423
g_Lachnoclostridium,3090,4,6.916031330814348,0.001532774268976876
g_Stenotrophomonas,4158,6,6.679329811640993,0.0014803149927442544
g_Afipia,762,5,6.561679790026247,0.001454240656575158
g_Microbacterium,4903,14,6.17174903375246,0.0013678217551401383
g_Mahella,657,2,6.094506595424946,0.0013507028011796585
g_Desulfitobacterium,2820,2,6.028075440722857,0.001335979911748532
g_Paraburkholderia,1164,7,6.013745704467354,0.0013328040656652737
g_Sporosarcina,333,2,6.006006006006006,0.001331088745117442
g_Desulfobacterium,3996,12,6.006006006006006,0.001331088745117442
g_Actinotignum,339,2,5.899705014749262,0.001307529652283505
g_Cellulosilyticum,1194,7,5.8626465661641545,0.0012993165263269504
g_Desulfosporosinus,552,3,5.434782608695651,0.001204490630772033
g_Paludibacter,5403,4,5.362636922335934,0.0011885012509701878
g_Neorickettsia,396,2,5.05050505050505,0.0011193246265760307
g_Capnocytophaga,4953,7,4.973971926587983,0.0011023628753268953
g_Runella,4458,3,4.703993088887582,0.001042528470911794
g_Actinomyces,1961,3,4.7020893522589295,0.0010421065528521825
g_Leuconostoc,3015,3,4.6129551307917245,0.0010223520672787156
g_Solitalea,7053,9,4.52952608303111,0.0010038619981081274
g_Rahnella,888,4,4.504504504504505,0.0009983165588380817
g_Hydrogenovibrio,2232,5,4.480286738351254,0.000992949265510995
g_Ramlibacter,1410,6,4.25531914893617,0.0009430905364342727
g_Brachyspira,2112,3,4.1785521548068765,0.0009260769534009198
g_Lysinibacillus,5016,12,4.001412989320825,0.0008868182598095062
g_Rothia,1176,2,3.9668083383930375,0.0008791489598899535
g_Advenella,1524,6,3.937007874015748,0.0008725443939450949
g_Eubacterium,1833,2,3.8924139336951815,0.0008626612050169143
g_Thermoanaerobacter,261,1,3.8314176245210727,0.0008491428201611268
g_Dermacoccus,270,1,3.7037037037037033,0.0008208380594890892
g_Candidatus Azobacteroides,283,1,3.53356890459364,0.0007831317175337601
g_Algoriphagus,1740,3,3.3510215341674376,0.0007426744236212805
g_Ignavibacterium,300,1,3.3333333333333335,0.0007387542535401804
g_Leptospira,2442,4,3.2760032760032756,0.0007260484064276955
g_Fictibacillus,1440,2,3.2441858107423105,0.0007189968200881741
g_Gemmatimonas,309,1,3.236245954692557,0.0007172371393593984
g_Dechloromonas,1251,4,3.19744204636291,0.0007086371736596454
g_Burkholderia,6825,7,3.18822442716248,0.0007065943070420961
g_Anaerostipes,1920,3,3.180817225348666,0.0007049526764880605
g_Neorhizobium,1890,3,3.1179138321995463,0.0006910116317127537
g_Chlorobium,1914,2,2.9895786474733845,0.0006625691826341587
g_Fermentimonas,2583,2,2.9824998960801428,0.0006610003453237054
