taxa,reads
g__Achromobacter.s__Achromobacter_arsenitoxydans,1.0
g__Acidovorax.s__Acidovorax_avenae,6.0
g__Acidovorax.s__Acidovorax_citrulli,3.0
g__Acidovorax.s__Acidovorax_delafieldii,2.0
g__Acidovorax.s__Acidovorax_ebreus,3.0
g__Acidovorax.s__Acidovorax_radicis,11.0
g__Acidovorax.s__Acidovorax_sp_CF316,1.0
g__Acidovorax.s__Acidovorax_sp_JS42,10.0
g__Acidovorax.s__Acidovorax_sp_KKS102,46.0
g__Acidovorax.s__Acidovorax_sp_MR_S7,1.0
g__Acidovorax.s__Acidovorax_sp_NO_1,7.0
g__Acinetobacter.s__Acinetobacter_baumannii,9.0
g__Acinetobacter.s__Acinetobacter_lwoffii,1.0
g__Acinetobacter.s__Acinetobacter_pittii_calcoaceticus_nosocomialis,1.0
g__Acinetobacter.s__Acinetobacter_sp_ANC_3994,8.0
g__Acinetobacter.s__Acinetobacter_sp_NCTC_10304,1.0
g__Acinetobacter.s__Acinetobacter_sp_P8_3_8,12.0
g__Acinetobacter.s__Acinetobacter_sp_TG2027,1.0
g__Acinetobacter.s__Acinetobacter_venetianus,3.0
g__Actinokineospora.s__Actinokineospora_enzanensis,1.0
g__Actinomyces.s__Actinomyces_odontolyticus,173.0
g__Actinomyces.s__Actinomyces_oris,2.0
g__Aeromonas.s__Aeromonas_hydrophila,2.0
g__Aeromonas.s__Aeromonas_media,39.0
g__Afipia.s__Afipia_birgiae,2.0
g__Afipia.s__Afipia_broomeae,11.0
g__Afipia.s__Afipia_clevelandensis,1.0
g__Aggregatibacter.s__Aggregatibacter_actinomycetemcomitans,1.0
g__Agrobacterium.s__Agrobacterium_sp_224MFTsu3_1,3.0
g__Alcanivorax.s__Alcanivorax_hongdengensis,6.0
g__Alicycliphilus.s__Alicycliphilus_sp_CRZ1,1.0
g__Aliivibrio.s__Aliivibrio_logei,2.0
g__Alistipes.s__Alistipes_putredinis,5.0
g__Alistipes.s__Alistipes_shahii,1.0
g__Amorphus.s__Amorphus_coralli,27.0
g__Anaerostipes.s__Anaerostipes_caccae,17629.0
g__Anaerostipes.s__Anaerostipes_sp_3_2_56FAA,3.0
g__Anaerotruncus.s__Anaerotruncus_colihominis,8.0
g__Aspergillus.s__Aspergillus_clavatus,1.0
g__Asticcacaulis.s__Asticcacaulis_biprosthecium,4.0
g__Asticcacaulis.s__Asticcacaulis_excentricus,14.0
g__Azorhizobium.s__Azorhizobium_caulinodans,17.0
g__Azotobacter.s__Azotobacter_vinelandii,2.0
g__Babesia.s__Babesia_bovis,583.0
g__Bacillus.s__Bacillus_alcalophilus,8.0
g__Bacillus.s__Bacillus_anthracis,36.0
g__Bacillus.s__Bacillus_azotoformans,2.0
g__Bacillus.s__Bacillus_cereus_thuringiensis,18.0
g__Bacillus.s__Bacillus_coahuilensis,1.0
g__Bacillus.s__Bacillus_licheniformis,7.0
g__Bacillus.s__Bacillus_smithii,1.0
g__Bacillus.s__Bacillus_sp_2_A_57_CT2,28.0
g__Bacillus.s__Bacillus_sp_7_6_55CFAA_CT2,1.0
g__Bacillus.s__Bacillus_sp_BT1B_CT2,4.0
g__Bacillus.s__Bacillus_sp_FJAT_13831,4.0
g__Bacillus.s__Bacillus_sp_JC63,15.0
g__Bacillus.s__Bacillus_subtilis,2.0
g__Bacteroides.s__Bacteroides_barnesiae,1.0
g__Bacteroides.s__Bacteroides_caccae,27495.0
g__Bacteroides.s__Bacteroides_clarus,1.0
g__Bacteroides.s__Bacteroides_coprocola,8705.0
g__Bacteroides.s__Bacteroides_dorei,3.0
g__Bacteroides.s__Bacteroides_eggerthii,1.0
g__Bacteroides.s__Bacteroides_faecis,2.0
g__Bacteroides.s__Bacteroides_finegoldii,1.0
g__Bacteroides.s__Bacteroides_fluxus,1.0
g__Bacteroides.s__Bacteroides_fragilis,8.0
g__Bacteroides.s__Bacteroides_massiliensis,1.0
g__Bacteroides.s__Bacteroides_nordii,1.0
g__Bacteroides.s__Bacteroides_ovatus,155.0
g__Bacteroides.s__Bacteroides_plebeius,377.0
g__Bacteroides.s__Bacteroides_pyogenes,1.0
g__Bacteroides.s__Bacteroides_salyersiae,4.0
g__Bacteroides.s__Bacteroides_sp_1_1_14,3.0
g__Bacteroides.s__Bacteroides_sp_2_1_16,8.0
g__Bacteroides.s__Bacteroides_sp_2_1_22,6.0
g__Bacteroides.s__Bacteroides_sp_2_1_33B,8935.0
g__Bacteroides.s__Bacteroides_sp_2_1_56FAA,1.0
g__Bacteroides.s__Bacteroides_sp_2_1_7,7.0
g__Bacteroides.s__Bacteroides_sp_2_2_4,5.0
g__Bacteroides.s__Bacteroides_sp_3_1_19,33.0
g__Bacteroides.s__Bacteroides_sp_3_1_23,1.0
g__Bacteroides.s__Bacteroides_sp_3_1_33FAA,10848.0
g__Bacteroides.s__Bacteroides_sp_D20,2.0
g__Bacteroides.s__Bacteroides_sp_HPS0048,7.0
g__Bacteroides.s__Bacteroides_stercoris,2.0
g__Bacteroides.s__Bacteroides_thetaiotaomicron,6.0
g__Bacteroides.s__Bacteroides_uniformis,30.0
g__Bacteroides.s__Bacteroides_vulgatus,97.0
g__Barnesiella.s__Barnesiella_intestinihominis,351.0
g__Bifidobacterium.s__Bifidobacterium_adolescentis,3.0
g__Bifidobacterium.s__Bifidobacterium_breve,3.0
g__Bifidobacterium.s__Bifidobacterium_longum,3.0
g__Bifidobacterium.s__Bifidobacterium_pseudocatenulatum,2.0
g__Blattabacterium.s__Blattabacterium_sp_Nauphoeta_cinerea,1.0
g__Blautia.s__Blautia_hansenii,74.0
g__Blautia.s__Blautia_producta,1309.0
g__Blautia.s__Blautia_sp_KLE_1732,10.0
g__Blautia.s__Ruminococcus_gnavus,720.0
g__Blautia.s__Ruminococcus_obeum,5434.0
g__Blautia.s__Ruminococcus_torques,8044.0
g__Brachybacterium.s__Brachybacterium_paraconglomeratum,4.0
g__Brachyspira.s__Brachyspira_hampsonii,1.0
g__Bradyrhizobium.s__Bradyrhizobium_diazoefficiens,21.0
g__Bradyrhizobium.s__Bradyrhizobium_elkanii,15.0
g__Bradyrhizobium.s__Bradyrhizobium_japonicum,68.0
g__Bradyrhizobium.s__Bradyrhizobium_oligotrophicum,2.0
g__Bradyrhizobium.s__Bradyrhizobium_sp,1.0
g__Bradyrhizobium.s__Bradyrhizobium_sp_BTAi1,7.0
g__Bradyrhizobium.s__Bradyrhizobium_sp_CCGE_LA001,2.0
