uniref90,taxa,RPK
UniRef90_D1KAJ3,unclassified,30293.797735595897
UniRef90_A7AJP8,unclassified,19734.217179076
UniRef90_D0TKA0,unclassified,11559.4593359429
UniRef90_A8RZB5,unclassified,9460.3315568181
UniRef90_S0GJR7,g__Parabacteroides.s__Parabacteroides_goldsteinii,5983.0
UniRef90_S0GJR7,unclassified,51.0
UniRef90_A5ZLI4,unclassified,5326.1751048863
UniRef90_A7ACF2,unclassified,5241.7388909692
UniRef90_unknown,g__Parabacteroides.s__Parabacteroides_goldsteinii,3732.0
UniRef90_unknown,g__Escherichia.s__Escherichia_coli,915.0
UniRef90_B1QRR6,unclassified,4431.7470007721995
UniRef90_B5CUP9,unclassified,3492.027529643
UniRef90_A7AJP9,unclassified,3076.0070009803003
UniRef90_UPI000156FA79,unclassified,2678.3390379906
UniRef90_A5ZQM1,unclassified,2405.1736361354997
UniRef90_D4CI29,unclassified,2241.0
UniRef90_S7K4H7,unclassified,2194.2257186142
UniRef90_W1YU10,unclassified,2069.704082145
UniRef90_A7VD49,unclassified,1782.9360382780999
UniRef90_W8YNF3,unclassified,1644.8760806847
UniRef90_UPI0001532979,unclassified,1542.465586524
UniRef90_R9J210,unclassified,1518.9215519057998
UniRef90_W1WT70,unclassified,1518.8394727445002
UniRef90_A8S6F0,unclassified,1487.2296486638002
UniRef90_K0WTB3,unclassified,1439.0271083281
UniRef90_V1EAX6,unclassified,1402.0
UniRef90_B3C522,unclassified,1342.363977667
UniRef90_A7B5X1,unclassified,1284.1711004619
UniRef90_D9UEL3,unclassified,1272.0815462953
UniRef90_W2CMU2,unclassified,1261.5040522264
UniRef90_UPI00015BEA70,unclassified,1243.8258834629
UniRef90_G9S8W7,unclassified,1205.0123772441
UniRef90_UPI0001DE5DFE,unclassified,1203.2779438226
UniRef90_G5SMU9,unclassified,1150.8525075301
UniRef90_L2CS94,g__Escherichia.s__Escherichia_coli,1137.0
UniRef90_A7VEU0,unclassified,961.1785032517
UniRef90_A0A023KWQ1,g__Escherichia.s__Escherichia_coli,931.0
UniRef90_A8SIA6,unclassified,923.0334787458
UniRef90_X2PD96,g__Escherichia.s__Escherichia_coli,866.0
UniRef90_X2PD96,unclassified,1.0
UniRef90_A7SPZ4,unclassified,842.7693665424
UniRef90_A0A015S3B6,unclassified,820.0
UniRef90_A5ZYU0,unclassified,801.3803834911
UniRef90_A8ST13,unclassified,799.0691486060001
UniRef90_R9D7R0,unclassified,798.8446860889
UniRef90_A5KRL1,unclassified,723.8948789157
UniRef90_D1KAJ2,unclassified,712.2256955455999
UniRef90_D5GZ89,unclassified,688.4422638982
UniRef90_E0XVH4,unclassified,679.0
UniRef90_B7R8V5,unclassified,664.2483379885
UniRef90_A7B6K6,unclassified,656.8620938686
UniRef90_A7B8Q0,unclassified,645.6159538455
UniRef90_W1I8G9,unclassified,640.2873560945
UniRef90_UPI000156186B,unclassified,604.3243007812
UniRef90_D6SEF8,unclassified,599.8253123756
UniRef90_E9RZN0,unclassified,590.0
UniRef90_F1YWH0,unclassified,545.5008829294001
UniRef90_A7VEM4,unclassified,544.8202891342
UniRef90_UPI00036D18AF,unclassified,531.2178442033
UniRef90_W8YEK8,unclassified,512.0
UniRef90_B1A1E2,unclassified,464.5674359502
UniRef90_A7B8Q2,unclassified,441.2546503766
UniRef90_A6BKY7,unclassified,433.8947997981
UniRef90_A5Z319,unclassified,420.3845355811
UniRef90_UPI00019656B7,unclassified,415.11218370230006
UniRef90_K5Z1A3,g__Parabacteroides.s__Parabacteroides_goldsteinii,415.0
UniRef90_X3F781,g__Escherichia.s__Escherichia_coli,409.0
UniRef90_UPI00019660E0,unclassified,403.44550766339995
UniRef90_H4BMF2,unclassified,396.7355705943
UniRef90_UPI0001FD331E,unclassified,396.4023193334
UniRef90_N2B405,g__Parabacteroides.s__Parabacteroides_goldsteinii,393.0
UniRef90_C3WU82,unclassified,392.8702447274
UniRef90_W6U045,unclassified,390.9557364746
UniRef90_A0A026VT83,unclassified,387.1593557708
UniRef90_A5TSU5,unclassified,379.1553295657
UniRef90_I0UD96,unclassified,369.1500148825
UniRef90_N1ZRS8,unclassified,366.3297780004
UniRef90_UPI0002487685,unclassified,363.3119696871
UniRef90_T0NDH0,unclassified,361.15118473809997
UniRef90_W4SH06,unclassified,346.6147402151
UniRef90_A5Z511,unclassified,346.0889001758
UniRef90_A5ZYU5,unclassified,339.1651734091
UniRef90_R6X2N4,g__Parabacteroides.s__Parabacteroides_goldsteinii,328.0
UniRef90_A4EB57,unclassified,310.37300692540003
UniRef90_A4EBI3,unclassified,310.23484800119996
UniRef90_R0CI69,unclassified,309.8932010351
UniRef90_T1DKC0,unclassified,286.13286061860003
UniRef90_D4PZQ0,unclassified,284.62235498
UniRef90_A5ZYV5,unclassified,272.5333184238
UniRef90_A5ZQM3,unclassified,271.8817269836
UniRef90_J7TUV6,unclassified,265.8168705927
UniRef90_G6AJF3,unclassified,260.7360213074
UniRef90_K6AUE6,g__Parabacteroides.s__Parabacteroides_goldsteinii,259.0
UniRef90_R5DPL5,g__Parabacteroides.s__Parabacteroides_goldsteinii,253.0
UniRef90_A5KRI7,unclassified,252.81847099970003
UniRef90_A7B6Q1,unclassified,252.81847099970003
UniRef90_K7F1M8,unclassified,250.3780378107
UniRef90_D6S3A2,unclassified,244.5780700148
UniRef90_UPI0001FABDB5,unclassified,239.665654355
UniRef90_N1ZLN7,unclassified,238.6512911124
UniRef90_A0A016JHV3,unclassified,238.0
UniRef90_N1Z9E8,unclassified,236.0
UniRef90_N1ZM68,unclassified,234.0
UniRef90_R5I7R5,g__Parabacteroides.s__Parabacteroides_goldsteinii,231.0
UniRef90_F7AA48,unclassified,230.37342792889999
UniRef90_J3SBR0,unclassified,230.37342792889999
UniRef90_B0NWG2,unclassified,223.1846465937
UniRef90_A7VJ92,unclassified,221.1323077458
UniRef90_A6BKY9,unclassified,219.40348712669999
UniRef90_R6X5K9,g__Parabacteroides.s__Parabacteroides_goldsteinii,218.0
UniRef90_N1ZD63,unclassified,216.0
UniRef90_A5ZYV3,unclassified,215.457319442
UniRef90_A1AII0,g__Escherichia.s__Escherichia_coli,214.0
UniRef90_W9ES03,unclassified,210.6251775253
UniRef90_A2VD29,unclassified,210.4245122297
UniRef90_A5ZYK8,unclassified,207.7911913093
UniRef90_A8S539,unclassified,206.88833386029998
UniRef90_A5KR94,unclassified,205.0120860568
UniRef90_K4G302,unclassified,202.3281878477
UniRef90_A6P028,unclassified,199.1993618743
UniRef90_A7VD51,unclassified,197.509433495
UniRef90_B5CLP5,unclassified,197.509433495
UniRef90_K6A195,g__Parabacteroides.s__Parabacteroides_goldsteinii,193.0
UniRef90_A5Z324,unclassified,190.2901783243
UniRef90_A5ZYV6,unclassified,189.3156654759
UniRef90_Q3RFD0,unclassified,188.43737881599998
UniRef90_D1YGT1,unclassified,184.67118356330002
UniRef90_A5ZYU6,unclassified,176.4661777692
UniRef90_K5ZU07,g__Parabacteroides.s__Parabacteroides_goldsteinii,176.0
UniRef90_W1YRV6,unclassified,175.1634911783
UniRef90_W7JSH6,unclassified,174.29196419240003
UniRef90_A5Z2Z7,unclassified,169.7925370152
UniRef90_N1ZAM5,unclassified,164.0
UniRef90_K6A1K8,g__Parabacteroides.s__Parabacteroides_goldsteinii,161.0
UniRef90_Q5BXX7,unclassified,154.90406053799998
UniRef90_N1ZJP8,unclassified,153.6702219996
UniRef90_A5ZYV7,unclassified,153.5894440875
UniRef90_A5ZLI2,unclassified,149.9929990197
UniRef90_C7T763,unclassified,148.913939366
UniRef90_E0MU53,unclassified,146.3526409681
UniRef90_M1XNQ3,unclassified,144.5376518625
UniRef90_N1Z6E2,unclassified,143.0
UniRef90_E5VPR3,unclassified,141.4594476506
UniRef90_A5KR91,unclassified,141.064685185
UniRef90_Q5L7N5,g__Parabacteroides.s__Parabacteroides_goldsteinii,138.0
UniRef90_A0A009X8S5,unclassified,137.08639409030002
UniRef90_N1Z2S6,unclassified,137.0
UniRef90_K5YZ96,g__Parabacteroides.s__Parabacteroides_goldsteinii,134.0
UniRef90_B0NWR4,unclassified,132.986687161
UniRef90_B0NX14,unclassified,132.986687161
UniRef90_A5Z2Z6,unclassified,128.0181699781
UniRef90_A6BGW3,unclassified,127.55201334969999
UniRef90_C6JSD0,unclassified,127.54868003680001
UniRef90_UPI0001871175,unclassified,126.7984516123
UniRef90_K5ZV36,g__Parabacteroides.s__Parabacteroides_goldsteinii,126.0
UniRef90_N2BCN4,g__Parabacteroides.s__Parabacteroides_goldsteinii,123.0
UniRef90_B0NER4,unclassified,122.2770830908
UniRef90_K3Z2X2,unclassified,121.06622786950001
UniRef90_C9B2Y6,unclassified,120.1913387478
UniRef90_G1Q1K5,unclassified,119.5050285444
UniRef90_B6A8G9,unclassified,119.0
UniRef90_N1ZDX1,unclassified,117.0
UniRef90_K8EDY4,unclassified,116.9234561824
UniRef90_K5ZGT5,g__Parabacteroides.s__Parabacteroides_goldsteinii,116.0
UniRef90_Q5C0F6,unclassified,114.0
UniRef90_A0A014IHL6,unclassified,113.0
UniRef90_G1Q0M0,unclassified,109.3001965407
UniRef90_G1Q6C2,unclassified,109.2819071571
UniRef90_K5ZDK4,g__Parabacteroides.s__Parabacteroides_goldsteinii,109.0
UniRef90_N1Z1T4,unclassified,109.0
UniRef90_K5Z990,g__Parabacteroides.s__Parabacteroides_goldsteinii,107.0
UniRef90_D5H1L5,unclassified,106.0101537225
UniRef90_A6LE88,g__Parabacteroides.s__Parabacteroides_goldsteinii,103.0
UniRef90_K5ZDW5,g__Parabacteroides.s__Parabacteroides_goldsteinii,103.0
UniRef90_K6AYS9,g__Parabacteroides.s__Parabacteroides_goldsteinii,103.0
UniRef90_N1Z3G2,unclassified,103.0
UniRef90_A6P027,unclassified,102.9206242881
UniRef90_R6X3I5,g__Parabacteroides.s__Parabacteroides_goldsteinii,102.0
UniRef90_A7LQH0,unclassified,101.12423471209999
UniRef90_N2AX00,g__Parabacteroides.s__Parabacteroides_goldsteinii,100.0
UniRef90_R7JA67,g__Parabacteroides.s__Parabacteroides_goldsteinii,98.0
UniRef90_UPI00035E867A,unclassified,96.80181882469999
UniRef90_R5DAU4,g__Parabacteroides.s__Parabacteroides_goldsteinii,96.0
UniRef90_A7B8Q3,unclassified,95.3176559174
UniRef90_N2B6Q5,g__Parabacteroides.s__Parabacteroides_goldsteinii,94.0
UniRef90_B7R8V4,unclassified,92.3292236515
UniRef90_N1ZS05,unclassified,92.0
UniRef90_N2AUT8,g__Parabacteroides.s__Parabacteroides_goldsteinii,92.0
UniRef90_N2B6P7,g__Parabacteroides.s__Parabacteroides_goldsteinii,92.0
UniRef90_B7R8V3,unclassified,89.2325393666
UniRef90_H1A175,unclassified,87.9914570892
UniRef90_K5ZF52,g__Parabacteroides.s__Parabacteroides_goldsteinii,87.0
UniRef90_G7SQ06,unclassified,86.88696237399999
UniRef90_K5ZGJ0,g__Parabacteroides.s__Parabacteroides_goldsteinii,85.0
UniRef90_F3R5J3,unclassified,82.6584672571
UniRef90_D4V267,unclassified,82.5058210614
UniRef90_K5Y8F0,g__Parabacteroides.s__Parabacteroides_goldsteinii,82.0
UniRef90_M1Y8K3,unclassified,81.9364665547
UniRef90_K5ZUN2,g__Parabacteroides.s__Parabacteroides_goldsteinii,80.0
UniRef90_UPI000185C9BD,unclassified,79.3375553096
UniRef90_K5ZKI4,g__Parabacteroides.s__Parabacteroides_goldsteinii,79.0
UniRef90_N2ASE1,g__Parabacteroides.s__Parabacteroides_goldsteinii,79.0
UniRef90_N2BCA3,g__Parabacteroides.s__Parabacteroides_goldsteinii,78.0
UniRef90_W8YEG6,unclassified,77.7713584182
UniRef90_B0NIM7,unclassified,77.5438179214
UniRef90_R6WUS3,g__Parabacteroides.s__Parabacteroides_goldsteinii,77.0
UniRef90_N1ZJP4,unclassified,75.0
UniRef90_Q59199,g__Parabacteroides.s__Parabacteroides_goldsteinii,75.0
UniRef90_K1JJS6,unclassified,74.2188891924
UniRef90_UPI0001F857D7,unclassified,73.3403792724
UniRef90_K5YN96,g__Parabacteroides.s__Parabacteroides_goldsteinii,73.0
UniRef90_A7ACD2,unclassified,72.2210366556
UniRef90_K6AGP0,g__Parabacteroides.s__Parabacteroides_goldsteinii,72.0
UniRef90_C7TFZ2,unclassified,70.56082744449999
UniRef90_UPI0001DA96E4,unclassified,70.4353477916
UniRef90_N8DUV7,unclassified,70.2413134929
UniRef90_K5ZBK6,g__Parabacteroides.s__Parabacteroides_goldsteinii,70.0
UniRef90_F5IGB6,unclassified,69.9721172729
UniRef90_K5YJ17,g__Parabacteroides.s__Parabacteroides_goldsteinii,69.0
UniRef90_K5ZCG2,g__Parabacteroides.s__Parabacteroides_goldsteinii,69.0
UniRef90_N1ZG73,unclassified,69.0
UniRef90_R6XBD7,g__Parabacteroides.s__Parabacteroides_goldsteinii,69.0
UniRef90_E5VL83,unclassified,68.4560589127
UniRef90_A6LDB7,g__Parabacteroides.s__Parabacteroides_goldsteinii,68.0
UniRef90_K6A066,g__Parabacteroides.s__Parabacteroides_goldsteinii,68.0
UniRef90_I7GIE7,unclassified,67.6636914687
UniRef90_N1ZG67,unclassified,67.0
UniRef90_A6LCM9,g__Parabacteroides.s__Parabacteroides_goldsteinii,66.0
UniRef90_R6X568,g__Parabacteroides.s__Parabacteroides_goldsteinii,66.0
UniRef90_W8ZBZ9,unclassified,65.7965515135
UniRef90_K5ZYR5,g__Parabacteroides.s__Parabacteroides_goldsteinii,65.0
UniRef90_Q4YA27,unclassified,64.6953750857
UniRef90_Q4YHT4,unclassified,63.2506251168
UniRef90_E3ZUM0,unclassified,63.1413270284
UniRef90_K5ZVN3,g__Parabacteroides.s__Parabacteroides_goldsteinii,63.0
UniRef90_R6X4I3,g__Parabacteroides.s__Parabacteroides_goldsteinii,63.0
UniRef90_K7EZW6,unclassified,62.6348636403
UniRef90_B1SBJ4,unclassified,62.3680346755
UniRef90_K5ZKY6,g__Parabacteroides.s__Parabacteroides_goldsteinii,62.0
UniRef90_N1Z5G6,unclassified,62.0
UniRef90_Q4YHF0,unclassified,61.7658537182
UniRef90_A6P026,unclassified,61.4127799486
UniRef90_K5Y7V3,g__Parabacteroides.s__Parabacteroides_goldsteinii,60.0
UniRef90_R6X3A3,g__Parabacteroides.s__Parabacteroides_goldsteinii,60.0
UniRef90_Q4EE26,unclassified,59.7435068938
UniRef90_K6AKX5,g__Parabacteroides.s__Parabacteroides_goldsteinii,59.0
UniRef90_J7SHX6,unclassified,58.264413283
UniRef90_K5ZD86,g__Parabacteroides.s__Parabacteroides_goldsteinii,58.0
UniRef90_N1ZDV0,unclassified,57.1860479104
UniRef90_R9VPP3,g__Escherichia.s__Escherichia_coli,57.0
UniRef90_Q4YHX4,unclassified,56.00583127310001
UniRef90_N1Z2I5,unclassified,56.0
UniRef90_N1Z6T7,unclassified,56.0
UniRef90_A6LBU6,g__Parabacteroides.s__Parabacteroides_goldsteinii,55.0
UniRef90_A6LH07,g__Parabacteroides.s__Parabacteroides_goldsteinii,55.0
UniRef90_K5YF32,g__Parabacteroides.s__Parabacteroides_goldsteinii,55.0
UniRef90_N1ZFL7,unclassified,55.0
UniRef90_R6WP78,g__Parabacteroides.s__Parabacteroides_goldsteinii,55.0
UniRef90_K5YFF9,g__Parabacteroides.s__Parabacteroides_goldsteinii,54.0
UniRef90_N2AX94,g__Parabacteroides.s__Parabacteroides_goldsteinii,54.0
UniRef90_K5ZTT4,g__Parabacteroides.s__Parabacteroides_goldsteinii,53.0
UniRef90_K5ZZM6,g__Parabacteroides.s__Parabacteroides_goldsteinii,53.0
UniRef90_C7T764,unclassified,52.7107930567
UniRef90_C7TAR6,unclassified,52.693628898
UniRef90_K5YRT6,g__Parabacteroides.s__Parabacteroides_goldsteinii,52.0
UniRef90_Q4YI61,unclassified,49.5856590067
UniRef90_E3ZBN0,unclassified,49.2684879245
UniRef90_U3F7S4,unclassified,49.001101186899994
UniRef90_A6L8X7,unclassified,49.0
UniRef90_S4W9Z3,unclassified,48.3474878354
UniRef90_K5ZUC5,g__Parabacteroides.s__Parabacteroides_goldsteinii,48.0
UniRef90_K5ZYN1,g__Parabacteroides.s__Parabacteroides_goldsteinii,48.0
UniRef90_N2AP30,g__Parabacteroides.s__Parabacteroides_goldsteinii,48.0
UniRef90_N2AUK1,g__Parabacteroides.s__Parabacteroides_goldsteinii,48.0
UniRef90_I7JND3,unclassified,47.9894397812
UniRef90_F5RQN3,unclassified,47.9887534881
UniRef90_I7HKA6,unclassified,47.980178889899996
UniRef90_Q6QI74,unclassified,47.733654675699995
UniRef90_C8MKY8,unclassified,47.1154319191
UniRef90_K5Z9T8,g__Parabacteroides.s__Parabacteroides_goldsteinii,47.0
UniRef90_N2BJ19,g__Parabacteroides.s__Parabacteroides_goldsteinii,47.0
UniRef90_K6A691,g__Parabacteroides.s__Parabacteroides_goldsteinii,46.0
UniRef90_N1ZGF7,unclassified,45.0
UniRef90_K5ZUP3,g__Parabacteroides.s__Parabacteroides_goldsteinii,45.0
UniRef90_N1Z5G2,unclassified,45.0
UniRef90_J9PBD2,unclassified,44.7894702309
UniRef90_C2EJM6,unclassified,44.774976834600004
UniRef90_K5YVR2,g__Parabacteroides.s__Parabacteroides_goldsteinii,44.0
UniRef90_N2BC18,g__Parabacteroides.s__Parabacteroides_goldsteinii,44.0
UniRef90_R6XC92,g__Parabacteroides.s__Parabacteroides_goldsteinii,44.0
UniRef90_C2EJM5,unclassified,43.368784291800004
