genus,reads
g__Achromobacter,1.0
g__Acidovorax,90.0
g__Acinetobacter,36.0
g__Actinokineospora,1.0
g__Actinomyces,175.0
g__Aeromonas,41.0
g__Afipia,14.0
g__Aggregatibacter,1.0
g__Agrobacterium,3.0
g__Alcanivorax,6.0
g__Alicycliphilus,1.0
g__Aliivibrio,2.0
g__Alistipes,6.0
g__Amorphus,27.0
g__Anaerostipes,17632.0
g__Anaerotruncus,8.0
g__Aspergillus,1.0
g__Asticcacaulis,18.0
g__Azorhizobium,17.0
g__Azotobacter,2.0
g__Babesia,583.0
g__Bacillus,127.0
g__Bacteroides,56748.0
g__Barnesiella,351.0
g__Bifidobacterium,11.0
g__Blattabacterium,1.0
g__Blautia,15591.0
g__Brachybacterium,4.0
g__Brachyspira,1.0
g__Bradyrhizobium,276.0
g__Brevundimonas,5.0
g__Brucella,88.0
g__Burkholderia,10.0
g__Burkholderiales_noname,1.0
g__Butyricicoccus,1.0
g__Caldalkalibacillus,6.0
g__Caldanaerobacter,42.0
g__Caldimonas,2.0
g__Campylobacter,2.0
g__Candidatus_Photodesmus,1.0
g__Candidatus_Phytoplasma,1.0
g__Carnobacterium,2450.0
g__Catonella,1.0
g__Caulobacter,68.0
g__Centipeda,3.0
g__Chitiniphilus,1.0
g__Chlamydia,511.0
g__Chryseobacterium,1.0
g__Citrobacter,17.0
g__Clostridiales_noname,11.0
g__Clostridium,19650.0
g__Collinsella,4.0
g__Comamonas,1.0
g__Coprococcus,580.0
g__Corynebacterium,25.0
g__Coxiella,60.0
g__Cupriavidus,6.0
g__Cyanothece,33.0
g__Dechloromonas,4.0
g__Delftia,1.0
g__Dickeya,2.0
g__Dorea,3811.0
g__Edwardsiella,2.0
g__Elizabethkingia,2.0
g__Empedobacter,4.0
g__Entamoeba,2.0
g__Enterobacter,5.0
g__Enterococcus,243.0
g__Erysipelothrix,33.0
g__Erysipelotrichaceae_noname,8.0
g__Escherichia,2096.0
g__Eubacterium,232.0
g__Exiguobacterium,3.0
g__Faecalibacterium,70.0
g__Finegoldia,18.0
g__Flavobacteriaceae_noname,2.0
g__Flavobacteriia_noname,4.0
g__Flavobacterium,8.0
g__Fusobacterium,12.0
g__Gallibacterium,11.0
g__Gemmata,1.0
g__Gemmatimonas,13.0
g__Glaciecola,4.0
g__Gordonia,3.0
g__Haemophilus,4.0
g__Haliscomenobacter,20.0
g__Halomonas,2.0
g__Helicobacter,7.0
g__Heliobacterium,215.0
g__Hoeflea,1.0
g__Hydrocarboniphaga,1.0
g__Janthinobacterium,3.0
g__Klebsiella,26.0
g__Kluyveromyces,4.0
g__Kocuria,5.0
g__Kosakonia,4.0
g__Lachnospiraceae_noname,143.0
g__Lactobacillus,641.0
g__Lactococcus,11.0
g__Lautropia,1.0
g__Leptonema,1.0
g__Leptosphaeria,643.0
g__Leptospira,23.0
g__Leptothrix,6.0
g__Leptotrichia,2.0
g__Limnohabitans,2.0
g__Listeria,230.0
g__Malassezia,3.0
g__Marinilabilia,11.0
g__Marvinbryantia,8.0
g__Massilia,1.0
g__Mesorhizobium,187.0
g__Methylibium,55.0
g__Methylobacterium,11.0
g__Methylophilus,24.0
g__Methylotenera,1.0
g__Methyloversatilis,6.0
g__Microbacterium,24.0
g__Microcystis,2.0
g__Mucispirillum,907.0
g__Myceliophthora,158.0
g__Mycobacterium,7.0
g__Mycoplasma,3.0
g__Neisseria,1.0
g__Nitrobacter,5.0
g__Nocardia,2.0
g__Nocardioides,1.0
g__Novosphingobium,3.0
g__Oscillatoria,1.0
g__Paenibacillus,12.0
g__Parabacteroides,41639.0
g__Paraprevotella,8.0
g__Parvimonas,55.0
g__Pasteurella,1.0
g__Pedosphaera,7.0
g__Pelosinus,2.0
g__Peptostreptococcaceae_noname,115.0
g__Perkinsus,74.0
g__Phenylobacterium,2.0
g__Plasmodium,169.0
g__Polaromonas,3.0
g__Polynucleobacter,1.0
g__Porphyrobacter,1.0
g__Porphyromonas,20.0
g__Prevotella,664.0
g__Propionibacterium,124.0
g__Pseudaminobacter,2.0
g__Pseudoflavonifractor,13.0
g__Pseudomonas,85.0
g__Pseudonocardia,2.0
g__Pseudoramibacter,40.0
g__Pseudovibrio,75.0
g__Pseudoxanthomonas,2.0
g__Ralstonia,40.0
g__Ramlibacter,3.0
g__Rhodobacter,1.0
g__Rhodococcus,618.0
g__Rhodopseudomonas,24.0
g__Rhodospirillales_noname,8.0
g__Rhodospirillum,7.0
g__Rickettsia,3.0
g__Roseobacter,2.0
g__Rothia,1.0
g__Rubrivivax,1.0
g__Ruminococcus,221.0
g__Saccharomyces,7.0
g__Salmonella,48.0
g__Shewanella,19.0
g__Shigella,948.0
g__Sinorhizobium,13.0
g__Sphingobium,50.0
g__Sphingomonas,54.0
g__Sphingopyxis,9.0
g__Staphylococcus,109.0
g__Stenotrophomonas,5.0
g__Stigmatella,2.0
g__Streptococcus,140.0
g__Streptomyces,7.0
g__Sutterella,15.0
g__Syntrophus,1.0
g__Talaromyces,5.0
g__Tannerella,4167.0
g__Tetrasphaera,2.0
g__Thalassiosira,253.0
g__Thauera,10.0
g__Thermosinus,16.0
g__Thermus,29.0
g__Thielavia,157.0
g__Thioalkalivibrio,5.0
g__Thiomonas,6.0
g__Thiorhodococcus,18.0
g__Tistrella,1.0
g__Variovorax,6.0
g__Verminephrobacter,4.0
g__Vibrio,16.0
g__Weeksella,2.0
g__Wenxinia,17.0
g__Xanthomonas,9.0
g__Xenorhabdus,1.0
g__Xylella,1.0
g__Yarrowia,1.0
g__Zymoseptoria,85.0
