GeneID,RPK,taxa
UNMAPPED|UNMAPPED,1900477.0,UNMAPPED
UniRef90_unknown|g__Parabacteroides.s__Parabacteroides_goldsteinii,11696.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_unknown|g__Mucispirillum.s__Mucispirillum_schaedleri,19.0,g__Mucispirillum.s__Mucispirillum_schaedleri
UniRef90_A7ACF2|unclassified,3571.6628124102003,unclassified
UniRef90_S0GJR7|g__Parabacteroides.s__Parabacteroides_goldsteinii,3532.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_S0GJR7|unclassified,22.0,unclassified
UniRef90_B5CUP9|unclassified,3532.8846732696,unclassified
UniRef90_D1KAJ3|unclassified,3406.4698024526,unclassified
UniRef90_V1EAX6|unclassified,3058.0,unclassified
UniRef90_D0TKA0|unclassified,2265.1371372865,unclassified
UniRef90_A5ZQM1|unclassified,2051.7586583405,unclassified
UniRef90_UPI000156FA79|unclassified,1687.2161455117998,unclassified
UniRef90_A7AJP8|unclassified,1608.060627985,unclassified
UniRef90_R9J210|unclassified,1164.7607311555,unclassified
UniRef90_S7K4H7|unclassified,1032.0845552103,unclassified
UniRef90_A5ZLI4|unclassified,952.8628627135,unclassified
UniRef90_B3C522|unclassified,907.3456100386001,unclassified
UniRef90_K0WTB3|unclassified,901.8985521005001,unclassified
UniRef90_UPI00015BEA70|unclassified,735.0875452132001,unclassified
UniRef90_A7AJP9|unclassified,686.0,unclassified
UniRef90_G9S8W7|unclassified,680.1267589069,unclassified
UniRef90_E0XVH4|unclassified,664.0,unclassified
UniRef90_A8RZB5|unclassified,661.7516750115,unclassified
UniRef90_D4CI29|unclassified,624.0,unclassified
UniRef90_A0A015S3B6|unclassified,614.0,unclassified
UniRef90_UPI0001DE5DFE|unclassified,518.2372381511,unclassified
UniRef90_N2B405|g__Parabacteroides.s__Parabacteroides_goldsteinii,515.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_A7SPZ4|unclassified,513.7404350199,unclassified
UniRef90_D9UEL3|unclassified,506.3803199131,unclassified
UniRef90_A7B6K6|unclassified,504.45428769769995,unclassified
UniRef90_A7B8Q0|unclassified,481.984660035,unclassified
UniRef90_B1QRR6|unclassified,480.6925753875,unclassified
UniRef90_UPI0001532979|unclassified,467.71497234410003,unclassified
UniRef90_Q4YHT4|unclassified,446.9397026194,unclassified
UniRef90_Q4YHX4|unclassified,414.5359152075,unclassified
UniRef90_UPI00019656B7|unclassified,392.6810455315,unclassified
UniRef90_W8YEK8|unclassified,383.0,unclassified
UniRef90_Q4YA27|unclassified,380.23927793129997,unclassified
UniRef90_N1ZAM5|unclassified,373.0,unclassified
UniRef90_Q4YHF0|unclassified,365.9120443338,unclassified
UniRef90_UPI00019660E0|unclassified,364.5089998579,unclassified
UniRef90_Q4YI61|unclassified,344.47141694830003,unclassified
UniRef90_A7VEM4|unclassified,343.8085111727,unclassified
UniRef90_UPI00029B13CF|unclassified,337.0114048275,unclassified
UniRef90_K6AQ86|g__Parabacteroides.s__Parabacteroides_goldsteinii,322.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_B0NWG2|unclassified,317.7881054844,unclassified
UniRef90_N1ZJP8|unclassified,317.0232936339,unclassified
UniRef90_N1ZD63|unclassified,316.0,unclassified
UniRef90_X1E4R2|unclassified,296.4967513148,unclassified
UniRef90_R9D7R0|unclassified,293.2809949846,unclassified
UniRef90_D6SEF8|unclassified,284.9408152537,unclassified
UniRef90_K5Z1A3|g__Parabacteroides.s__Parabacteroides_goldsteinii,282.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_UPI000156186B|unclassified,280.9167002426,unclassified
UniRef90_N2ASE1|g__Parabacteroides.s__Parabacteroides_goldsteinii,253.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_W8YNF3|unclassified,251.3001976156,unclassified
UniRef90_UPI0001FD331E|unclassified,247.697203102,unclassified
UniRef90_K5ZU07|g__Parabacteroides.s__Parabacteroides_goldsteinii,231.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_D4VKI7|g__Parabacteroides.s__Parabacteroides_goldsteinii,226.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_W1YU10|unclassified,222.4080458638,unclassified
UniRef90_G6AJF3|unclassified,218.42068359919998,unclassified
UniRef90_W1WT70|unclassified,215.6652062615,unclassified
UniRef90_T1DKC0|unclassified,212.835933885,unclassified
UniRef90_N2BCN4|g__Parabacteroides.s__Parabacteroides_goldsteinii,210.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_Q4YHW5|unclassified,209.04623399419998,unclassified
UniRef90_H4BMF2|unclassified,207.5308313223,unclassified
UniRef90_N1ZRS8|unclassified,201.97670636610002,unclassified
UniRef90_Q7R6V5|unclassified,198.79264817060002,unclassified
UniRef90_A0A009X8S5|unclassified,189.196239593,unclassified
UniRef90_N1Z1T4|unclassified,189.0,unclassified
UniRef90_K5YZ96|g__Parabacteroides.s__Parabacteroides_goldsteinii,186.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_N1ZLN7|unclassified,182.00361095990002,unclassified
UniRef90_Q7R7S4|unclassified,181.59855199669997,unclassified
UniRef90_K5Z513|g__Parabacteroides.s__Parabacteroides_goldsteinii,177.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K5YVI7|g__Parabacteroides.s__Parabacteroides_goldsteinii,158.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_Q4YA17|unclassified,157.4174315891,unclassified
UniRef90_F7AA48|unclassified,152.51667574,unclassified
UniRef90_K5ZUN2|g__Parabacteroides.s__Parabacteroides_goldsteinii,152.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K6A0T5|g__Parabacteroides.s__Parabacteroides_goldsteinii,150.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_R6X5K9|g__Parabacteroides.s__Parabacteroides_goldsteinii,150.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_Q4YJU8|unclassified,149.5281380031,unclassified
UniRef90_N2B6Q5|g__Parabacteroides.s__Parabacteroides_goldsteinii,149.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_X0ZJG6|unclassified,148.0133702191,unclassified
UniRef90_A7VD49|unclassified,146.8589672214,unclassified
UniRef90_Q4YI79|unclassified,145.68572633969998,unclassified
UniRef90_A7B5X1|unclassified,142.4060344191,unclassified
UniRef90_Q7R7L8|unclassified,141.6045955424,unclassified
UniRef90_A5KRL1|unclassified,138.7041425179,unclassified
UniRef90_N1ZHM2|unclassified,135.0295122643,unclassified
UniRef90_K6AX53|g__Parabacteroides.s__Parabacteroides_goldsteinii,134.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_G7SQ06|unclassified,133.7377851723,unclassified
UniRef90_A2VD29|unclassified,133.0822170683,unclassified
UniRef90_Q5L7N5|g__Parabacteroides.s__Parabacteroides_goldsteinii,132.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K6A6P6|g__Parabacteroides.s__Parabacteroides_goldsteinii,131.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_N1Z5G2|unclassified,131.0,unclassified
UniRef90_N1ZJF3|unclassified,131.0,unclassified
UniRef90_Q4YK64|unclassified,129.8607670093,unclassified
UniRef90_W6U045|unclassified,129.256551521,unclassified
UniRef90_K8EDY4|unclassified,129.1372958677,unclassified
UniRef90_N2BA98|g__Parabacteroides.s__Parabacteroides_goldsteinii,128.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_R6XBD7|g__Parabacteroides.s__Parabacteroides_goldsteinii,128.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_N1ZD44|unclassified,127.63277612540001,unclassified
UniRef90_K5YUI7|g__Parabacteroides.s__Parabacteroides_goldsteinii,127.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K5ZDK4|g__Parabacteroides.s__Parabacteroides_goldsteinii,127.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K6A0M8|g__Parabacteroides.s__Parabacteroides_goldsteinii,127.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_W2CMU2|unclassified,126.89964426430001,unclassified
