genus,Length,Reads,RPK,percentage_rpk
g_unknown,3036613,59415,139209.83824871317,40.4015981615137
unclassified,14798145,102080,131730.21117521296,38.2308544035787
g_Blautia,807077,7555,23363.847192869347,6.780675688358129
g_Parabacteroides,293395,4963,21271.88187598862,6.1735437272575275
g_Bacteroides,1141416,8808,15832.125738378449,4.5948130546760195
g_Anaerotignum,16110,906,2374.9886155090167,0.6892712245705954
g_Lactobacillus,49427,766,1976.1058541114019,0.573507128855253
g_Escherichia,644162,764,1217.20297209365,0.3532576862252219
g_Ralstonia,36965,646,917.6650466369508,0.2663255336512506
g_Prevotella,59923,177,380.4199109599018,0.11040579149141312
g_Bradyrhizobium,178731,425,374.96440129617326,0.10882248881702578
g_Tyzzerella,1632,78,356.22118622118626,0.10338281692859552
g_Cutibacterium,271269,299,323.9741655325518,0.0940240590408047
g_Pseudomonas,95504,244,302.6330821859784,0.08783043160364618
g_Chlamydia,6684,94,295.57549938678585,0.0857821738954865
g_Anaerophaga,150,43,286.6666666666667,0.08319664485404514
g_Mesorhizobium,91861,200,235.82859601903024,0.06844237656775584
g_Clostridium,83175,240,233.82693071753025,0.06786145155424808
g_Thermoanaerobacterium,2451,181,171.17139133268165,0.04967750739724848
g_Micrococcus,40506,160,135.76569757013937,0.03940203671199274
g_Tannerella,80230,115,108.70390510885754,0.0315481401892655
g_Staphylococcus,41040,86,103.95956847402202,0.03017123475876627
g_Porphyromonas,16936,63,92.49662714478828,0.026844450135216216
g_Leadbetterella,6978,17,83.94589953697998,0.024362850665342356
g_Acinetobacter,25848,43,81.58725598803815,0.0236783231199519
g_Bacillus,40770,59,74.38099146100252,0.021586914873742296
g_Desulfurivibrio,1464,53,72.40437158469945,0.021013258564927525
g_Acidovorax,32247,79,65.01894276927133,0.01886985310590891
g_Stenotrophomonas,17004,30,64.44715306402624,0.018703907809263065
g_Thermodesulfovibrio,2739,66,64.41294937551845,0.018693981185569527
g_Barnesiella,28461,46,63.641208190852595,0.018470005799779227
g_Thermococcus,1542,49,63.5538261997406,0.018444645723682075
g_Paucibacter,336,17,50.595238095238095,0.014683793215518763
g_Sphingobacterium,11307,108,49.49365207456002,0.014364089979686665
g_Capnocytophaga,5742,80,48.21116167449605,0.013991884520351161
g_Alistipes,53421,45,48.195073833111394,0.013987215493283207
g_Ornithobacterium,19752,31,47.430216811569416,0.013765238035194775
g_Mastadenovirus,505,23,45.54455445544554,0.013217979495577053
g_Kytococcus,2445,31,44.307402302894324,0.012858932141160004
g_Sinorhizobium,8211,41,44.24680364088459,0.012841345145711674
g_Thiomicrospira,1548,68,43.92764857881137,0.012748719690993036
g_Streptococcus,22605,34,43.33285198973393,0.012576097316870224
g_Arcobacter,2664,58,42.983257229832574,0.012474637627048077
g_Sphingomonas,16848,35,41.96251226592155,0.012178396151760657
g_Paludibacter,16161,34,41.40584402233828,0.012016839418634183
g_Bdellovibrio,936,11,39.795657726692205,0.011549529776584008
g_Lysinibacillus,8487,93,38.66465462769681,0.011221289091156295
g_Novosphingobium,5183,55,38.64147540334211,0.011214561996865725
g_Caulobacter,36688,48,37.80736611231717,0.010972486085976672
g_Moraxella,8523,34,37.08880380905005,0.010763944320568234
g_Roseburia,5451,26,33.99032861144852,0.00986470220218246
g_Mycolicibacterium,3450,36,33.892368417179185,0.009836272110929696
g_Chlorobium,2685,42,29.796332536058568,0.008647517078914516
g_Yangia,549,16,29.143897996357012,0.008458166969530577
g_Anaerostipes,1629,24,28.95344102076829,0.008402892383397913
g_Rhizobium,6684,36,27.907350124481066,0.008099294989967245
g_Paenibacillus,25305,33,27.752894253185847,0.008054468675072698
g_Thioalkalivibrio,1308,5,26.472056516230797,0.007682742853036273
g_Campylobacter,15856,54,25.665578674607413,0.007448686164993724
g_Sphingobium,25752,26,25.597893096439,0.007429042398684592
g_Vibrio,8277,23,23.707721296644568,0.0068804751244730955
g_Agrobacterium,13767,32,23.519923782288302,0.006825972369450872
g_Burkholderia,21918,25,22.938731492620292,0.0066572982467226665
g_Paraburkholderia,11718,14,22.361494391225598,0.006489772002113436
g_Fibrella,4824,49,21.932874043248894,0.006365377438620989
g_Niabella,13893,18,21.900502880834814,0.006355982652215605
g_Chryseobacterium,6747,20,21.041136463889007,0.006106576596668627
g_Pedobacter,26430,29,20.503918545023474,0.005950664753395075
g_Limnohabitans,14190,54,20.151645842675983,0.005848427868828868
g_Methanotorris,1314,26,19.7869101978691,0.005742573978456976
g_Methylobacterium,18924,34,19.364169350163834,0.005619885768555232
g_Mycobacterium,23649,21,18.622696198252875,0.0054046947970842595
g_Odoribacter,16179,18,18.484365139505055,0.0053645482390600975
g_Kocuria,11748,21,17.88828775656114,0.005191554151847376
g_Dyadobacter,6729,34,17.758881698985107,0.005153997815286508
g_Enterococcus,7878,20,17.306217428079663,0.005022625203944756
g_Sphingopyxis,19578,19,17.12445955848606,0.004969875279784267
g_Xenorhabdus,6315,34,16.852879948878034,0.0048910572135162705
g_Draconibacterium,7344,14,16.484602444273843,0.004784175401568751
g_Delftia,4443,21,16.41969248195899,0.004765337176863408
g_Shewanella,11802,20,16.407295585629083,0.004761739339021833
g_Flavobacterium,21864,14,16.082404535818455,0.004667449181042695
g_Enterobacter,11808,23,16.060236271778976,0.004661015488518312
g_Neisseria,3465,10,16.00606763261063,0.004645294619791164
g_Raoultella,2313,8,15.890971773324715,0.004611891401200997
g_Rhodopseudomonas,25362,22,15.753999412782155,0.004572139165730486
g_Fluviicola,2103,15,15.48296790541475,0.0044934801701629196
g_Cupriavidus,11983,19,15.14792364035011,0.0043962433373804745
g_Chromobacterium,8958,15,14.435087799186968,0.004189363510695063
g_Candidatus Azobacteroides,3436,7,14.383961042211178,0.004174525459616039
g_Geosporobacter,5133,25,14.205143836996847,0.004122628977583447
g_Herbinix,4392,10,12.53533701529118,0.00363801621553586
g_Legionella,4764,7,12.255298783968207,0.003556743280848887
g_Rhadinovirus,1650,10,12.121212121212121,0.0035178285350547624
g_Serratia,4893,12,12.017189430993215,0.0034876389810492812
g_Pantoea,3558,4,11.982321402008797,0.003477519551895175
g_Bartonella,8229,9,11.041237169308708,0.00320439728206137
g_Polaromonas,5874,11,11.041100351438367,0.0032043575746621773
g_Selenomonas,4965,12,10.838856535440287,0.003145662201638274
g_Chlorovirus,1695,18,10.619469026548671,0.0030819913714196594
g_Mucilaginibacter,16308,16,10.609798410029885,0.003079184756833497
g_Hymenobacter,11298,11,10.022489595421732,0.002908735491012783
g_Sporosarcina,4038,13,10.019411018128261,0.0029078420236811294
g_Fermentimonas,9330,14,10.010181300572174,0.0029051633671685127
g_Polaribacter,12027,25,9.903420120698012,0.0028741790463562233
g_Lachnoclostridium,3711,11,9.751642592520879,0.0028301300424890914
g_Gemmatimonas,465,2,9.646502364948967,0.0027996161558384853
