GeneID,RPK
UniRef90_S0GJR7|g__Parabacteroides.s__Parabacteroides_goldsteinii,4857.0
UniRef90_unknown|g__Parabacteroides.s__Parabacteroides_goldsteinii,4522.0
UniRef90_unknown|g__Mucispirillum.s__Mucispirillum_schaedleri,16.0
UniRef90_K5Z1A3|g__Parabacteroides.s__Parabacteroides_goldsteinii,274.0
UniRef90_N2B405|g__Parabacteroides.s__Parabacteroides_goldsteinii,269.0
UniRef90_K5ZZY7|g__Parabacteroides.s__Parabacteroides_goldsteinii,208.0
UniRef90_K6AYS9|g__Parabacteroides.s__Parabacteroides_goldsteinii,194.0
UniRef90_K5ZGT5|g__Parabacteroides.s__Parabacteroides_goldsteinii,188.0
UniRef90_Q5L7N5|g__Parabacteroides.s__Parabacteroides_goldsteinii,179.0
UniRef90_K6A1K8|g__Parabacteroides.s__Parabacteroides_goldsteinii,163.0
UniRef90_A6LE88|g__Parabacteroides.s__Parabacteroides_goldsteinii,160.0
UniRef90_K5ZU07|g__Parabacteroides.s__Parabacteroides_goldsteinii,160.0
UniRef90_N2BCN4|g__Parabacteroides.s__Parabacteroides_goldsteinii,146.0
UniRef90_N2B6Q5|g__Parabacteroides.s__Parabacteroides_goldsteinii,143.0
UniRef90_K5Z9T8|g__Parabacteroides.s__Parabacteroides_goldsteinii,138.0
UniRef90_K6A0T5|g__Parabacteroides.s__Parabacteroides_goldsteinii,134.0
UniRef90_N2ASE1|g__Parabacteroides.s__Parabacteroides_goldsteinii,134.0
UniRef90_A6LIG0|g__Parabacteroides.s__Parabacteroides_goldsteinii,126.0
UniRef90_R5DHY0|g__Parabacteroides.s__Parabacteroides_goldsteinii,122.0
UniRef90_R6XBD7|g__Parabacteroides.s__Parabacteroides_goldsteinii,121.0
UniRef90_K5ZDK4|g__Parabacteroides.s__Parabacteroides_goldsteinii,120.0
UniRef90_K5ZBK6|g__Parabacteroides.s__Parabacteroides_goldsteinii,117.0
UniRef90_K5ZYB1|g__Parabacteroides.s__Parabacteroides_goldsteinii,114.0
UniRef90_K5ZUN2|g__Parabacteroides.s__Parabacteroides_goldsteinii,112.0
UniRef90_N2BCA3|g__Parabacteroides.s__Parabacteroides_goldsteinii,112.0
UniRef90_K5YMQ5|g__Parabacteroides.s__Parabacteroides_goldsteinii,109.0
UniRef90_N2BJ19|g__Parabacteroides.s__Parabacteroides_goldsteinii,103.0
UniRef90_R6X2N4|g__Parabacteroides.s__Parabacteroides_goldsteinii,99.0
UniRef90_K5YXU8|g__Parabacteroides.s__Parabacteroides_goldsteinii,98.0
UniRef90_Q59199|g__Parabacteroides.s__Parabacteroides_goldsteinii,95.0
UniRef90_N2BGZ1|g__Parabacteroides.s__Parabacteroides_goldsteinii,94.0
UniRef90_N2B6P7|g__Parabacteroides.s__Parabacteroides_goldsteinii,92.0
UniRef90_K5YZ96|g__Parabacteroides.s__Parabacteroides_goldsteinii,91.0
UniRef90_R6WP78|g__Parabacteroides.s__Parabacteroides_goldsteinii,90.0
UniRef90_R6X5K9|g__Parabacteroides.s__Parabacteroides_goldsteinii,90.0
UniRef90_K6AQ86|g__Parabacteroides.s__Parabacteroides_goldsteinii,87.0
UniRef90_R5I7R5|g__Parabacteroides.s__Parabacteroides_goldsteinii,86.0
UniRef90_R6IBF4|g__Parabacteroides.s__Parabacteroides_goldsteinii,86.0
UniRef90_K6AUL6|g__Parabacteroides.s__Parabacteroides_goldsteinii,85.0
UniRef90_R5DPL5|g__Parabacteroides.s__Parabacteroides_goldsteinii,81.0
UniRef90_K6A5E7|g__Parabacteroides.s__Parabacteroides_goldsteinii,79.0
UniRef90_N2AP30|g__Parabacteroides.s__Parabacteroides_goldsteinii,79.0
UniRef90_K5ZVM8|g__Parabacteroides.s__Parabacteroides_goldsteinii,77.0
UniRef90_K5ZU12|g__Parabacteroides.s__Parabacteroides_goldsteinii,76.0
UniRef90_N2AUT8|g__Parabacteroides.s__Parabacteroides_goldsteinii,74.0
UniRef90_K5ZF52|g__Parabacteroides.s__Parabacteroides_goldsteinii,73.0
UniRef90_R6WQ56|g__Parabacteroides.s__Parabacteroides_goldsteinii,72.0
UniRef90_N2AX94|g__Parabacteroides.s__Parabacteroides_goldsteinii,71.0
UniRef90_K5ZU03|g__Parabacteroides.s__Parabacteroides_goldsteinii,69.0
UniRef90_K5ZHP0|g__Parabacteroides.s__Parabacteroides_goldsteinii,67.0
UniRef90_K6A5C7|g__Parabacteroides.s__Parabacteroides_goldsteinii,63.0
UniRef90_K6A3T3|g__Parabacteroides.s__Parabacteroides_goldsteinii,60.0
UniRef90_K5ZRS8|g__Parabacteroides.s__Parabacteroides_goldsteinii,59.0
UniRef90_K5ZD17|g__Parabacteroides.s__Parabacteroides_goldsteinii,58.0
UniRef90_R6XD50|g__Parabacteroides.s__Parabacteroides_goldsteinii,56.0
UniRef90_R5DFT6|g__Parabacteroides.s__Parabacteroides_goldsteinii,53.0
UniRef90_K6AX53|g__Parabacteroides.s__Parabacteroides_goldsteinii,51.0
UniRef90_R6WZJ2|g__Parabacteroides.s__Parabacteroides_goldsteinii,51.0
UniRef90_K5ZGJ0|g__Parabacteroides.s__Parabacteroides_goldsteinii,49.0
UniRef90_K5ZVN3|g__Parabacteroides.s__Parabacteroides_goldsteinii,49.0
UniRef90_K6A1B3|g__Parabacteroides.s__Parabacteroides_goldsteinii,49.0
UniRef90_K5ZGL6|g__Parabacteroides.s__Parabacteroides_goldsteinii,48.0
UniRef90_K6AGP0|g__Parabacteroides.s__Parabacteroides_goldsteinii,48.0
