GeneID,RPK,taxa
UNMAPPED|UNMAPPED,1414049.0,UNMAPPED
UniRef90_A7ACF2|unclassified,7915.8376920655,unclassified
UniRef90_D0TKA0|unclassified,7770.3068240177,unclassified
UniRef90_B5CUP9|unclassified,7107.5596065499,unclassified
UniRef90_D1KAJ3|unclassified,6997.674701962,unclassified
UniRef90_S0GJR7|g__Parabacteroides.s__Parabacteroides_goldsteinii,4857.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_A5ZLI4|unclassified,4666.9372379388,unclassified
UniRef90_unknown|g__Parabacteroides.s__Parabacteroides_goldsteinii,4522.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_unknown|g__Mucispirillum.s__Mucispirillum_schaedleri,16.0,g__Mucispirillum.s__Mucispirillum_schaedleri
UniRef90_A7AJP9|unclassified,3870.1782802740995,unclassified
UniRef90_A7AJP8|unclassified,3778.3432210733004,unclassified
UniRef90_UPI000156FA79|unclassified,3634.26543792,unclassified
UniRef90_K0WTB3|unclassified,3462.6151518252,unclassified
UniRef90_A8RZB5|unclassified,2949.9751974156,unclassified
UniRef90_S7K4H7|unclassified,2909.1371325282003,unclassified
UniRef90_G9S8W7|unclassified,2684.9743592992,unclassified
UniRef90_A0A015S3B6|unclassified,2507.0,unclassified
UniRef90_G5SMU9|unclassified,2019.7069330767001,unclassified
UniRef90_G1Q1K5|unclassified,1589.5056093669,unclassified
UniRef90_G1Q6C2|unclassified,1568.1132715383999,unclassified
UniRef90_UPI0001E48A46|unclassified,1499.4981585441,unclassified
UniRef90_UPI00019656B7|unclassified,1494.9234187406,unclassified
UniRef90_W6U045|unclassified,1457.1682282832999,unclassified
UniRef90_UPI00019660E0|unclassified,1405.0896824041001,unclassified
UniRef90_E0XVH4|unclassified,1398.0,unclassified
UniRef90_G1Q0M0|unclassified,1370.2220275943,unclassified
UniRef90_UPI00015BEA70|unclassified,1319.186913195,unclassified
UniRef90_B3C522|unclassified,1308.3643434271,unclassified
UniRef90_W8YEK8|unclassified,1226.0,unclassified
UniRef90_A7SPZ4|unclassified,1161.9240466175,unclassified
UniRef90_D4CI29|unclassified,1049.0,unclassified
