taxa,reads
g__Achromobacter.s__Achromobacter_xylosoxidans,1.0
g__Acidovorax.s__Acidovorax_citrulli,3.0
g__Acidovorax.s__Acidovorax_radicis,1.0
g__Acidovorax.s__Acidovorax_sp_CF316,1.0
g__Acidovorax.s__Acidovorax_sp_JS42,3.0
g__Acidovorax.s__Acidovorax_sp_KKS102,2.0
g__Acidovorax.s__Acidovorax_sp_MR_S7,1.0
g__Acidovorax.s__Acidovorax_sp_NO_1,2.0
g__Acinetobacter.s__Acinetobacter_baumannii,9.0
g__Acinetobacter.s__Acinetobacter_johnsonii,3.0
g__Acinetobacter.s__Acinetobacter_junii,1.0
g__Acinetobacter.s__Acinetobacter_lwoffii,1.0
g__Acinetobacter.s__Acinetobacter_radioresistens,6.0
g__Acinetobacter.s__Acinetobacter_sp_P8_3_8,59.0
g__Acinetobacter.s__Acinetobacter_tjernbergiae,1.0
g__Acinetobacter.s__Acinetobacter_ursingii,1.0
g__Actinomyces.s__Actinomyces_odontolyticus,13.0
g__Actinomyces.s__Actinomyces_turicensis,1.0
g__Aeromonas.s__Aeromonas_caviae,1.0
g__Aeromonas.s__Aeromonas_hydrophila,5.0
g__Aeromonas.s__Aeromonas_media,2.0
g__Afipia.s__Afipia_broomeae,3.0
g__Afipia.s__Afipia_clevelandensis,2.0
g__Alcanivorax.s__Alcanivorax_hongdengensis,1.0
g__Alistipes.s__Alistipes_putredinis,1.0
g__Anaeromyxobacter.s__Anaeromyxobacter_sp_Fw109_5,1.0
g__Anaerostipes.s__Anaerostipes_caccae,107.0
g__Anaerostipes.s__Anaerostipes_sp_3_2_56FAA,2.0
g__Anaerotruncus.s__Anaerotruncus_colihominis,1.0
g__Anaerotruncus.s__Anaerotruncus_sp_G3_2012,1.0
g__Arthrobacter.s__Arthrobacter_sp_131MFCol6_1,1.0
g__Arthrobacter.s__Arthrobacter_sp_161MFSha2_1,1.0
g__Asticcacaulis.s__Asticcacaulis_excentricus,1.0
g__Azospirillum.s__Azospirillum_lipoferum,1.0
g__Azotobacter.s__Azotobacter_vinelandii,1.0
g__Babesia.s__Babesia_bovis,3.0
g__Bacillus.s__Bacillus_alcalophilus,1.0
g__Bacillus.s__Bacillus_azotoformans,2.0
g__Bacillus.s__Bacillus_cereus_thuringiensis,3.0
g__Bacillus.s__Bacillus_licheniformis,8.0
g__Bacillus.s__Bacillus_sp_123MFChir2,1.0
g__Bacillus.s__Bacillus_sp_37MA,10.0
g__Bacillus.s__Bacillus_sp_BT1B_CT2,1.0
g__Bacillus.s__Bacillus_sp_FJAT_13831,1.0
g__Bacillus.s__Bacillus_sp_WBUNB004,1.0
g__Bacillus.s__Bacillus_sp_ZYK,4.0
g__Bacillus.s__Bacillus_subtilis,5.0
g__Bacteroides.s__Bacteroides_caccae,11198.0
g__Bacteroides.s__Bacteroides_coprocola,12.0
g__Bacteroides.s__Bacteroides_dorei,4.0
g__Bacteroides.s__Bacteroides_eggerthii,1.0
g__Bacteroides.s__Bacteroides_finegoldii,1.0
g__Bacteroides.s__Bacteroides_fragilis,115.0
g__Bacteroides.s__Bacteroides_intestinalis,4.0
g__Bacteroides.s__Bacteroides_ovatus,71.0
g__Bacteroides.s__Bacteroides_plebeius,15.0
