Taxonomy,Length,Reads,RPK
root,282767,4304,9437.985439847864
root;k_;p_;c_;o_;f_;g;_;s_synthetic construct,108,1,9.25925925925926
root;k_;p_;c_;o_;f_;g;_;s_uncultured marine organism,2463,1,0.4060089321965083
root;k_;p_;c_;o_;f_;g;_;s_uncultured microorganism,2577,167,128.15292320598968
root;k_;p_;c_;o_;f_;g;_;s_uncultured organism,186969,5050,3956.112728873855
root;k_;p_;c_;o_;f_;g;_;s_uncultured prokaryote,3855,58,69.89170606511395
root;k_;p_;c_;o_;f_;g;_;s_unidentified,447,2,9.096459096459096
root;k_Archaea;p_;c_;o_;f_;g_;s_archaeon GW2011_AR20,2490,2,0.8032128514056224
root;k_Archaea;p_;c_;o_;f_;g_;s_uncultured archaeon,2661,61,35.79403358342265
root;k_Archaea;p_Crenarchaeota;c_Thermoprotei;o_Sulfolobales;f_Sulfolobaceae;g_Metallosphaera;s_Metallosphaera sedula,714,1,1.400560224089636
root;k_Archaea;p_Crenarchaeota;c_Thermoprotei;o_Sulfolobales;f_Sulfolobaceae;g_Sulfolobus;s_Sulfolobus acidocaldarius,714,1,1.400560224089636
root;k_Archaea;p_Crenarchaeota;c_Thermoprotei;o_Sulfolobales;f_Sulfolobaceae;g_Sulfurisphaera;s_Sulfurisphaera tokodaii,945,1,1.0582010582010584
root;k_Archaea;p_Euryarchaeota;c_;o_;f_;g_;s_uncultured marine group II/III euryarchaeote KM3_196_E05,759,275,362.3188405797101
root;k_Archaea;p_Euryarchaeota;c_;o_;f_;g_;s_uncultured marine group II/III euryarchaeote KM3_85_C06,2316,4,3.4542314335060453
root;k_Archaea;p_Euryarchaeota;c_;o_;f_;g_Aciduliprofundum;s_Aciduliprofundum boonei,933,1,1.0718113612004287
root;k_Archaea;p_Euryarchaeota;c_Archaeoglobi;o_Archaeoglobales;f_Archaeoglobaceae;g_Archaeoglobus;s_Archaeoglobus profundus,408,1,2.450980392156863
root;k_Archaea;p_Euryarchaeota;c_Candidatus Thalassoarchaea;o_;f_;g_;s_uncultured Candidatus Thalassoarchaea euryarchaeote,4188,4,2.5837602973678924
root;k_Archaea;p_Euryarchaeota;c_Halobacteria;o_Haloferacales;f_Haloferacaceae;g_Haloquadratum;s_Haloquadratum walsbyi,552,10,35.48482169171824
root;k_Archaea;p_Euryarchaeota;c_Halobacteria;o_Haloferacales;f_Halorubraceae;g_Halorubrum;s_Halorubrum lacusprofundi,741,1,1.349527665317139
