genus,reads
g__Acetivibrio,1.0
g__Acetobacter,2.0
g__Acetobacterium,1.0
g__Achromobacter,10.0
g__Acidithiobacillus,3.0
g__Acidovorax,84.0
g__Acinetobacter,254.0
g__Actinomyces,99.0
g__Aeromonas,33.0
g__Afipia,40.0
g__Agrobacterium,1.0
g__Agromyces,1.0
g__Ajellomyces,29.0
g__Alcaligenes,1.0
g__Alcanivorax,1.0
g__Alicycliphilus,9.0
g__Aliivibrio,1.0
g__Alishewanella,1.0
g__Alistipes,31.0
g__Alkaliphilus,1.0
g__Alloprevotella,24.0
g__Anabaena,1.0
g__Anaerobaculum,1.0
g__Anaerococcus,1.0
g__Anaeromyxobacter,2.0
g__Anaerostipes,330.0
g__Anaerotruncus,14.0
g__Anaplasma,1.0
g__Arthroderma,40.0
g__Aspergillus,61.0
g__Asticcacaulis,19.0
g__Azoarcus,2.0
g__Azospirillum,5.0
g__Babesia,2459.0
g__Bacillus,149.0
g__Bacteroidales_noname,1.0
g__Bacteroides,11738.0
g__Barnesiella,109.0
g__Bergeyella,2.0
g__Bifidobacterium,10.0
g__Blastomonas,1.0
g__Blattabacterium,1.0
g__Blautia,27981.0
g__Bordetella,2.0
g__Botryotinia,90.0
g__Brachybacterium,9.0
g__Bradyrhizobiaceae_noname,4.0
g__Bradyrhizobium,224.0
g__Brevibacillus,1.0
g__Brevibacterium,4.0
g__Brevundimonas,5.0
g__Brucella,23.0
g__Burkholderia,25.0
g__Burkholderiales_noname,11.0
g__Butyricimonas,100.0
g__Butyrivibrio,2.0
g__Caldalkalibacillus,1.0
g__Caldanaerobacter,44.0
g__Caminibacter,1.0
g__Campylobacter,12.0
g__Candida,7.0
g__Candidatus_Liberibacter,2.0
g__Candidatus_Pelagibacter,2.0
g__Candidatus_Phytoplasma,1.0
g__Candidatus_Regiella,7.0
g__Candidatus_Sulcia,1.0
g__Capnocytophaga,1.0
g__Carnobacterium,880.0
g__Caulobacter,75.0
g__Cellulomonas,6.0
g__Centipeda,15.0
g__Chaetomium,2.0
g__Chlamydia,1268.0
g__Chlorobium,5.0
g__Chlorogloeopsis,1.0
g__Chroococcidiopsis,2.0
g__Chryseobacterium,4.0
g__Citrobacter,4.0
g__Clavibacter,5.0
g__Clavispora,10.0
g__Clostridiales_noname,853.0
g__Clostridium,70843.0
g__Coccidioides,10.0
g__Collinsella,4.0
g__Coprinopsis,1.0
g__Coprobacillus,3.0
g__Coprococcus,357.0
g__Corynebacterium,94.0
g__Coxiella,3.0
g__Cronobacter,1.0
g__Cryptobacterium,1.0
g__Cupriavidus,7.0
g__Curvibacter,8.0
g__Debaryomyces,4.0
g__Dechloromonas,1.0
g__Delftia,18.0
g__Desulfitobacterium,1.0
g__Desulfobacca,3.0
g__Desulfobacula,6.0
g__Desulfosporosinus,13.0
g__Desulfovibrio,2.0
g__Dictyostelium,40.0
g__Dolosigranulum,2.0
g__Dorea,697.0
g__Dyella,4.0
g__Edwardsiella,3.0
g__Elizabethkingia,4.0
g__Enhydrobacter,8.0
g__Enterobacter,9.0
g__Enterococcus,1608.0
g__Enterovibrio,1.0
g__Eremothecium,4.0
g__Erysipelothrix,7.0
g__Erysipelotrichaceae_noname,92.0
g__Escherichia,610.0
g__Eubacteriaceae_noname,2.0
g__Eubacterium,4118.0
g__Exiguobacterium,1.0
g__Facklamia,2.0
g__Faecalibacterium,46.0
g__Filobasidiella,4.0
g__Finegoldia,16.0
g__Fischerella,5.0
g__Flavobacteriia_noname,6.0
g__Francisella,3.0
g__Frankia,2.0
g__Fretibacterium,1.0
g__Fusarium,2.0
g__Fusobacterium,24.0
g__Gallibacterium,1.0
g__Gammaproteobacteria_noname,10.0
g__Geitlerinema,4.0
g__Gemmata,1.0
g__Glaciibacter,2.0
g__Gluconobacter,2.0
g__Gordonia,1.0
g__Haemophilus,46.0
g__Halomonas,4.0
g__Halorubrum,2.0
g__Helicobacter,22.0
g__Heliobacterium,94.0
g__Herbaspirillum,4.0
g__Hirschia,1.0
g__Hoeflea,2.0
g__Holdemania,1.0
g__Hydrocarboniphaga,8.0
g__Hydrogenophaga,19.0
g__Hymenobacter,3.0
g__Ideonella,5.0
g__Idiomarina,117.0
g__Ilumatobacter,3.0
g__Imtechella,3.0
g__Janibacter,3.0
g__Janthinobacterium,15.0
g__Klebsiella,14.0
g__Kocuria,1.0
g__Kytococcus,1.0
g__Laccaria,47.0
g__Lachnoanaerobaculum,1.0
g__Lachnobacterium,14.0
g__Lachnospiraceae_noname,696.0
g__Lactobacillus,2450.0
g__Lactococcus,5.0
g__Legionella,5.0
g__Leifsonia,4.0
g__Leishmania,36.0
g__Leptonema,12.0
g__Leptosphaeria,34.0
g__Leptospira,3.0
g__Leptothrix,1.0
g__Leptotrichia,3.0
g__Limnohabitans,4.0
g__Listeria,60.0
g__Lodderomyces,7.0
g__Magnaporthe,14.0
g__Magnetospirillum,1.0
g__Malassezia,8.0
g__Mannheimia,1.0
g__Maricaulis,1.0
g__Marinilabilia,1.0
g__Marvinbryantia,29.0
g__Massilia,24.0
g__Meiothermus,7.0
g__Mesorhizobium,168.0
g__Metallosphaera,2.0
g__Methanosarcina,1.0
g__Methylibium,5.0
g__Methylobacterium,8.0
g__Methylocella,1.0
g__Methylomicrobium,7.0
g__Methylophilus,19.0
g__Methylotenera,4.0
g__Microbacterium,25.0
g__Micrococcus,4.0
g__Microcoleus,6.0
g__Microcystis,1.0
g__Millerozyma,1.0
g__Moorea,4.0
g__Mucispirillum,15526.0
g__Myceliophthora,46.0
g__Mycobacterium,2.0
g__Mycoplasma,1.0
g__Myxococcus,1.0
g__Natrialba,3.0
g__Naumovozyma,29.0
g__Neisseria,12.0
g__Neosartorya,1.0
g__Neospora,12.0
g__Nesterenkonia,4.0
g__Neurospora,4.0
g__Nitrobacter,8.0
g__Nocardia,13.0
g__Nocardioidaceae_noname,2.0
g__Nocardioides,1.0
g__Novosphingobium,9.0
g__Oceanicola,2.0
