genus,Length,Reads,RPK
g_Acetoanaerobium,1143,2,1.7497812773403325
g_Acetobacterium,303,1,3.3003300330033003
g_Acholeplasma,4953,4,1.5207502973407299
g_Achromobacter,2931,1,0.34118048447628796
g_Acidovorax,19019,28,40.160161779121246
g_Acinetobacter,10893,12,14.808644912657552
g_Actinomyces,2076,2,0.9633911368015414
g_Aerococcus,5274,8,7.469813665625916
g_Aeromonas,8937,7,10.339296658660787
g_Afipia,5808,7,6.828390374753363
g_Agarivorans,2361,26,27.666066358839643
g_Agrobacterium,813,1,1.2300123001230012
g_Agromyces,4308,4,2.9327313095085605
g_Akkermansia,1590,1,0.6289308176100629
g_Algibacter,861,4,4.645760743321719
g_Alicycliphilus,3471,4,3.548938939112707
g_Alistipes,3723,3,2.727813289727962
g_Alkaliphilus,3258,7,13.90341502231625
g_Alteromonas,2847,2,2.059542256424947
g_Aminobacter,546,1,1.8315018315018314
g_Anaerococcus,283,1,3.53356890459364
g_Anaerophaga,150,58,386.6666666666667
g_Anaerostipes,3582,10,11.460268127116208
g_Anaerotignum,22898,2522,5798.777297792882
g_Anoxybacillus,285,1,3.5087719298245617
g_Archaeoglobus,1185,54,45.56962025316456
g_Arcobacter,4086,3,0.7342143906020557
g_Arsenophonus,2079,1,0.481000481000481
g_Arthrobacter,2037,1,0.4909180166912126
g_Bacillus,12829,40,82.83463356931847
g_Bacteroides,503718,1536,2534.3267383783887
g_Barnesiella,17688,15,26.132269365777628
g_Bartonella,5118,1,0.19538882375928096
g_Betacoronavirus,813,2,2.4600246002460024
g_Bifidobacterium,741,1,1.349527665317139
g_Blautia,708259,5103,13550.738999332123
g_Bordetella,3879,5,3.7873578649343047
g_Bosea,3465,2,0.5772005772005773
g_Brachyspira,1521,3,4.622650989850266
g_Bradyrhizobium,57357,107,111.50252326674627
g_Brevibacillus,999,1,1.001001001001001
g_Brevundimonas,993,1,1.0070493454179255
g_Burkholderia,1815,2,3.9617056943789617
g_Butyrivibrio,2061,4,3.799665773475091
g_Caldicellulosiruptor,1506,2,2.740249460956904
g_Calditerrivibrio,1407,5,3.5536602700781805
g_Campylobacter,5199,15,12.680203610880262
g_Candidatus Arthromitus,3888,3,5.980731171570867
g_Candidatus Azobacteroides,283,4,14.13427561837456
g_Candidatus Desulfofervidus,1548,3,1.937984496124031
g_Candidatus Kuenenia,6366,4,1.2566760917373547
g_Candidatus Methylopumilus,2004,1,0.499001996007984
g_Candidatus Mikella,1635,1,0.6116207951070336
g_Candidatus Nitrosocosmicus,759,1,1.3175230566534915
g_Candidatus Phytoplasma,168,1,5.952380952380952
g_Candidatus Protochlamydia,1008,1,0.9920634920634921
g_Candidatus Thioglobus,1221,1,0.8190008190008189
g_Capnocytophaga,3204,37,21.901628576622855
g_Carboxydothermus,1017,1,0.9832841691248771
g_Caulobacter,5109,9,6.125909884443467
g_Cedecea,801,1,1.2484394506866416
g_Cellulomonas,408,1,2.450980392156863
g_Cellulophaga,8562,9,6.197101006297871
g_Cellulosilyticum,6678,15,10.33975825248687
g_Chitinophaga,5226,4,1.4440687517610595
g_Chlamydia,5710,70,223.25493551677735
g_Chlorobium,432,1,2.314814814814815
g_Chryseobacterium,750,2,5.941770647653001
g_Clostridioides,2472,3,2.6560527010032553
g_Clostridium,54811,67,99.2869292417365
g_Comamonas,1089,2,1.8365472910927456
g_Coprococcus,2820,35,37.671450317407576
g_Corynebacterium,6623,6,6.854961950834831
g_Cupriavidus,3813,1,0.26226068712300027
g_Cutibacterium,150447,139,149.47227901162978
g_Cyanobium,2091,1,0.4782400765184122
g_Cyclobacterium,3147,1,0.31776294884016526
g_Cytophaga,2316,4,6.752771880160415
g_Dechloromonas,8326,10,4.673311510738799
g_Dehalobacter,732,26,35.51912568306011
g_Deinococcus,2913,1,0.34328870580157916
g_Delftia,1560,3,1.923076923076923
g_Desulfobacterium,3996,4,2.002002002002002
g_Desulfosporosinus,1794,1,0.5574136008918618
