genus,reads
g__Achromobacter,3.0
g__Acidovorax,48.0
g__Acinetobacter,47.0
g__Actinomyces,39.0
g__Aeromicrobium,1.0
g__Aeromonas,27.0
g__Afipia,21.0
g__Agromyces,1.0
g__Albidiferax,1.0
g__Alcaligenes,1.0
g__Alcanivorax,5.0
g__Alicycliphilus,4.0
g__Alistipes,1.0
g__Amycolatopsis,1.0
g__Anaerococcus,1.0
g__Anaerostipes,171.0
g__Anaerotruncus,10.0
g__Arcobacter,2.0
g__Arthrobacter,4.0
g__Aspergillus,1.0
g__Asticcacaulis,2.0
g__Aurantimonas,2.0
g__Azospirillum,1.0
g__Babesia,20.0
g__Bacillus,50.0
g__Bacteroides,44161.0
g__Barnesiella,1197.0
g__Bifidobacterium,7.0
g__Blattabacterium,32.0
g__Blautia,7595.0
g__Bordetella,2.0
g__Brachyspira,1.0
g__Bradyrhizobium,144.0
g__Brevundimonas,3.0
g__Brucella,3.0
g__Burkholderia,8.0
g__Burkholderiales_noname,3.0
g__Butyricicoccus,2.0
g__Butyrivibrio,1.0
g__Caldalkalibacillus,10.0
g__Caldanaerobacter,26.0
g__Campylobacter,4.0
g__Candidatus_Phytoplasma,1.0
g__Candidatus_Saccharibacteria_noname,2.0
g__Carnobacterium,2223.0
g__Caulobacter,18.0
g__Centipeda,1.0
g__Chelatococcus,1.0
g__Chlamydia,235.0
g__Chryseobacterium,2.0
g__Chthoniobacter,1.0
g__Citricoccus,1.0
g__Clavispora,2.0
g__Clostridiales_noname,107.0
g__Clostridium,9130.0
g__Collinsella,1.0
g__Comamonas,3.0
g__Coprobacter,5165.0
g__Coprococcus,216.0
g__Corynebacterium,18.0
g__Coxiella,31.0
g__Cupriavidus,5.0
g__Curtobacterium,1.0
g__Curvibacter,13.0
g__Dechloromonas,22.0
g__Desulfobacca,1.0
g__Dictyostelium,1.0
g__Dorea,202.0
g__Duganella,6.0
g__Enterobacter,2.0
g__Enterococcus,578.0
g__Erysipelothrix,5.0
g__Erythrobacter,2.0
g__Escherichia,173.0
g__Eubacterium,2578.0
g__Faecalibacterium,59.0
g__Finegoldia,6.0
g__Flavobacteriia_noname,94.0
g__Flavobacterium,6.0
g__Fusobacterium,9.0
g__Granulibacter,4.0
g__Haemophilus,3.0
g__Halomonas,3.0
g__Helicobacter,6.0
g__Heliobacterium,80.0
g__Herbaspirillum,3.0
g__Herminiimonas,1.0
g__Hoeflea,1.0
g__Holophaga,1.0
g__Hydrogenivirga,1.0
g__Hydrogenophaga,1.0
g__Ideonella,3.0
g__Janthinobacterium,6.0
g__Kineococcus,1.0
g__Kineosphaera,1.0
g__Klebsiella,7.0
g__Kocuria,4.0
g__Laccaria,3.0
g__Lachnospiraceae_noname,32.0
g__Lactobacillus,1003.0
g__Legionella,2.0
g__Leptonema,1.0
g__Leptosphaeria,126.0
g__Leptospira,2.0
g__Leptothrix,19.0
g__Leptotrichia,3.0
g__Leucobacter,2.0
g__Limnohabitans,4.0
g__Listeria,278.0
g__Malassezia,2.0
g__Marvinbryantia,3.0
g__Massilia,1.0
g__Mesorhizobium,94.0
g__Methylibium,20.0
g__Methylobacterium,16.0
g__Methylococcus,1.0
g__Methylocystis,1.0
g__Methylophilus,2.0
g__Methylopila,1.0
g__Methylotenera,1.0
g__Methyloversatilis,2.0
g__Microbacterium,12.0
g__Micrococcus,41.0
g__Mucispirillum,1413.0
g__Myceliophthora,72.0
g__Mycobacterium,4.0
g__Naumovozyma,4.0
g__Neisseria,3.0
g__Nitratireductor,1.0
g__Nitrobacter,1.0
g__Nocardia,2.0
g__Novosphingobium,9.0
g__Ochrobactrum,2.0
g__Opitutaceae_noname,13.0
g__Paenibacillus,37.0
g__Parabacteroides,30915.0
g__Paracoccidioides,1.0
g__Paraprevotella,6.0
g__Parvimonas,13.0
g__Pedosphaera,2.0
g__Peptoniphilus,1.0
g__Peptostreptococcaceae_noname,118.0
g__Perkinsus,80.0
g__Phenylobacterium,4.0
g__Plasmodium,85.0
g__Polaromonas,6.0
g__Polynucleobacter,3.0
g__Porphyromonas,40.0
g__Prevotella,667.0
g__Propionibacterium,179.0
g__Pseudoalteromonas,2.0
g__Pseudoflavonifractor,20.0
g__Pseudomonas,91.0
g__Pseudonocardia,28.0
g__Pseudoramibacter,40.0
g__Pseudovibrio,5.0
g__Psychrobacter,3.0
g__Ralstonia,6.0
g__Rhizobium,3.0
g__Rhodobacter,1.0
g__Rhodococcus,261.0
g__Rhodopirellula,1.0
g__Rhodopseudomonas,8.0
g__Rhodospirillales_noname,4.0
g__Rhodospirillum,4.0
g__Rickettsia,7.0
g__Roseburia,2.0
g__Rothia,1.0
g__Rubrivivax,3.0
g__Rudaea,1.0
g__Ruminococcus,143.0
g__Salinisphaera,1.0
g__Salmonella,8.0
g__Scheffersomyces,3.0
g__Schlesneria,2.0
g__Selenomonas,1.0
g__Serratia,9.0
g__Shewanella,1.0
g__Shigella,55.0
g__Singularimonas,2.0
g__Sinorhizobium,7.0
g__Sorangium,1.0
g__Sordaria,6.0
g__Sphingobacterium,1.0
g__Sphingobium,6.0
g__Sphingomonas,16.0
g__Sphingopyxis,1.0
g__Staphylococcus,64.0
g__Starkeya,1.0
g__Stenotrophomonas,10.0
g__Streptococcus,687.0
g__Streptomyces,8.0
g__Sutterella,12.0
g__Talaromyces,4.0
g__Tannerella,140.0
g__Tetrahymena,3.0
g__Tetrasphaera,2.0
g__Thalassiosira,109.0
g__Thauera,4.0
g__Thermoanaerobacterium,1.0
g__Thermosinus,8.0
g__Thielavia,61.0
g__Thioalkalivibrio,3.0
g__Toxoplasma,5.0
g__Tsukamurella,1.0
g__Ureibacillus,1.0
g__Variovorax,12.0
g__Verminephrobacter,3.0
g__Vibrio,18.0
g__Winogradskyella,1.0
g__Xanthomonadaceae_noname,1.0
g__Xanthomonas,3.0
g__Yarrowia,1.0
g__Zymoseptoria,17.0
