genus,Length,Reads,RPK
g_Acetoanaerobium,4191,5,3.921234950536667
g_Acetobacter,3618,17,6.995018307994675
g_Acetobacterium,597,6,10.050251256281408
g_Acetohalobium,2100,3,3.187970950254015
g_Acholeplasma,8046,51,41.2147484847294
g_Achromobacter,5331,3,1.9686367044481952
g_Acidaminococcus,2022,2,2.0323732329811355
g_Acidianus,5103,1,0.1959631589261219
g_Acidihalobacter,1449,1,0.6901311249137336
g_Acidovorax,11319,32,48.04219572614988
g_Aciduliprofundum,1614,1,0.6195786864931846
g_Acinetobacter,33528,89,157.8654510436076
g_Actinobacillus,10914,5,2.9584147889780175
g_Actinomyces,5226,5,3.7354403392726154
g_Actinoplanes,3354,92,58.023735810113514
g_Aerococcus,10155,13,16.5653095094626
g_Aeromonas,14034,19,12.572308358877095
g_Afipia,2799,10,9.713834416554185
g_Agarivorans,798,7,8.771929824561402
g_Agrobacterium,7758,14,9.68941651934537
g_Agrococcus,1200,7,5.833333333333334
g_Akkermansia,5838,63,26.97410628754824
g_Algibacter,7641,16,11.791583241156896
g_Algoriphagus,4818,16,14.03732700575724
g_Alicycliphilus,2901,1,0.3447087211306446
g_Alicyclobacillus,4623,8,24.14580618700619
g_Aliivibrio,2925,2,1.4185945002182452
g_Alistipes,47109,224,224.33960651577672
g_Alkalilimnicola,2454,2,1.8259947541715498
g_Alkaliphilus,19626,60,132.6582011092222
g_Alloactinosynnema,375,1,2.6666666666666665
g_Allochromatium,2628,2,1.5220700152207
g_Allofrancisella,2436,5,4.105090311986864
g_Alphabaculovirus,3930,1,0.2544529262086514
g_Alphaentomopoxvirus,1503,1,0.6653359946773121
g_Altererythrobacter,10176,37,32.60715517125335
g_Alteromonas,2460,3,5.6149990360516675
g_Aminobacter,909,1,1.1001100110011002
g_Amphibacillus,6462,7,5.663014773887698
g_Amycolatopsis,942,2,2.1231422505307855
g_Anabaena,13194,36,24.683665205460727
g_Anaerococcus,3615,15,6.337430820146286
g_Anaerophaga,150,13,86.66666666666667
g_Anaerostipes,16473,61,61.51409565088742
g_Anaerotignum,55012,1094,1661.6595235281818
g_Aneurinibacillus,13506,79,73.80666080777185
g_Anoxybacillus,9129,24,15.678805805519204
g_Arachidicoccus,12177,21,16.329527749255128
g_Arcanobacterium,1230,1,0.8130081300813008
g_Arcobacter,13218,49,48.23336381723314
g_Arsenophonus,11520,20,10.692045600187722
g_Arthrospira,1830,3,5.197338729636478
g_Asticcacaulis,2598,3,2.5944978751957057
g_Azoarcus,1893,3,1.5847860538827259
g_Azospirillum,7983,39,52.722011477584054
g_Azotobacter,759,2,2.635046113306983
g_Bacillus,171690,556,462.2571828271202
g_Bacteroides,2302897,12340,13923.066110957594
g_Barnesiella,50568,252,353.88813741565446
g_Bartonella,18486,31,17.5229574308695
g_Bdellovibrio,675,35,51.85185185185185
g_Belliella,3135,4,6.747813448911266
g_Bernardetia,8565,18,10.923160946128773
g_Betacoronavirus,813,9,11.070110701107012
g_Betaentomopoxvirus,945,2,2.1164021164021167
g_Betainfluenzavirus,1515,1,0.6600660066006601
g_Bibersteinia,2640,17,6.4393939393939394
g_Bifidobacterium,6825,3,1.3366224401347215
g_Blastochloris,1392,2,2.873563218390805
g_Blastococcus,615,8,13.008130081300813
g_Blattabacterium,8043,9,3.336184798498817
g_Blautia,3376349,22286,46808.33513223693
g_Bordetella,3024,3,3.3197587467597964
g_Borrelia,15189,60,45.446943372421785
g_Borreliella,7173,35,23.89365894532527
g_Bosea,1221,13,10.647010647010646
g_Brachyspira,40377,86,106.82715180412129
g_Bradyrhizobium,32385,123,116.79783134227795
g_Brevibacillus,6018,4,3.5780990777480977
g_Brevibacterium,1587,2,1.260239445494644
g_Brevundimonas,771,1,1.297016861219196
g_Buchnera,9591,15,14.784684526561794
g_Burkholderia,23763,107,66.30891648727601
g_Butyrivibrio,15063,66,60.067796726903566
g_C2virus,3225,2,0.6201550387596899
g_Caldanaerobacter,6645,3,1.733287715599408
g_Caldicellulosiruptor,16296,29,30.967744381805094
g_Caldilinea,1374,1,0.727802037845706
g_Caldimicrobium,1857,2,1.0770059235325795
g_Calditerrivibrio,3471,43,61.678237509404426
g_Campylobacter,39945,127,125.9199184404672
g_Candidatus Amoebophilus,6084,48,10.75007739049759
g_Candidatus Aquiluna,864,1,1.1574074074074074
g_Candidatus Arthromitus,19284,28,31.04765101181545
g_Candidatus Atelocyanobacterium,3555,3,1.740511333089368
g_Candidatus Azobacteroides,475,4,15.809040047114252
g_Candidatus Blochmannia,3249,4,2.7488151658767768
g_Candidatus Caldiarchaeum,3093,1,0.3233107015842224
g_Candidatus Cardinium,1374,1,0.727802037845706
g_Candidatus Carsonella,5280,2,1.0822590682241358
g_Candidatus Cloacimonas,4089,3,1.4378150410907462
g_Candidatus Desulfofervidus,4584,39,25.320302182947554
g_Candidatus Hepatoplasma,1905,1,0.5249343832020997
g_Candidatus Ishikawaella,1515,1,0.6600660066006601
g_Candidatus Izimaplasma,2613,50,50.4586279825959
g_Candidatus Kinetoplastibacterium,9261,19,13.74373527359431
g_Candidatus Kuenenia,924,1,1.0822510822510822
g_Candidatus Methylopumilus,4494,4,3.5636769455794446
g_Candidatus Nitrosocosmicus,2475,32,33.34346812607682
g_Candidatus Nitrosotalea,153,2,13.071895424836601
g_Candidatus Paracaedibacter,4116,1,0.24295432458697766
g_Candidatus Phytoplasma,4839,10,4.878235469771455
g_Candidatus Portiera,2091,1,0.4782400765184122
g_Candidatus Profftella,1809,2,2.8245411877125433
g_Candidatus Protochlamydia,2739,3,2.35052866631814
