Taxonomy,Length,Reads,RPK
unclassified,18111526,294668,329536.50766726205
root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,3355274,22015,46295.98016340473
root;k_Bacteria,497613,20837,32123.742974514164
root;k_;p_;c_;o_;f_;g_;s_uncultured organism,219785,2660,4349.731561273581
root;k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Tannerellaceae;g_Parabacteroides;s_Parabacteroides distasonis,575922,2940,3936.2773274363612
root,360968,1488,3679.6925940234587
root;k_Bacteria;p_;c_;o_;f_;g_;s_uncultured bacterium,299394,1740,3477.9807693730195
root;k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Bacteroidaceae;g_Bacteroides;s_Bacteroides dorei,243734,2320,2918.632386950631
root;k_Bacteria;p_Proteobacteria;c_Betaproteobacteria;o_Nitrosomonadales;f_Methylophilaceae;g_Methylobacillus;s_Methylobacillus flagellatus,5976,4915,2608.600905292913
root;k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Bacteroidaceae;g_Bacteroides;s_Bacteroides fragilis,294666,1877,1976.03714837957
root;k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Bacteroidaceae;g_Bacteroides;s_Bacteroides xylanisolvens,215864,1587,1898.9028681127538
root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales,42892,613,1783.6121928378257
root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Anaerotignum;s_Anaerotignum propionicum,55012,1094,1661.6595235281818
root;k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Bacteroidaceae;g_Bacteroides,405263,1558,1639.6552293286031
root;k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Bacteroidaceae;g_Bacteroides;s_Bacteroides thetaiotaomicron,355598,1609,1485.738306818098
