genus,reads
g__Acetivibrio,1.0
g__Acetobacter,1.0
g__Achromobacter,1.0
g__Acidaminococcus,1.0
g__Acidithiobacillus,1.0
g__Acidovorax,38.0
g__Acinetobacter,88.0
g__Actinobacteria_noname,1.0
g__Actinomyces,41.0
g__Aeromonas,9.0
g__Afipia,21.0
g__Agrobacterium,3.0
g__Ajellomyces,52.0
g__Aliivibrio,2.0
g__Alistipes,27.0
g__Alloprevotella,8.0
g__Anaerococcus,1.0
g__Anaeromyxobacter,4.0
g__Anaerostipes,4878.0
g__Anaerotruncus,1062.0
g__Arenimonas,1.0
g__Arthroderma,16.0
g__Arthrospira,1.0
g__Aspergillus,34.0
g__Asticcacaulis,21.0
g__Azoarcus,3.0
g__Azorhizobium,2.0
g__Azospirillum,1.0
g__Babesia,1.0
g__Bacillus,67.0
g__Bacteroides,12021.0
g__Barnesiella,153.0
g__Belliella,1.0
g__Bifidobacterium,3.0
g__Blattabacterium,3.0
g__Blautia,12431.0
g__Botryotinia,221.0
g__Brachybacterium,2.0
g__Brachyspira,4.0
g__Bradyrhizobium,225.0
g__Brevibacterium,4.0
g__Brevundimonas,1.0
g__Brucella,3.0
g__Burkholderia,34.0
g__Burkholderiales_noname,2.0
g__Butyricicoccus,1.0
g__Butyricimonas,1.0
g__Butyrivibrio,34.0
g__Caldalkalibacillus,11.0
g__Caldanaerobacter,18.0
g__Calothrix,1.0
g__Campylobacter,5.0
g__Candida,9.0
g__Capnocytophaga,6.0
g__Carnobacterium,633.0
g__Catonella,2.0
g__Caulobacter,43.0
g__Cellulomonas,2.0
g__Centipeda,6.0
g__Chaetomium,5.0
g__Chlamydia,294.0
g__Chlorobium,5.0
g__Chromobacterium,1.0
g__Chroococcidiopsis,1.0
g__Citrobacter,8.0
g__Clavispora,8.0
g__Clostridiales_noname,54.0
g__Clostridium,75672.0
g__Coccidioides,58.0
g__Coleofasciculus,2.0
g__Collimonas,4.0
g__Colwellia,17.0
g__Comamonas,2.0
g__Coprinopsis,8.0
g__Coprobacillus,1.0
g__Coprococcus,147.0
g__Corynebacterium,43.0
g__Coxiella,67.0
g__Crinalium,1.0
g__Crocosphaera,4.0
g__Cronobacter,5.0
g__Cryptosporidium,7.0
g__Cupriavidus,6.0
g__Curvibacter,9.0
g__Cyanothece,2.0
g__Cylindrospermum,3.0
g__Dechloromonas,1.0
g__Dehalobacter,1.0
g__Delftia,2.0
g__Dermacoccus,4.0
g__Desulfococcus,1.0
g__Desulfovibrio,1.0
g__Dictyostelium,34.0
g__Dokdonia,2.0
g__Dorea,1110.0
g__Duganella,12.0
g__Dyella,2.0
g__Edwardsiella,1.0
g__Elizabethkingia,5.0
g__Endoriftia,2.0
g__Enhydrobacter,2.0
g__Enterobacter,13.0
g__Enterobacteriaceae_noname,1.0
g__Enterococcus,692.0
g__Enterovibrio,4.0
g__Eremothecium,2.0
g__Erysipelotrichaceae_noname,7.0
g__Escherichia,323.0
g__Eubacteriaceae_noname,5.0
g__Eubacterium,202.0
g__Exiguobacterium,1.0
g__Faecalibacterium,53.0
g__Fibrisoma,1.0
g__Filobasidiella,2.0
g__Finegoldia,13.0
g__Fischerella,3.0
g__Flavobacteriales_noname,2.0
g__Flavobacteriia_noname,7.0
g__Flavobacterium,5.0
g__Frankia,2.0
g__Fusobacterium,3.0
g__Gallibacterium,2.0
g__Gammaproteobacteria_noname,2.0
g__Geitlerinema,17.0
g__Gemella,1.0
g__Geminocystis,1.0
g__Gemmata,4.0
g__Geobacter,1.0
g__Gilvimarinus,8.0
g__Gluconacetobacter,1.0
g__Gluconobacter,1.0
g__Gordonia,1.0
g__Granulibacter,1.0
g__Granulicella,1.0
g__Haemophilus,9.0
g__Halococcus,2.0
g__Halomonas,8.0
g__Helicobacter,10.0
g__Heliobacterium,68.0
g__Herbaspirillum,1.0
g__Histophilus,2.0
g__Hoeflea,4.0
g__Humibacter,1.0
g__Hyphomicrobium,1.0
g__Ilumatobacter,2.0
g__Janthinobacterium,3.0
g__Johnsonella,3.0
g__Kitasatospora,3.0
g__Klebsiella,2.0
g__Kocuria,8.0
g__Kytococcus,1.0
g__Laccaria,53.0
g__Lachnospiraceae_noname,319.0
g__Lactobacillus,1055.0
g__Lactococcus,1.0
g__Legionella,4.0
g__Leishmania,62.0
g__Leptonema,6.0
g__Leptosphaeria,72.0
g__Leptospira,13.0
g__Leptotrichia,1.0
g__Leuconostoc,3.0
g__Limnohabitans,10.0
g__Listeria,50.0
g__Lodderomyces,12.0
g__Magnaporthe,17.0
g__Malassezia,2.0
g__Mannheimia,9.0
g__Marinilabilia,9.0
g__Marvinbryantia,20.0
g__Megamonas,10.0
g__Mesorhizobium,101.0
g__Methylibium,5.0
g__Methylobacterium,1.0
g__Methylomicrobium,1.0
g__Methylophilus,3.0
g__Methylosinus,2.0
g__Methylotenera,1.0
g__Methyloversatilis,2.0
g__Microbacterium,13.0
g__Micrococcus,1.0
g__Microcystis,3.0
g__Microvirga,6.0
g__Millerozyma,1.0
g__Moniliophthora,1.0
g__Moorea,1.0
g__Mucilaginibacter,2.0
g__Mucispirillum,6989.0
g__Myceliophthora,150.0
g__Mycobacterium,12.0
g__Mycoplasma,3.0
g__Natrialba,5.0
g__Naumovozyma,45.0
g__Nautilia,1.0
g__Neisseria,14.0
g__Neosartorya,8.0
g__Neospora,7.0
g__Neurospora,13.0
