uniref90,taxa,RPK
UniRef90_V1EAX6,unclassified,65472.0
UniRef90_unknown,g__Parabacteroides.s__Parabacteroides_goldsteinii,30398.0
UniRef90_unknown,g__Clostridium.s__Clostridium_sp_ASF356,2035.0
UniRef90_unknown,g__Blautia.s__Blautia_producta,668.0
UniRef90_unknown,g__Mucispirillum.s__Mucispirillum_schaedleri,91.0
UniRef90_unknown,g__Lactobacillus.s__Lactobacillus_murinus,59.0
UniRef90_Q4YHT4,unclassified,17686.550420484
UniRef90_Q4YHX4,unclassified,16845.953979935
UniRef90_Q4YA27,unclassified,16372.413824871399
UniRef90_Q4YI61,unclassified,14314.546752435901
UniRef90_Q4YHF0,unclassified,13457.466397746899
UniRef90_Q4YHW5,unclassified,8465.6979373761
UniRef90_Q7R6V5,unclassified,8292.519434952299
UniRef90_Q7R7S4,unclassified,7407.906993568001
UniRef90_Q4YJU8,unclassified,6602.986794368
UniRef90_Q4YA17,unclassified,6482.440159735
UniRef90_Q4YI79,unclassified,5726.4512986364
UniRef90_Q7R7L8,unclassified,5621.2818594408
UniRef90_Q4YHQ3,unclassified,5218.6402045581
UniRef90_Q4X813,unclassified,5182.4156040356
UniRef90_Q4YK64,unclassified,4581.8182923548
UniRef90_Q7R7M0,unclassified,4557.6023742323
UniRef90_Q4YH89,unclassified,4258.7736157716
UniRef90_Q4YJ71,unclassified,4210.5406725166995
UniRef90_Q4X778,unclassified,4133.5535117089
UniRef90_Q4YHX5,unclassified,4116.3896317406
UniRef90_Q7R7D8,unclassified,4081.0484097442
UniRef90_S7K4H7,unclassified,3963.5379894922
UniRef90_Q4YHQ2,unclassified,3581.6502401894
UniRef90_Q4XDB9,unclassified,3111.7541573797
UniRef90_Q4YD76,unclassified,3012.7413545867
UniRef90_Q4X6X1,unclassified,3010.7450944064003
UniRef90_Q4YD51,unclassified,2970.6996750904
UniRef90_Q4XG51,unclassified,2578.6491142452
UniRef90_D3Z496,unclassified,2568.7697014697
UniRef90_Q7R6U7,unclassified,2561.0826799627
UniRef90_Q4YAG3,unclassified,2437.1587172763
UniRef90_Q3U156,unclassified,2396.3182309596
UniRef90_A8RZB5,unclassified,2369.3923527411
UniRef90_Q4YDX5,unclassified,2070.7008280266
UniRef90_S0GJR7,g__Parabacteroides.s__Parabacteroides_goldsteinii,2066.0
UniRef90_Q7R7C2,unclassified,2044.0471408854999
UniRef90_A7SPZ4,unclassified,1965.3327355554998
UniRef90_D0TKA0,unclassified,1902.7053794024
UniRef90_J3QP72,unclassified,1872.3840843735998
UniRef90_A7ACF2,unclassified,1831.1883483092001
UniRef90_D1KAJ3,unclassified,1813.3159927948002
UniRef90_B5CUP9,unclassified,1782.9909488416001
UniRef90_Q4YK81,unclassified,1772.0065593175
UniRef90_P11369,unclassified,1730.1970171629
UniRef90_Q7R6U8,unclassified,1685.1099287431
UniRef90_D3Z1I6,unclassified,1569.2928931097001
UniRef90_B1QRR6,unclassified,1513.0343145252
UniRef90_D3Z1I8,unclassified,1511.7790129920002
UniRef90_Q4Y9P6,unclassified,1473.4523934742
UniRef90_Q7R7J3,unclassified,1279.1951811605
UniRef90_Q3RFD0,unclassified,1234.2363113228998
UniRef90_UPI000156FA79,unclassified,1227.8579326655001
UniRef90_E0MU53,unclassified,1154.1747225954
UniRef90_J3QMM9,unclassified,1153.4109249756
UniRef90_Q4YDI1,unclassified,1101.313143552
UniRef90_A5ZQM1,unclassified,1086.3402905249
UniRef90_Q7R7J7,unclassified,1057.7530925644999
UniRef90_A5ZLI4,unclassified,1011.0766272547
UniRef90_A5KRL1,unclassified,979.8617437823
UniRef90_Q7R7N2,unclassified,952.6217839272
UniRef90_A7AJP8,unclassified,945.3272815065
UniRef90_Q7R857,unclassified,941.792632692
UniRef90_F9WBA8,unclassified,885.6596127242
UniRef90_J3QMT9,unclassified,880.292160418
UniRef90_Q4YIR0,unclassified,867.5765101172999
UniRef90_Q4YIV1,unclassified,758.508029954
UniRef90_Q4YJW7,unclassified,702.5049959309
UniRef90_B3C522,unclassified,698.7810249249001
UniRef90_D9UEL3,unclassified,648.8111147087001
UniRef90_W1YU10,unclassified,648.4055625019
UniRef90_Q7R856,unclassified,636.2314112508
UniRef90_Q4YDJ6,unclassified,629.0624927216
UniRef90_K7F1M8,unclassified,611.5344210644
UniRef90_Q4YJX9,unclassified,602.4099050858999
UniRef90_R9J210,unclassified,580.2234620705
UniRef90_J3KMP5,unclassified,577.2195102808
UniRef90_Q7R7B9,unclassified,574.1797115191999
UniRef90_A0A026VT83,unclassified,568.9148003546
UniRef90_Q7PD06,unclassified,561.8111870608
UniRef90_J3QK61,unclassified,556.379194635
UniRef90_A7VD49,unclassified,545.8906480197
UniRef90_Q7R7L5,unclassified,537.3660587022
