Amino acid metabolism,Biosynthesis of other secondary metabolites,Carbohydrate metabolism,Chemical structure transformation maps,Energy metabolism,Global and overview maps,Glycan biosynthesis and metabolism,Lipid metabolism,Metabolism of cofactors and vitamins,Metabolism of other amino acids,Metabolism of terpenoids and polyketides,Nucleotide metabolism,Xenobiotics biodegradation and metabolism
ec:2.3.1.30,ec:3.1.3.25,ec:2.7.9.1,,ec:2.3.1.30,ec:1.6.1.2,ec:2.5.1.7,ec:1.1.5.3,ec:2.7.7.75,ec:1.8.1.7,ec:4.2.1.17,ec:6.3.5.3,ec:1.1.1.1
ec:2.1.1.37,ec:2.3.1.30,ec:1.2.1.12,,ec:2.7.9.1,ec:2.1.1.163,ec:6.3.2.9,ec:1.1.1.1,ec:1.6.1.2,ec:5.1.1.3,ec:2.3.1.9,ec:2.7.7.6,ec:6.3.5.2
ec:1.1.1.1,ec:5.4.2.2,ec:2.3.1.222,,ec:1.2.1.12,ec:2.1.1.37,ec:3.2.1.22,ec:4.2.1.17,ec:2.1.1.163,ec:2.1.2.1,ec:4.6.1.12,ec:6.3.3.1,ec:4.2.1.17
ec:5.4.2.12,ec:2.6.1.1,ec:1.1.1.1,,ec:5.3.1.1,ec:1.2.1.12,ec:2.4.1.129,ec:2.3.1.9,ec:1.1.1.1,ec:1.4.1.1,ec:2.2.1.1,ec:6.3.2.6,ec:3.5.1.4
ec:4.2.1.33,ec:1.1.1.18,ec:5.3.1.1,,ec:5.4.2.12,ec:1.1.1.1,ec:2.4.1.227,ec:3.2.1.22,ec:2.7.8.26,ec:4.2.1.17,ec:1.17.7.4,ec:2.7.1.40,ec:2.3.1.9
ec:2.1.2.1,ec:2.7.2.4,ec:2.7.1.40,,ec:2.1.2.1,ec:2.1.2.1,ec:2.7.8.13,ec:2.3.1.39,ec:2.1.2.1,ec:1.1.1.42,ec:2.5.1.10,ec:6.3.5.2,ec:2.4.2.10
ec:6.3.4.5,ec:1.1.1.133,ec:5.3.1.12,,ec:1.4.1.4,ec:1.4.1.4,ec:2.3.1.243,ec:4.3.1.7,ec:6.3.4.3,ec:6.3.2.9,ec:2.2.1.7,ec:6.3.4.2,ec:3.5.4.5
ec:1.4.1.4,ec:6.4.1.2,ec:5.4.2.12,,ec:6.3.4.3,ec:1.5.1.5,ec:5.3.1.28,ec:2.3.1.40,ec:2.7.1.26,ec:2.7.2.1,ec:1.1.1.133,ec:2.7.2.2,ec:2.4.2.8
ec:2.7.2.2,ec:1.11.1.21,ec:2.7.7.27,,ec:2.7.2.2,ec:1.4.1.1,ec:6.3.2.13,ec:2.3.1.15,ec:1.5.1.5,ec:6.1.1.10,ec:2.5.1.90,ec:6.3.4.13,ec:1.11.1.21
ec:1.4.1.1,ec:1.4.3.21,ec:2.1.2.1,,ec:1.5.1.5,ec:1.1.1.86,ec:3.2.1.52,ec:6.4.1.2,ec:2.8.1.7,ec:6.3.2.1,ec:5.1.3.13,ec:4.3.2.2,ec:1.2.1.10
ec:1.1.1.86,ec:4.1.1.18,ec:2.5.1.7,,ec:4.1.2.13,ec:1.8.1.4,ec:3.2.1.23,ec:6.2.1.3,ec:1.1.1.86,ec:5.1.1.1,ec:2.7.1.148,ec:2.4.2.10,ec:1.2.1.39
ec:1.8.1.4,ec:5.1.3.13,ec:2.4.1.18,,ec:2.7.2.3,ec:1.1.1.42,ec:6.3.2.4,ec:1.1.1.6,ec:2.4.2.21,ec:2.3.1.8,ec:1.1.1.267,ec:2.7.4.22,ec:1.12.99.6
ec:2.2.1.6,ec:1.2.1.41,ec:2.7.1.16,,ec:4.2.1.17,ec:2.1.2.3,ec:1.3.1.98,ec:3.1.1.5,ec:4.1.99.17,ec:3.5.1.2,ec:2.7.7.60,ec:2.7.4.3,ec:2.3.1.174
