Taxonomy,Length,Reads,RPK
root,202897,21238,51379.56573371798
root;k_;p_;c_;o_;f_;g;_;s_synthetic construct,969,2,2.063983488132095
root;k_;p_;c_;o_;f_;g;_;s_uncultured organism,46341,342,1463.255385423133
root;k_;p_;c_;o_;f_;g;_;s_uncultured prokaryote,3678,3,13.629366489046774
root;k_;p_;c_;o_;f_;g;_;s_unidentified,165,4,24.242424242424242
root;k_Archaea;p_Euryarchaeota;c_Halobacteria;o_Halobacteriales;f_Halobacteriaceae;g_Halanaeroarchaeum;s_Halanaeroarchaeum sulfurireducens,1374,1,0.727802037845706
root;k_Archaea;p_Euryarchaeota;c_Methanobacteria;o_Methanobacteriales;f_Methanobacteriaceae;g_Methanobrevibacter;s_Methanobrevibacter smithii,957,1,1.044932079414838
root;k_Archaea;p_Euryarchaeota;c_Methanococci;o_Methanococcales;f_Methanococcaceae;g_Methanococcus;s_Methanococcus vannielii,1350,1,0.7407407407407407
root;k_Archaea;p_Euryarchaeota;c_Methanomicrobia;o_Methanocellales;f_Methanocellaceae;g_Methanocella;s_Methanocella arvoryzae,6054,4,1.3214403700033035
root;k_Archaea;p_Euryarchaeota;c_Methanomicrobia;o_Methanomicrobiales;f_Methanomicrobiaceae;g_Methanolacinia;s_Methanolacinia petrolearia,708,1,1.4124293785310735
root;k_Archaea;p_Euryarchaeota;c_Methanomicrobia;o_Methanosarcinales;f_Methanosarcinaceae;g_Methanosarcina;s_Methanosarcina horonobensis,543,1,1.8416206261510129
root;k_Archaea;p_Thaumarchaeota;c_;o_Nitrosopumilales;f_Nitrosopumilaceae;g_Nitrosopumilus;s_Candidatus Nitrosopumilus piranensis,2151,1,0.4649000464900047
root;k_Bacteria,318606,3305,10658.8430589726
root;k_Bacteria;p_;c_;o_;f_;g_;s_bacterium AB1,1932,1,0.5175983436853002
root;k_Bacteria;p_;c_;o_;f_;g_;s_uncultured bacterium,53839,13231,41655.052462750224
root;k_Bacteria;p_;c_;o_;f_;g_;s_uncultured bacterium (human infant) L37H,150,1,6.666666666666667
root;k_Bacteria;p_;c_;o_;f_;g_;s_uncultured bacterium 1i11,1620,10,11.833505331957346
root;k_Bacteria;p_;c_;o_;f_;g_;s_uncultured bacterium 22g15,4455,5,3.3918128654970756
root;k_Bacteria;p_;c_;o_;f_;g_;s_uncultured bacterium 2M03,453,1,2.2075055187637966
root;k_Bacteria;p_;c_;o_;f_;g_;s_uncultured bacterium BD_contig01099,441,1,2.2675736961451247
root;k_Bacteria;p_;c_;o_;f_;g_;s_uncultured bacterium BD_contig01474,432,1,2.314814814814815
root;k_Bacteria;p_;c_;o_;f_;g_;s_uncultured bacterium BD_contig02693,158,1,6.329113924050633
root;k_Bacteria;p_;c_;o_;f_;g_;s_uncultured bacterium BD_contig03259,283,13,45.93639575971732
root;k_Bacteria;p_;c_;o_;f_;g_;s_uncultured bacterium FC3,283,26,91.87279151943464
root;k_Bacteria;p_;c_;o_;f_;g_;s_uncultured bacterium FGYC_13M19,459,1,2.178649237472767
root;k_Bacteria;p_;c_;o_;f_;g_;s_uncultured bacterium gwd2_scaffold_120,1692,1,0.5910165484633569
root;k_Bacteria;p_Acidobacteria;c_Acidobacteriia;o_Acidobacteriales;f_Acidobacteriaceae;g_Acidobacterium;s_Acidobacterium capsulatum,3894,2,1.075865064307389
root;k_Bacteria;p_Acidobacteria;c_Blastocatellia;o_;f_;g_Chloracidobacterium;s_Chloracidobacterium thermophilum,1173,1,0.8525149190110827
root;k_Bacteria;p_Actinobacteria;c_Actinobacteria,15189,46,53.24223323279611
root;k_Bacteria;p_Actinobacteria;c_Actinobacteria;o_Actinomycetales;f_Actinomycetaceae;g_Actinomyces,690,2,2.8985507246376816
root;k_Bacteria;p_Actinobacteria;c_Actinobacteria;o_Actinomycetales;f_Actinomycetaceae;g_Actinomyces;s_Actinomyces hongkongensis,1416,2,2.824858757062147
root;k_Bacteria;p_Actinobacteria;c_Actinobacteria;o_Actinomycetales;f_Actinomycetaceae;g_Actinomyces;s_Actinomyces oris,1659,1,0.6027727546714888
root;k_Bacteria;p_Actinobacteria;c_Actinobacteria;o_Bifidobacteriales;f_Bifidobacteriaceae;g_Bifidobacterium;s_Bifidobacterium kashiwanohense,2838,1,0.3523608174770965
root;k_Bacteria;p_Actinobacteria;c_Actinobacteria;o_Corynebacteriales;f_;g_Lawsonella;s_Lawsonella clevelandensis,1347,1,0.7423904974016333
root;k_Bacteria;p_Actinobacteria;c_Actinobacteria;o_Corynebacteriales;f_Corynebacteriaceae;g_Corynebacterium,7572,1,0.13206550449022716
root;k_Bacteria;p_Actinobacteria;c_Actinobacteria;o_Corynebacteriales;f_Corynebacteriaceae;g_Corynebacterium;s_Corynebacterium efficiens,2781,1,0.3595828838547285
root;k_Bacteria;p_Actinobacteria;c_Actinobacteria;o_Corynebacteriales;f_Corynebacteriaceae;g_Corynebacterium;s_Corynebacterium glyciniphilum,399,1,2.506265664160401
root;k_Bacteria;p_Actinobacteria;c_Actinobacteria;o_Corynebacteriales;f_Corynebacteriaceae;g_Corynebacterium;s_Corynebacterium kroppenstedtii,14484,38,35.92049610986233
root;k_Bacteria;p_Actinobacteria;c_Actinobacteria;o_Corynebacteriales;f_Corynebacteriaceae;g_Corynebacterium;s_Corynebacterium marinum,1041,1,0.9606147934678195
root;k_Bacteria;p_Actinobacteria;c_Actinobacteria;o_Corynebacteriales;f_Corynebacteriaceae;g_Corynebacterium;s_Corynebacterium mycetoides,1176,1,0.8503401360544218
root;k_Bacteria;p_Actinobacteria;c_Actinobacteria;o_Corynebacteriales;f_Corynebacteriaceae;g_Corynebacterium;s_Corynebacterium sp. ATCC 6931,1353,9,17.61430788727982
root;k_Bacteria;p_Actinobacteria;c_Actinobacteria;o_Corynebacteriales;f_Corynebacteriaceae;g_Corynebacterium;s_Corynebacterium vitaeruminis,2667,1,0.3749531308586427
root;k_Bacteria;p_Actinobacteria;c_Actinobacteria;o_Corynebacteriales;f_Gordoniaceae;g_Gordonia;s_Gordonia polyisoprenivorans,2559,2,1.581105327935703
root;k_Bacteria;p_Actinobacteria;c_Actinobacteria;o_Corynebacteriales;f_Mycobacteriaceae;g_Mycobacterium,2568,3,4.121593453585873
root;k_Bacteria;p_Actinobacteria;c_Actinobacteria;o_Corynebacteriales;f_Mycobacteriaceae;g_Mycolicibacter;s_Mycolicibacter sinensis,846,1,1.1820330969267139
root;k_Bacteria;p_Actinobacteria;c_Actinobacteria;o_Corynebacteriales;f_Mycobacteriaceae;g_Mycolicibacterium;s_Mycolicibacterium gilvum,1650,1,0.6060606060606061
root;k_Bacteria;p_Actinobacteria;c_Actinobacteria;o_Corynebacteriales;f_Mycobacteriaceae;g_Mycolicibacterium;s_Mycolicibacterium peregrinum,309,1,3.236245954692557
root;k_Bacteria;p_Actinobacteria;c_Actinobacteria;o_Corynebacteriales;f_Mycobacteriaceae;g_Mycolicibacterium;s_Mycolicibacterium vaccae,4680,4,1.7094017094017095
root;k_Bacteria;p_Actinobacteria;c_Actinobacteria;o_Corynebacteriales;f_Nocardiaceae;g_Rhodococcus,1422,2,2.8129896026207097
root;k_Bacteria;p_Actinobacteria;c_Actinobacteria;o_Corynebacteriales;f_Nocardiaceae;g_Rhodococcus;s_Rhodococcus erythropolis,5178,60,84.48401381122336
root;k_Bacteria;p_Actinobacteria;c_Actinobacteria;o_Corynebacteriales;f_Nocardiaceae;g_Rhodococcus;s_Rhodococcus sp. 008,5472,53,56.24993036269134
root;k_Bacteria;p_Actinobacteria;c_Actinobacteria;o_Geodermatophilales;f_Geodermatophilaceae;g_Geodermatophilus;s_Geodermatophilus obscurus,1374,1,0.727802037845706
root;k_Bacteria;p_Actinobacteria;c_Actinobacteria;o_Micrococcales;f_Intrasporangiaceae;g_Intrasporangium;s_Intrasporangium calvum,399,2,5.012531328320802
root;k_Bacteria;p_Actinobacteria;c_Actinobacteria;o_Micrococcales;f_Intrasporangiaceae;g_Serinicoccus;s_Serinicoccus sp. JLT9,1953,3,1.5360983102918586
root;k_Bacteria;p_Actinobacteria;c_Actinobacteria;o_Micrococcales;f_Microbacteriaceae;g_Aurantimicrobium;s_Aurantimicrobium minutum,1188,1,0.8417508417508418
root;k_Bacteria;p_Actinobacteria;c_Actinobacteria;o_Micrococcales;f_Microbacteriaceae;g_Clavibacter;s_Clavibacter michiganensis,2685,7,5.99655040915786
