Taxonomy,Length,Reads,RPK
root,382992,4283,11129.175842033543
root;k_;p_;c_;o_;f_;g;_;s_uncultured organism,86774,737,622.8646137139374
root;k_;p_;c_;o_;f_;g;_;s_uncultured prokaryote,2733,7,20.459540459540463
root;k_;p_;c_;o_;f_;g;_;s_unidentified,195,1,5.128205128205128
root;k_Archaea,1197,2,4.572332233223323
root;k_Archaea;p_;c_;o_;f_;g_;s_uncultured archaeon,306,1,3.2679738562091503
root;k_Archaea;p_Euryarchaeota;c_Halobacteria;o_Haloferacales;f_Haloferacaceae;g_Haloferax,11121,83,73.75769779171088
root;k_Archaea;p_Euryarchaeota;c_Halobacteria;o_Natrialbales;f_Natrialbaceae,1212,4,3.3003300330033003
root;k_Archaea;p_Euryarchaeota;c_Methanobacteria;o_Methanobacteriales;f_Methanothermaceae;g_Methanothermus;s_Methanothermus fervidus,1797,1,0.5564830272676684
root;k_Archaea;p_Euryarchaeota;c_Methanococci;o_Methanococcales;f_Methanocaldococcaceae;g_Methanotorris;s_Methanotorris igneus,1314,48,36.529680365296805
root;k_Archaea;p_Euryarchaeota;c_Methanococci;o_Methanococcales;f_Methanococcaceae;g_Methanococcus;s_Methanococcus aeolicus,5694,2,0.7331313166428148
root;k_Archaea;p_Euryarchaeota;c_Methanomicrobia;o_Methanomicrobiales;f_Methanoregulaceae;g_Methanoregula;s_Methanoregula formicica,3060,7,4.57516339869281
root;k_Archaea;p_Euryarchaeota;c_Methanomicrobia;o_Methanomicrobiales;f_Methanoregulaceae;g_Methanosphaerula;s_Methanosphaerula palustris,2589,4,1.544998068752414
root;k_Archaea;p_Euryarchaeota;c_Methanomicrobia;o_Methanosarcinales;f_Methanosarcinaceae;g_Methanococcoides;s_Methanococcoides burtonii,2364,13,9.825046950677079
root;k_Archaea;p_Euryarchaeota;c_Methanomicrobia;o_Methanosarcinales;f_Methanosarcinaceae;g_Methanomethylovorans;s_Methanomethylovorans hollandica,1758,2,1.1376564277588168
root;k_Archaea;p_Euryarchaeota;c_Methanomicrobia;o_Methanosarcinales;f_Methanosarcinaceae;g_Methanosarcina,6960,3,1.80623973727422
root;k_Archaea;p_Euryarchaeota;c_Methanomicrobia;o_Methanosarcinales;f_Methanosarcinaceae;g_Methanosarcina;s_Methanosarcina sp. MTP4,1656,1,0.6038647342995169
root;k_Archaea;p_Thaumarchaeota;c_;o_;f_;g_Candidatus Nitrosotalea;s_Candidatus Nitrosotalea devanaterra,627,4,6.379585326953748
root;k_Archaea;p_Thaumarchaeota;c_Nitrososphaeria;o_Nitrososphaerales;f_Nitrososphaeraceae;g_Candidatus Nitrosocosmicus;s_Candidatus Nitrocosmicus oleophilus,2403,1,0.4161464835622139
root;k_Bacteria,779192,4131,8583.96129964137
root;k_Bacteria;p_;c_;o_;f_;g_;s_uncultured bacterium,106174,136541,320459.263245705
root;k_Bacteria;p_;c_;o_;f_;g_;s_uncultured bacterium 1i11,3441,388,265.09487854552674
root;k_Bacteria;p_;c_;o_;f_;g_;s_uncultured bacterium 22g15,5553,45,32.24761421104974
root;k_Bacteria;p_;c_;o_;f_;g_;s_uncultured bacterium 270,459,1,2.178649237472767
root;k_Bacteria;p_;c_;o_;f_;g_;s_uncultured bacterium 4L05,2802,3,2.1413276231263385
root;k_Bacteria;p_;c_;o_;f_;g_;s_uncultured bacterium 5G4,108,1,9.25925925925926
root;k_Bacteria;p_;c_;o_;f_;g_;s_uncultured bacterium AD370-D1,318,1,3.144654088050314
root;k_Bacteria;p_;c_;o_;f_;g_;s_uncultured bacterium BD_contig00069,5706,5,1.7525411847178407
root;k_Bacteria;p_;c_;o_;f_;g_;s_uncultured bacterium BD_contig00162,3558,1,0.2810567734682406
root;k_Bacteria;p_;c_;o_;f_;g_;s_uncultured bacterium BLR10,2166,2,1.847076400401138
root;k_Bacteria;p_;c_;o_;f_;g_;s_uncultured bacterium Contig1354,2502,1,0.39968025579536376
root;k_Bacteria;p_;c_;o_;f_;g_;s_uncultured bacterium FC3,283,15,53.0035335689046
root;k_Bacteria;p_;c_;o_;f_;g_;s_uncultured bacterium KM3-174-C5,283,1,3.53356890459364
root;k_Bacteria;p_;c_;o_;f_;g_;s_uncultured bacterium Lac161,1107,2,1.806684733514002
root;k_Bacteria;p_;c_;o_;f_;g_;s_uncultured bacterium eBACred22E04,2067,3,1.4513788098693758
root;k_Bacteria;p_;c_;o_;f_;g_;s_uncultured marine bacterium,147,1,6.802721088435375
root;k_Bacteria;p_;c_;o_;f_;g_;s_uncultured rumen bacterium,4005,5,6.257376081825334
root;k_Bacteria;p_;c_;o_;f_;g_;s_uncultured soil bacterium,462,1,2.1645021645021645
root;k_Bacteria;p_Acidobacteria;c_Acidobacteriia;o_Acidobacteriales;f_Acidobacteriaceae;g_Candidatus Koribacter;s_Candidatus Koribacter versatilis,2904,1,0.34435261707988984
root;k_Bacteria;p_Acidobacteria;c_Acidobacteriia;o_Acidobacteriales;f_Acidobacteriaceae;g_Terriglobus;s_Terriglobus roseus,861,2,2.3228803716608595
root;k_Bacteria;p_Acidobacteria;c_Acidobacteriia;o_Acidobacteriales;f_Acidobacteriaceae;g_Terriglobus;s_Terriglobus saanensis,1683,1,0.5941770647653001
root;k_Bacteria;p_Acidobacteria;c_Blastocatellia;o_;f_;g_Chloracidobacterium;s_Chloracidobacterium thermophilum,1245,1,0.8032128514056224
root;k_Bacteria;p_Actinobacteria;c_Actinobacteria,42789,123,54.32519593307323
root;k_Bacteria;p_Actinobacteria;c_Actinobacteria;o_;f_;g_Thermobispora;s_Thermobispora bispora,594,1,1.6835016835016836
root;k_Bacteria;p_Actinobacteria;c_Actinobacteria;o_Actinomycetales;f_Actinomycetaceae;g_Actinomyces,1176,1,0.8503401360544218
