genus,Length,Reads,RPK
g_Acetoanaerobium,6222,48,94.00269294161197
g_Acetobacter,8649,5,2.353363672168179
g_Acetobacterium,1200,2,3.3333333333333335
g_Acetohalobium,3582,3,3.058788773074488
g_Acholeplasma,3705,5,8.712857599777143
g_Achromobacter,1212,1,0.8250825082508251
g_Acidihalobacter,1641,1,0.6093845216331505
g_Acidiphilium,1374,1,0.727802037845706
g_Acidithiobacillus,2517,1,0.3972983710766786
g_Acidovorax,23484,21,23.26757184299233
g_Aciduliprofundum,933,5,5.359056806002143
g_Acinetobacter,12651,40,91.47342046110563
g_Actinobacillus,2991,5,4.757645125555192
g_Actinomyces,1779,5,24.604117828781188
g_Actinoplanes,3966,1,0.2521432173474533
g_Advenella,675,1,1.4814814814814814
g_Aerococcus,14577,90,60.33875925435058
g_Aeromonas,5529,5,11.991971187200507
g_Afipia,6474,7,9.239454766950168
g_Agrobacterium,1920,3,3.0963978332399384
g_Akkermansia,4977,2,0.8154297594998305
g_Alcanivorax,1947,3,3.1636111588037417
g_Algibacter,1197,1,0.835421888053467
g_Algoriphagus,7113,13,10.191542756956222
g_Alicycliphilus,3207,3,1.8892158236420529
g_Alicyclobacillus,420,1,2.380952380952381
g_Aliivibrio,1185,1,0.8438818565400843
g_Alistipes,100233,140,78.87818673524973
g_Alkaliphilus,8526,28,36.97089447082102
g_Alloactinosynnema,1035,1,0.9661835748792271
g_Allochromatium,2022,3,2.967359050445104
g_Alphabaculovirus,4059,3,3.1588493766605357
g_Alphainfluenzavirus,423,2,4.7281323877068555
g_Altererythrobacter,3255,2,1.37069714793928
g_Alteromonas,10899,21,19.274687556805798
g_Aminobacter,918,1,1.0893246187363834
g_Amphibacillus,1482,2,2.796031220461968
g_Anabaena,2616,10,20.754050236361024
g_Anaeromyxobacter,1452,1,0.6887052341597797
g_Anaerophaga,150,89,593.3333333333334
g_Anaerostipes,5559,5,6.585300955977206
g_Anaerotignum,48790,3962,10476.859581475295
g_Aneurinibacillus,5871,21,16.79851972117975
g_Anoxybacillus,4683,7,6.357348296628412
g_Arachidicoccus,7227,5,5.207224058795024
g_Arcobacter,11319,9,8.41742448492752
g_Arsenophonus,4164,18,27.18805643062594
g_Arthrobacter,2814,2,2.1662417322543694
g_Asaia,2043,1,0.4894762604013705
g_Atopobium,1308,1,0.764525993883792
g_Azoarcus,2739,1,0.36509675063891933
g_Azorhizobium,786,1,1.272264631043257
g_Azospirillum,9015,11,10.768330225964021
g_Bacillus,125294,285,374.3610959155563
g_Bacteroides,2189705,10799,16023.64476027182
g_Barnesiella,63862,139,237.58715640227655
g_Bartonella,4950,12,9.993999749101517
g_Bc431virus,1197,9,7.518796992481203
g_Bdellovibrio,3357,18,9.550060890744607
g_Beijerinckia,339,1,2.949852507374631
g_Belliella,357,1,2.801120448179272
g_Bernardetia,7359,14,13.307151172442609
g_Betaentomopoxvirus,1467,1,0.6816632583503749
g_Bibersteinia,2574,16,6.216006216006217
g_Bifidobacterium,4662,14,33.199805810140376
g_Blastochloris,1059,5,4.721435316336167
g_Blastococcus,615,3,4.878048780487805
g_Blattabacterium,1743,16,58.8129355571216
g_Blautia,2504116,16610,36417.4581434335
g_Bordetella,2232,2,2.6785328552296193
g_Borrelia,1596,34,43.3756061698548
g_Borreliella,834,1,1.1990407673860912
g_Bosea,1302,22,29.604596147347074
g_Brachybacterium,993,1,1.0070493454179255
g_Brachyspira,21930,44,38.926058032631886
g_Bradyrhizobium,73851,144,200.89174563113593
g_Brevibacillus,1098,2,1.8214936247723132
g_Brevibacterium,885,3,3.389830508474576
