uniref90,taxa,RPK
UniRef90_unknown,g__Parabacteroides.s__Parabacteroides_goldsteinii,24796.0
UniRef90_unknown,g__Clostridium.s__Clostridium_sp_ASF356,1523.0
UniRef90_unknown,g__Blautia.s__Blautia_producta,717.0
UniRef90_unknown,g__Lactobacillus.s__Lactobacillus_murinus,210.0
UniRef90_unknown,g__Mucispirillum.s__Mucispirillum_schaedleri,94.0
UniRef90_D1KAJ3,unclassified,8551.6404396745
UniRef90_S0GJR7,g__Parabacteroides.s__Parabacteroides_goldsteinii,5417.0
UniRef90_S0GJR7,unclassified,67.0
UniRef90_A7ACF2,unclassified,5215.1046753877
UniRef90_A7AJP8,unclassified,4821.1293815902
UniRef90_B5CUP9,unclassified,4326.3854384362
UniRef90_D0TKA0,unclassified,4274.959552688
UniRef90_A8RZB5,unclassified,3450.4606255160998
UniRef90_S7K4H7,unclassified,3384.6082632113003
UniRef90_Q4YHX4,unclassified,3173.4675543124
UniRef90_Q4YHT4,unclassified,3140.8394709066997
UniRef90_A5ZLI4,unclassified,2981.5858016265997
UniRef90_UPI000156FA79,unclassified,2962.8533113740004
UniRef90_Q4YA27,unclassified,2851.8502065512
UniRef90_Q4YI61,unclassified,2534.1398504754
UniRef90_Q4YHF0,unclassified,2446.6582654701997
UniRef90_Q4YHW5,unclassified,1616.6929868057998
UniRef90_G9S8W7,unclassified,1526.4832200757
UniRef90_A7SPZ4,unclassified,1516.1434703439002
UniRef90_Q7R6V5,unclassified,1500.6798082616
UniRef90_A7AJP9,unclassified,1488.0
UniRef90_B3C522,unclassified,1485.5032953919
UniRef90_A5ZQM1,unclassified,1423.2828407687
UniRef90_Q4YA17,unclassified,1314.5473549889
UniRef90_Q7R7S4,unclassified,1299.0969899837
UniRef90_K0WTB3,unclassified,1291.7632816843
UniRef90_Q4YJU8,unclassified,1259.0092268938001
UniRef90_W8YEK8,unclassified,1134.0
UniRef90_R9J210,unclassified,1068.8329108192
UniRef90_Q4YI79,unclassified,1067.3708300301
UniRef90_UPI0001DE5DFE,unclassified,1047.9224277671
UniRef90_E0XVH4,unclassified,1046.0
UniRef90_Q4YHQ3,unclassified,1032.0271490615
UniRef90_Q7R7L8,unclassified,1014.6109720614
UniRef90_B1QRR6,unclassified,1005.1800688922
UniRef90_Q4X813,unclassified,917.4974236953999
UniRef90_Q4YK64,unclassified,883.1286608385001
UniRef90_UPI00015BEA70,unclassified,880.1611701013001
UniRef90_N1ZD63,g__Clostridium.s__Clostridium_sp_ASF356,853.0
UniRef90_Q4YH89,unclassified,823.9778840915
UniRef90_Q4YJ71,unclassified,813.6124885394
UniRef90_Q4X778,unclassified,782.8134196732001
UniRef90_Q7R7M0,unclassified,782.1011247642
UniRef90_P11369,unclassified,775.0283510314
UniRef90_Q4YHX5,unclassified,763.2910343033
UniRef90_N2B405,g__Parabacteroides.s__Parabacteroides_goldsteinii,723.0
UniRef90_Q7R7D8,unclassified,703.2507267877
UniRef90_UPI00019656B7,unclassified,685.3352807196
UniRef90_Q4YHQ2,unclassified,677.6203846151
UniRef90_Q4XDB9,unclassified,674.2635161387001
UniRef90_UPI00019660E0,unclassified,663.6002528228
UniRef90_K6AYS9,g__Parabacteroides.s__Parabacteroides_goldsteinii,634.0
UniRef90_W6U045,unclassified,630.2494692695
UniRef90_E0MU53,unclassified,627.0988726977
UniRef90_D4CI29,unclassified,622.0
UniRef90_Q3RFD0,unclassified,621.1542685605
UniRef90_K7F1M8,unclassified,618.867326407
UniRef90_A5Z304,unclassified,595.1500773989
UniRef90_A7VD49,unclassified,587.3180088967
UniRef90_Q7R6U7,unclassified,585.0925630176
UniRef90_Q4YD76,unclassified,567.5498013280001
UniRef90_Q4X6X1,unclassified,557.538993167
UniRef90_A8S6F0,unclassified,556.0860381913
UniRef90_A7B5X1,unclassified,540.8971035061
UniRef90_Q4YD51,unclassified,520.5846120959
UniRef90_UPI0001532979,unclassified,513.0694151844
UniRef90_A5KRL1,unclassified,503.7917684572
UniRef90_D3Z496,unclassified,485.40339773889997
UniRef90_D1KAJ2,unclassified,483.90342238790004
UniRef90_Q4XG51,unclassified,481.0475290403
UniRef90_A0A026VT83,unclassified,469.7125460781
UniRef90_Q4YAG3,unclassified,469.0943870481
UniRef90_UPI0002487685,unclassified,467.54952716760005
UniRef90_W1YU10,unclassified,456.1269864119
UniRef90_B0NWG2,unclassified,454.642249659
UniRef90_F9WBA8,unclassified,449.0993237046
UniRef90_Q7R857,unclassified,421.94191700589994
