UniRef90_R6WPT3,ec:6.2.1.30
UniRef90_A6L8C6,ec:6.1.1.6
UniRef90_K5ZGJ4,ec:6.1.1.22
UniRef90_A6LA92,ec:6.1.1.20
UniRef90_R7JAB6,ec:6.1.1.14
UniRef90_A6LBU6,ec:6.1.1.12
UniRef90_K5YVN0,ec:6.1.1.1
UniRef90_C3QQ70,ec:5.99.1.2
UniRef90_A6L8C4,ec:5.3.1.9
UniRef90_K6A6J9,ec:5.3.1.12
UniRef90_K6AYR2,ec:5.2.1.8
UniRef90_K5YG13,ec:5.2.1.8
UniRef90_K5YTK3,ec:5.2.1.8
UniRef90_K5YXD3,ec:5.2.1.8
UniRef90_K5ZGH3,ec:5.1.3.3
UniRef90_K5YS20,ec:4.2.1.8
UniRef90_A6LC18,ec:3.6.5.n1
UniRef90_K6A7D9,ec:3.6.4.12
UniRef90_K5Y229,ec:3.5.1.25
UniRef90_R6IFD4,ec:3.5.1.25
UniRef90_R6Y9M8,ec:3.4.21.92
UniRef90_K5YU76,ec:3.4.21.89
UniRef90_K5ZL12,ec:3.4.11.4
UniRef90_R6WRT3,ec:3.4.11.18
UniRef90_K5ZTG9,ec:3.2.2.27
UniRef90_K5ZPX5,ec:3.1.26.3
UniRef90_K5ZKY1,ec:2.8.4.4
UniRef90_D4VKI7,ec:2.7.7.49
UniRef90_K6A705,ec:2.7.7.2
UniRef90_K5Z6Q1,ec:2.5.1.74
UniRef90_A6LGA8,ec:2.5.1.72
UniRef90_A6LEL6,ec:2.4.99.17
UniRef90_K5ZD95,ec:2.3.1.30
UniRef90_K6A045,ec:2.3.1.129
UniRef90_R6WRB5,ec:2.1.1.33
UniRef90_K5Z1B0,ec:2.1.1.193
UniRef90_K5ZZ56,ec:1.8.4.11
UniRef90_K6A434,ec:1.8.1.4
UniRef90_K5ZHQ3,ec:1.6.5.8
UniRef90_K5Z605,ec:1.6.5.8
UniRef90_R6WQT3,ec:1.6.5.8
UniRef90_R6WQT9,ec:1.6.5.8
UniRef90_X5NU12,ec:1.6.5.5
UniRef90_R6IIS7,ec:1.2.7.8
UniRef90_K5ZF52,ec:1.16.3.2
UniRef90_K5ZRS8,ec:1.16.3.2
UniRef90_K5XZW3,ec:1.16.3.1
