Pathway,both,humann2,mpro,num_Ecs,sample
Acarbose and validamycin biosynthesis,1.0,0.0,0.0,14,501_cecq_n_hk
Aflatoxin biosynthesis,0.0,0.0,1.0,13,501_cecq_n_hk
"Alanine, aspartate and glutamate metabolism",2.0,0.0,7.0,50,501_cecq_n_hk
Amino sugar and nucleotide sugar metabolism,2.0,1.0,15.0,119,501_cecq_n_hk
Aminoacyl-tRNA biosynthesis,8.0,0.0,7.0,31,501_cecq_n_hk
Arginine and proline metabolism,0.0,1.0,7.0,86,501_cecq_n_hk
Arginine biosynthesis,0.0,1.0,4.0,28,501_cecq_n_hk
Ascorbate and aldarate metabolism,0.0,0.0,2.0,46,501_cecq_n_hk
Benzoate degradation,0.0,0.0,1.0,69,501_cecq_n_hk
Biosynthesis of ansamycins,0.0,0.0,1.0,4,501_cecq_n_hk
Biosynthesis of antibiotics,19.0,4.0,52.0,496,501_cecq_n_hk
Biosynthesis of secondary metabolites,22.0,5.0,68.0,778,501_cecq_n_hk
Biosynthesis of siderophore group nonribosomal peptides,0.0,0.0,1.0,6,501_cecq_n_hk
Biosynthesis of vancomycin group antibiotics,1.0,0.0,0.0,10,501_cecq_n_hk
Biotin metabolism,2.0,0.0,4.0,20,501_cecq_n_hk
Butanoate metabolism,0.0,0.0,6.0,55,501_cecq_n_hk
C5-Branched dibasic acid metabolism,0.0,0.0,3.0,22,501_cecq_n_hk
Carbapenem biosynthesis,0.0,0.0,1.0,5,501_cecq_n_hk
Carbon fixation in photosynthetic organisms,5.0,0.0,6.0,25,501_cecq_n_hk
Carbon fixation pathways in prokaryotes,1.0,0.0,16.0,50,501_cecq_n_hk
Chloroalkane and chloroalkene degradation,0.0,0.0,1.0,17,501_cecq_n_hk
Citrate cycle (TCA cycle),3.0,0.0,6.0,26,501_cecq_n_hk
Cyanoamino acid metabolism,0.0,0.0,2.0,30,501_cecq_n_hk
Cysteine and methionine metabolism,1.0,1.0,11.0,76,501_cecq_n_hk
D-Alanine metabolism,1.0,0.0,0.0,6,501_cecq_n_hk
D-Glutamine and D-glutamate metabolism,0.0,0.0,1.0,12,501_cecq_n_hk
Drug metabolism - cytochrome P450,0.0,0.0,1.0,8,501_cecq_n_hk
Drug metabolism - other enzymes,3.0,0.0,2.0,25,501_cecq_n_hk
Fatty acid biosynthesis,3.0,0.0,2.0,17,501_cecq_n_hk
Fatty acid degradation,0.0,0.0,2.0,29,501_cecq_n_hk
Folate biosynthesis,1.0,0.0,3.0,51,501_cecq_n_hk
Fructose and mannose metabolism,3.0,0.0,9.0,75,501_cecq_n_hk
Galactose metabolism,1.0,1.0,9.0,48,501_cecq_n_hk
Glucosinolate biosynthesis,0.0,0.0,1.0,15,501_cecq_n_hk
Glutathione metabolism,0.0,0.0,2.0,39,501_cecq_n_hk
Glycerolipid metabolism,1.0,0.0,1.0,40,501_cecq_n_hk
Glycerophospholipid metabolism,1.0,1.0,4.0,61,501_cecq_n_hk
"Glycine, serine and threonine metabolism",3.0,0.0,11.0,68,501_cecq_n_hk
Glycolysis / Gluconeogenesis,7.0,0.0,11.0,48,501_cecq_n_hk
Glycosaminoglycan degradation,0.0,0.0,2.0,15,501_cecq_n_hk
Glycosphingolipid biosynthesis - ganglio series,0.0,0.0,2.0,8,501_cecq_n_hk
Glycosphingolipid biosynthesis - globo and isoglobo series,0.0,0.0,3.0,13,501_cecq_n_hk
