Pathway,both,humann2,mpro,num_Ecs,sample
Acarbose and validamycin biosynthesis,1.0,0.0,0.0,14,501_cecq_n_new
Aflatoxin biosynthesis,0.0,0.0,1.0,13,501_cecq_n_new
"Alanine, aspartate and glutamate metabolism",2.0,0.0,7.0,50,501_cecq_n_new
Amino sugar and nucleotide sugar metabolism,2.0,1.0,15.0,119,501_cecq_n_new
Aminoacyl-tRNA biosynthesis,6.0,0.0,9.0,31,501_cecq_n_new
Arginine and proline metabolism,0.0,0.0,7.0,86,501_cecq_n_new
Arginine biosynthesis,0.0,0.0,4.0,28,501_cecq_n_new
Ascorbate and aldarate metabolism,0.0,0.0,2.0,46,501_cecq_n_new
Benzoate degradation,0.0,0.0,1.0,69,501_cecq_n_new
Biosynthesis of ansamycins,0.0,0.0,1.0,4,501_cecq_n_new
Biosynthesis of antibiotics,20.0,2.0,51.0,496,501_cecq_n_new
Biosynthesis of secondary metabolites,23.0,3.0,67.0,778,501_cecq_n_new
Biosynthesis of siderophore group nonribosomal peptides,0.0,0.0,1.0,6,501_cecq_n_new
Biosynthesis of vancomycin group antibiotics,1.0,0.0,0.0,10,501_cecq_n_new
Biotin metabolism,2.0,0.0,4.0,20,501_cecq_n_new
Butanoate metabolism,0.0,0.0,6.0,55,501_cecq_n_new
C5-Branched dibasic acid metabolism,0.0,0.0,3.0,22,501_cecq_n_new
Carbapenem biosynthesis,0.0,0.0,1.0,5,501_cecq_n_new
Carbon fixation in photosynthetic organisms,5.0,0.0,6.0,25,501_cecq_n_new
Carbon fixation pathways in prokaryotes,1.0,0.0,16.0,50,501_cecq_n_new
Chloroalkane and chloroalkene degradation,0.0,0.0,1.0,17,501_cecq_n_new
Citrate cycle (TCA cycle),3.0,0.0,6.0,26,501_cecq_n_new
Cyanoamino acid metabolism,0.0,0.0,2.0,30,501_cecq_n_new
Cysteine and methionine metabolism,1.0,1.0,11.0,76,501_cecq_n_new
D-Alanine metabolism,0.0,0.0,1.0,6,501_cecq_n_new
D-Glutamine and D-glutamate metabolism,0.0,0.0,1.0,12,501_cecq_n_new
Drug metabolism - cytochrome P450,0.0,0.0,1.0,8,501_cecq_n_new
Drug metabolism - other enzymes,3.0,0.0,2.0,25,501_cecq_n_new
Fatty acid biosynthesis,3.0,0.0,2.0,17,501_cecq_n_new
Fatty acid degradation,0.0,0.0,2.0,29,501_cecq_n_new
Folate biosynthesis,1.0,0.0,3.0,51,501_cecq_n_new
Fructose and mannose metabolism,3.0,0.0,9.0,75,501_cecq_n_new
Galactose metabolism,1.0,1.0,9.0,48,501_cecq_n_new
Glucosinolate biosynthesis,0.0,0.0,1.0,15,501_cecq_n_new
Glutathione metabolism,1.0,0.0,1.0,39,501_cecq_n_new
Glycerolipid metabolism,1.0,0.0,1.0,40,501_cecq_n_new
Glycerophospholipid metabolism,1.0,0.0,4.0,61,501_cecq_n_new
"Glycine, serine and threonine metabolism",3.0,0.0,11.0,68,501_cecq_n_new
Glycolysis / Gluconeogenesis,7.0,0.0,11.0,48,501_cecq_n_new
Glycosaminoglycan degradation,0.0,0.0,2.0,15,501_cecq_n_new
Glycosphingolipid biosynthesis - ganglio series,0.0,0.0,2.0,8,501_cecq_n_new
Glycosphingolipid biosynthesis - globo and isoglobo series,0.0,0.0,3.0,13,501_cecq_n_new
Glyoxylate and dicarboxylate metabolism,1.0,0.0,8.0,73,501_cecq_n_new
Histidine metabolism,1.0,0.0,6.0,38,501_cecq_n_new
Human cytomegalovirus infection,0.0,0.0,1.0,2,501_cecq_n_new
Human papillomavirus infection,0.0,0.0,1.0,2,501_cecq_n_new
Inositol phosphate metabolism,1.0,0.0,2.0,48,501_cecq_n_new
Isoquinoline alkaloid biosynthesis,0.0,0.0,1.0,57,501_cecq_n_new
Lipopolysaccharide biosynthesis,0.0,1.0,2.0,27,501_cecq_n_new
Lysine biosynthesis,0.0,0.0,5.0,28,501_cecq_n_new
Lysine degradation,0.0,0.0,2.0,53,501_cecq_n_new
Metabolic pathways,48.0,4.0,147.0,1650,501_cecq_n_new
Metabolism of xenobiotics by cytochrome P450,0.0,0.0,1.0,10,501_cecq_n_new
Methane metabolism,3.0,0.0,9.0,87,501_cecq_n_new
Microbial metabolism in diverse environments,13.0,2.0,47.0,668,501_cecq_n_new
Monobactam biosynthesis,0.0,0.0,1.0,10,501_cecq_n_new
Naphthalene degradation,0.0,0.0,1.0,9,501_cecq_n_new
Nicotinate and nicotinamide metabolism,0.0,0.0,3.0,59,501_cecq_n_new
Nitrogen metabolism,1.0,0.0,1.0,37,501_cecq_n_new
Novobiocin biosynthesis,0.0,0.0,1.0,16,501_cecq_n_new
One carbon pool by folate,1.0,0.0,9.0,24,501_cecq_n_new
Other glycan degradation,0.0,0.0,3.0,9,501_cecq_n_new
Oxidative phosphorylation,1.0,0.0,6.0,11,501_cecq_n_new
PI3K-Akt signaling pathway,0.0,0.0,1.0,2,501_cecq_n_new
Pantothenate and CoA biosynthesis,2.0,0.0,5.0,31,501_cecq_n_new
Pentose and glucuronate interconversions,3.0,0.0,3.0,67,501_cecq_n_new
Pentose phosphate pathway,4.0,0.0,9.0,55,501_cecq_n_new
Peptidoglycan biosynthesis,1.0,0.0,7.0,19,501_cecq_n_new
Phenazine biosynthesis,0.0,0.0,1.0,13,501_cecq_n_new
