Pathway,num_Ecs,tally,coverage,who
Acarbose and validamycin biosynthesis,14,2,14.28571429,both
Aflatoxin biosynthesis,13,1,7.692307692,humann2
"Alanine, aspartate and glutamate metabolism",50,1,2,humann2
"Alanine, aspartate and glutamate metabolism",50,8,16,mpro
"Alanine, aspartate and glutamate metabolism",50,11,22,both
Amino sugar and nucleotide sugar metabolism,119,15,12.60504202,mpro
Amino sugar and nucleotide sugar metabolism,119,1,0.840336134,humann2
Amino sugar and nucleotide sugar metabolism,119,8,6.722689076,both
Aminoacyl-tRNA biosynthesis,31,10,32.25806452,mpro
Aminoacyl-tRNA biosynthesis,31,12,38.70967742,both
Aminobenzoate degradation,51,1,1.960784314,humann2
Aminobenzoate degradation,51,1,1.960784314,both
Arginine and proline metabolism,86,7,8.139534884,mpro
Arginine and proline metabolism,86,7,8.139534884,both
Arginine and proline metabolism,86,1,1.162790698,humann2
Arginine biosynthesis,28,7,25,both
Arginine biosynthesis,28,1,3.571428571,humann2
Arginine biosynthesis,28,7,25,mpro
Ascorbate and aldarate metabolism,46,2,4.347826087,mpro
Ascorbate and aldarate metabolism,46,4,8.695652174,both
Ascorbate and aldarate metabolism,46,1,2.173913043,humann2
Benzoate degradation,69,3,4.347826087,mpro
Benzoate degradation,69,3,4.347826087,both
Benzoate degradation,69,1,1.449275362,humann2
Biosynthesis of ansamycins,4,1,25,mpro
Biosynthesis of antibiotics,496,42,8.467741935,mpro
Biosynthesis of antibiotics,496,7,1.411290323,humann2
Biosynthesis of antibiotics,496,58,11.69354839,both
Biosynthesis of secondary metabolites,778,69,8.868894602,both
Biosynthesis of secondary metabolites,778,64,8.22622108,mpro
Biosynthesis of secondary metabolites,778,9,1.156812339,humann2
Biosynthesis of siderophore group nonribosomal peptides,6,1,16.66666667,both
Biosynthesis of unsaturated fatty acids,16,1,6.25,humann2
Biosynthesis of unsaturated fatty acids,16,1,6.25,mpro
Biosynthesis of vancomycin group antibiotics,10,1,10,both
Biotin metabolism,20,1,5,humann2
Biotin metabolism,20,3,15,mpro
Biotin metabolism,20,1,5,both
Butanoate metabolism,55,1,1.818181818,humann2
Butanoate metabolism,55,8,14.54545455,both
Butanoate metabolism,55,2,3.636363636,mpro
C5-Branched dibasic acid metabolism,22,2,9.090909091,mpro
C5-Branched dibasic acid metabolism,22,3,13.63636364,both
Caprolactam degradation,21,1,4.761904762,mpro
Caprolactam degradation,21,1,4.761904762,humann2
Carbapenem biosynthesis,5,1,20,mpro
Carbapenem biosynthesis,5,1,20,both
Carbon fixation in photosynthetic organisms,25,7,28,mpro
Carbon fixation in photosynthetic organisms,25,7,28,both
Carbon fixation pathways in prokaryotes,50,11,22,mpro
Carbon fixation pathways in prokaryotes,50,8,16,both
Carbon fixation pathways in prokaryotes,50,2,4,humann2
Chloroalkane and chloroalkene degradation,17,1,5.882352941,mpro
Chloroalkane and chloroalkene degradation,17,1,5.882352941,both
Chlorocyclohexane and chlorobenzene degradation,21,1,4.761904762,mpro
Citrate cycle (TCA cycle),26,3,11.53846154,mpro
Citrate cycle (TCA cycle),26,8,30.76923077,both
Cyanoamino acid metabolism,30,3,10,mpro
