Pathway,num_Ecs,tally,coverage,who
Acarbose and validamycin biosynthesis,14,2,14.285714285714286,both
Aflatoxin biosynthesis,13,1,7.6923076923076925,both
"Alanine, aspartate and glutamate metabolism",50,1,2.0,humann2
"Alanine, aspartate and glutamate metabolism",50,5,10.0,mpro
"Alanine, aspartate and glutamate metabolism",50,13,26.0,both
Amino sugar and nucleotide sugar metabolism,119,1,0.8403361344537815,humann2
Amino sugar and nucleotide sugar metabolism,119,13,10.92436974789916,both
Amino sugar and nucleotide sugar metabolism,119,10,8.403361344537815,mpro
Aminoacyl-tRNA biosynthesis,31,21,67.74193548387096,both
Aminoacyl-tRNA biosynthesis,31,2,6.451612903225806,mpro
Aminobenzoate degradation,51,1,1.9607843137254901,humann2
Arginine and proline metabolism,86,3,3.488372093023256,both
Arginine and proline metabolism,86,4,4.651162790697675,mpro
Arginine and proline metabolism,86,1,1.1627906976744187,humann2
Arginine biosynthesis,28,7,25.0,mpro
Arginine biosynthesis,28,2,7.142857142857143,humann2
Arginine biosynthesis,28,6,21.428571428571427,both
Ascorbate and aldarate metabolism,46,6,13.043478260869565,mpro
Benzoate degradation,69,2,2.898550724637681,mpro
Biosynthesis of ansamycins,4,1,25.0,both
Biosynthesis of antibiotics,496,9,1.814516129032258,humann2
Biosynthesis of antibiotics,496,80,16.129032258064516,both
Biosynthesis of antibiotics,496,25,5.040322580645161,mpro
Biosynthesis of secondary metabolites,778,109,14.010282776349614,both
Biosynthesis of secondary metabolites,778,16,2.056555269922879,humann2
Biosynthesis of secondary metabolites,778,34,4.370179948586118,mpro
Biosynthesis of unsaturated fatty acids,16,1,6.25,mpro
Biosynthesis of vancomycin group antibiotics,10,1,10.0,both
Biotin metabolism,20,3,15.0,mpro
Biotin metabolism,20,6,30.0,both
Butanoate metabolism,55,3,5.454545454545454,mpro
Butanoate metabolism,55,1,1.8181818181818181,humann2
Butanoate metabolism,55,3,5.454545454545454,both
C5-Branched dibasic acid metabolism,22,3,13.636363636363637,mpro
C5-Branched dibasic acid metabolism,22,3,13.636363636363637,both
Carbapenem biosynthesis,5,2,40.0,both
Carbon fixation in photosynthetic organisms,25,4,16.0,mpro
Carbon fixation in photosynthetic organisms,25,9,36.0,both
Carbon fixation pathways in prokaryotes,50,9,18.0,mpro
Carbon fixation pathways in prokaryotes,50,9,18.0,both
Chloroalkane and chloroalkene degradation,17,3,17.647058823529413,mpro
Citrate cycle (TCA cycle),26,6,23.076923076923077,both
Citrate cycle (TCA cycle),26,2,7.6923076923076925,mpro
Citrate cycle (TCA cycle),26,1,3.8461538461538463,humann2
Cyanoamino acid metabolism,30,2,6.666666666666667,both
Cyanoamino acid metabolism,30,1,3.3333333333333335,mpro
Cysteine and methionine metabolism,76,13,17.105263157894736,both
Cysteine and methionine metabolism,76,6,7.894736842105263,mpro
Cysteine and methionine metabolism,76,2,2.6315789473684212,humann2
D-Alanine metabolism,6,2,33.333333333333336,both
D-Glutamine and D-glutamate metabolism,12,4,33.333333333333336,both
Dioxin degradation,13,1,7.6923076923076925,mpro
Drug metabolism - cytochrome P450,8,2,25.0,mpro
Drug metabolism - other enzymes,25,6,24.0,mpro
Drug metabolism - other enzymes,25,5,20.0,both
Fatty acid biosynthesis,17,1,5.882352941176471,mpro
Fatty acid biosynthesis,17,6,35.294117647058826,both
Fatty acid degradation,29,3,10.344827586206897,mpro
Folate biosynthesis,51,1,1.9607843137254901,humann2
Folate biosynthesis,51,4,7.8431372549019605,both
Folate biosynthesis,51,9,17.647058823529413,mpro
Fructose and mannose metabolism,75,10,13.333333333333334,both
Fructose and mannose metabolism,75,7,9.333333333333334,mpro
Galactose metabolism,48,2,4.166666666666667,humann2
Galactose metabolism,48,5,10.416666666666666,mpro
Galactose metabolism,48,5,10.416666666666666,both
Glucosinolate biosynthesis,15,1,6.666666666666667,mpro
Glutathione metabolism,39,5,12.820512820512821,mpro
Glutathione metabolism,39,3,7.6923076923076925,both
Glycerolipid metabolism,40,1,2.5,humann2
Glycerolipid metabolism,40,3,7.5,mpro
Glycerolipid metabolism,40,1,2.5,both
Glycerophospholipid metabolism,61,4,6.557377049180328,mpro
Glycerophospholipid metabolism,61,1,1.639344262295082,humann2
Glycerophospholipid metabolism,61,3,4.918032786885246,both
"Glycine, serine and threonine metabolism",68,6,8.823529411764707,mpro
"Glycine, serine and threonine metabolism",68,11,16.176470588235293,both
"Glycine, serine and threonine metabolism",68,2,2.9411764705882355,humann2
Glycolysis / Gluconeogenesis,48,1,2.0833333333333335,humann2
Glycolysis / Gluconeogenesis,48,6,12.5,mpro
Glycolysis / Gluconeogenesis,48,13,27.083333333333332,both
Glycosaminoglycan degradation,15,2,13.333333333333334,both
Glycosphingolipid biosynthesis - ganglio series,8,2,25.0,both
Glycosphingolipid biosynthesis - globo and isoglobo series,13,2,15.384615384615385,mpro
Glycosphingolipid biosynthesis - globo and isoglobo series,13,1,7.6923076923076925,both
Glyoxylate and dicarboxylate metabolism,73,6,8.219178082191782,mpro
Glyoxylate and dicarboxylate metabolism,73,3,4.109589041095891,both
Histidine metabolism,38,9,23.68421052631579,both
Histidine metabolism,38,3,7.894736842105263,mpro
Human cytomegalovirus infection,2,1,50.0,mpro
Human papillomavirus infection,2,1,50.0,mpro
Inositol phosphate metabolism,48,3,6.25,mpro
Inositol phosphate metabolism,48,3,6.25,both
Inositol phosphate metabolism,48,1,2.0833333333333335,humann2
Insect hormone biosynthesis,9,1,11.11111111111111,mpro
Isoquinoline alkaloid biosynthesis,57,1,1.7543859649122806,mpro
Limonene and pinene degradation,16,1,6.25,mpro
Lipoic acid metabolism,3,2,66.66666666666667,both
Lipopolysaccharide biosynthesis,27,4,14.814814814814815,mpro
Lipopolysaccharide biosynthesis,27,6,22.22222222222222,both
Lysine biosynthesis,28,3,10.714285714285714,mpro
Lysine biosynthesis,28,3,10.714285714285714,humann2
Lysine biosynthesis,28,6,21.428571428571427,both
Lysine degradation,53,3,5.660377358490566,mpro
Metabolic pathways,1650,117,7.090909090909091,mpro
Metabolic pathways,1650,25,1.5151515151515151,humann2
Metabolic pathways,1650,219,13.272727272727273,both
Metabolism of xenobiotics by cytochrome P450,10,2,20.0,mpro
Methane metabolism,87,3,3.4482758620689653,mpro
Methane metabolism,87,10,11.494252873563218,both
Microbial metabolism in diverse environments,668,52,7.7844311377245505,both
Microbial metabolism in diverse environments,668,6,0.8982035928143712,humann2
Microbial metabolism in diverse environments,668,41,6.137724550898204,mpro
Monobactam biosynthesis,10,2,20.0,humann2
Monobactam biosynthesis,10,3,30.0,both
Naphthalene degradation,9,1,11.11111111111111,mpro
Nicotinate and nicotinamide metabolism,59,6,10.169491525423728,both
Nicotinate and nicotinamide metabolism,59,4,6.779661016949152,mpro
Nitrogen metabolism,37,3,8.108108108108109,both
Nitrogen metabolism,37,5,13.513513513513514,mpro
Nitrotoluene degradation,7,1,14.285714285714286,mpro
Novobiocin biosynthesis,16,1,6.25,mpro
Novobiocin biosynthesis,16,1,6.25,both
One carbon pool by folate,24,9,37.5,both
One carbon pool by folate,24,1,4.166666666666667,humann2
One carbon pool by folate,24,4,16.666666666666668,mpro
Other glycan degradation,9,1,11.11111111111111,mpro
Other glycan degradation,9,2,22.22222222222222,both
Other types of O-glycan biosynthesis,9,1,11.11111111111111,mpro
Oxidative phosphorylation,11,3,27.272727272727273,both
Oxidative phosphorylation,11,3,27.272727272727273,mpro
Oxidative phosphorylation,11,1,9.090909090909092,humann2
PI3K-Akt signaling pathway,2,1,50.0,mpro
Pantothenate and CoA biosynthesis,31,10,32.25806451612903,both
Pantothenate and CoA biosynthesis,31,1,3.225806451612903,humann2
Pantothenate and CoA biosynthesis,31,2,6.451612903225806,mpro
Pentose and glucuronate interconversions,67,8,11.940298507462687,mpro
Pentose and glucuronate interconversions,67,8,11.940298507462687,both
Pentose phosphate pathway,55,4,7.2727272727272725,mpro
Pentose phosphate pathway,55,13,23.636363636363637,both
Peptidoglycan biosynthesis,19,3,15.789473684210526,mpro
Peptidoglycan biosynthesis,19,8,42.10526315789474,both
Peptidoglycan biosynthesis,19,1,5.2631578947368425,humann2
Phenazine biosynthesis,13,1,7.6923076923076925,mpro
Phenylalanine metabolism,67,1,1.492537313432836,both
Phenylalanine metabolism,67,1,1.492537313432836,humann2
Phenylalanine metabolism,67,5,7.462686567164179,mpro
"Phenylalanine, tyrosine and tryptophan biosynthesis",39,11,28.205128205128204,both
"Phenylalanine, tyrosine and tryptophan biosynthesis",39,1,2.5641025641025643,humann2
"Phenylalanine, tyrosine and tryptophan biosynthesis",39,4,10.256410256410257,mpro
Phenylpropanoid biosynthesis,30,2,6.666666666666667,mpro
Phosphatidylinositol signaling system,29,1,3.4482758620689653,mpro
Phosphatidylinositol signaling system,29,1,3.4482758620689653,both
Phosphonate and phosphinate metabolism,29,2,6.896551724137931,both
Photosynthesis,3,1,33.333333333333336,both
Polyketide sugar unit biosynthesis,27,1,3.7037037037037037,mpro
Polyketide sugar unit biosynthesis,27,2,7.407407407407407,both
Porphyrin and chlorophyll metabolism,106,6,5.660377358490566,mpro
Porphyrin and chlorophyll metabolism,106,10,9.433962264150944,both
Porphyrin and chlorophyll metabolism,106,1,0.9433962264150944,humann2
Propanoate metabolism,55,5,9.090909090909092,both
Propanoate metabolism,55,2,3.6363636363636362,humann2
Propanoate metabolism,55,6,10.909090909090908,mpro
Purine metabolism,110,10,9.090909090909092,mpro
Purine metabolism,110,2,1.8181818181818181,humann2
Purine metabolism,110,26,23.636363636363637,both
Pyrimidine metabolism,65,4,6.153846153846154,mpro
Pyrimidine metabolism,65,20,30.76923076923077,both
Pyruvate metabolism,67,1,1.492537313432836,humann2
Pyruvate metabolism,67,7,10.447761194029852,both
Pyruvate metabolism,67,11,16.417910447761194,mpro
Relaxin signaling pathway,1,1,100.0,mpro
Retinol metabolism,14,1,7.142857142857143,mpro
Riboflavin metabolism,28,1,3.5714285714285716,humann2
Riboflavin metabolism,28,2,7.142857142857143,both
Riboflavin metabolism,28,4,14.285714285714286,mpro
Selenocompound metabolism,18,3,16.666666666666668,both
Selenocompound metabolism,18,2,11.11111111111111,mpro
Sphingolipid metabolism,27,1,3.7037037037037037,both
Sphingolipid metabolism,27,3,11.11111111111111,mpro
Starch and sucrose metabolism,76,6,7.894736842105263,both
Starch and sucrose metabolism,76,7,9.210526315789474,mpro
Starch and sucrose metabolism,76,1,1.3157894736842106,humann2
Streptomycin biosynthesis,18,3,16.666666666666668,both
Streptomycin biosynthesis,18,3,16.666666666666668,mpro
Sulfur metabolism,50,1,2.0,mpro
Sulfur metabolism,50,1,2.0,humann2
Sulfur metabolism,50,4,8.0,both
Synthesis and degradation of ketone bodies,6,1,16.666666666666668,mpro
T cell receptor signaling pathway,2,1,50.0,mpro
Taurine and hypotaurine metabolism,19,1,5.2631578947368425,mpro
Taurine and hypotaurine metabolism,19,3,15.789473684210526,both
Terpenoid backbone biosynthesis,51,3,5.882352941176471,mpro
Terpenoid backbone biosynthesis,51,7,13.72549019607843,both
Th1 and Th2 cell differentiation,1,1,100.0,mpro
Thermogenesis,1,1,100.0,mpro
Thiamine metabolism,26,1,3.8461538461538463,mpro
Thiamine metabolism,26,9,34.61538461538461,both
"Tropane, piperidine and pyridine alkaloid biosynthesis",27,1,3.7037037037037037,mpro
"Tropane, piperidine and pyridine alkaloid biosynthesis",27,1,3.7037037037037037,both
Tryptophan metabolism,60,1,1.6666666666666667,both
Tryptophan metabolism,60,4,6.666666666666667,mpro
Tyrosine metabolism,64,1,1.5625,both
Tyrosine metabolism,64,2,3.125,mpro
Ubiquinone and other terpenoid-quinone biosynthesis,40,3,7.5,both
Ubiquinone and other terpenoid-quinone biosynthesis,40,4,10.0,humann2
Ubiquinone and other terpenoid-quinone biosynthesis,40,1,2.5,mpro
"Valine, leucine and isoleucine biosynthesis",14,6,42.857142857142854,both
"Valine, leucine and isoleucine biosynthesis",14,3,21.428571428571427,mpro
"Valine, leucine and isoleucine degradation",36,1,2.7777777777777777,humann2
"Valine, leucine and isoleucine degradation",36,5,13.88888888888889,mpro
Various types of N-glycan biosynthesis,23,1,4.3478260869565215,both
Vitamin B6 metabolism,26,2,7.6923076923076925,humann2
Vitamin B6 metabolism,26,3,11.538461538461538,both
Vitamin B6 metabolism,26,1,3.8461538461538463,mpro
Xylene degradation,21,1,4.761904761904762,mpro
Zeatin biosynthesis,10,1,10.0,both
alpha-Linolenic acid metabolism,12,1,8.333333333333334,mpro
beta-Alanine metabolism,37,3,8.108108108108109,both
beta-Alanine metabolism,37,1,2.7027027027027026,mpro
mTOR signaling pathway,5,2,40.0,mpro
