Pathway,num_Ecs,tally,coverage,who
Acarbose and validamycin biosynthesis,14,2,14.285714285714286,both
Aflatoxin biosynthesis,13,1,7.6923076923076925,both
"Alanine, aspartate and glutamate metabolism",50,4,8.0,humann2
"Alanine, aspartate and glutamate metabolism",50,4,8.0,mpro
"Alanine, aspartate and glutamate metabolism",50,17,34.0,both
Amino sugar and nucleotide sugar metabolism,119,17,14.285714285714286,both
Amino sugar and nucleotide sugar metabolism,119,15,12.605042016806722,mpro
Aminoacyl-tRNA biosynthesis,31,21,67.74193548387096,both
Aminoacyl-tRNA biosynthesis,31,2,6.451612903225806,mpro
Aminobenzoate degradation,51,2,3.9215686274509802,humann2
Arachidonic acid metabolism,26,1,3.8461538461538463,humann2
Arginine and proline metabolism,86,10,11.627906976744185,both
Arginine and proline metabolism,86,4,4.651162790697675,mpro
Arginine and proline metabolism,86,2,2.3255813953488373,humann2
Arginine biosynthesis,28,6,21.428571428571427,mpro
Arginine biosynthesis,28,3,10.714285714285714,humann2
Arginine biosynthesis,28,7,25.0,both
Ascorbate and aldarate metabolism,46,2,4.3478260869565215,both
Ascorbate and aldarate metabolism,46,5,10.869565217391305,mpro
Atrazine degradation,10,1,10.0,mpro
Benzoate degradation,69,2,2.898550724637681,both
Benzoate degradation,69,3,4.3478260869565215,mpro
Benzoate degradation,69,1,1.4492753623188406,humann2
Biosynthesis of ansamycins,4,1,25.0,mpro
Biosynthesis of antibiotics,496,12,2.4193548387096775,humann2
Biosynthesis of antibiotics,496,82,16.532258064516128,both
Biosynthesis of antibiotics,496,38,7.661290322580645,mpro
Biosynthesis of secondary metabolites,778,108,13.881748071979434,both
Biosynthesis of secondary metabolites,778,65,8.354755784061696,mpro
Biosynthesis of secondary metabolites,778,16,2.056555269922879,humann2
Biosynthesis of siderophore group nonribosomal peptides,6,2,33.333333333333336,both
Biosynthesis of siderophore group nonribosomal peptides,6,1,16.666666666666668,mpro
Biosynthesis of siderophore group nonribosomal peptides,6,1,16.666666666666668,humann2
Biosynthesis of unsaturated fatty acids,16,1,6.25,both
Biosynthesis of unsaturated fatty acids,16,1,6.25,humann2
Biosynthesis of unsaturated fatty acids,16,1,6.25,mpro
Biosynthesis of vancomycin group antibiotics,10,1,10.0,both
Biotin metabolism,20,10,50.0,both
Biotin metabolism,20,1,5.0,mpro
Butanoate metabolism,55,3,5.454545454545454,humann2
Butanoate metabolism,55,6,10.909090909090908,both
Butanoate metabolism,55,4,7.2727272727272725,mpro
C5-Branched dibasic acid metabolism,22,3,13.636363636363637,both
C5-Branched dibasic acid metabolism,22,2,9.090909090909092,mpro
Caprolactam degradation,21,1,4.761904761904762,mpro
Caprolactam degradation,21,1,4.761904761904762,humann2
Carbapenem biosynthesis,5,2,40.0,both
Carbon fixation in photosynthetic organisms,25,2,8.0,mpro
Carbon fixation in photosynthetic organisms,25,1,4.0,humann2
Carbon fixation in photosynthetic organisms,25,10,40.0,both
Carbon fixation pathways in prokaryotes,50,12,24.0,mpro
Carbon fixation pathways in prokaryotes,50,1,2.0,humann2
Carbon fixation pathways in prokaryotes,50,11,22.0,both
Chloroalkane and chloroalkene degradation,17,2,11.764705882352942,mpro
Chlorocyclohexane and chlorobenzene degradation,21,1,4.761904761904762,mpro
Citrate cycle (TCA cycle),26,3,11.538461538461538,mpro
Citrate cycle (TCA cycle),26,8,30.76923076923077,both
Cyanoamino acid metabolism,30,1,3.3333333333333335,mpro
Cyanoamino acid metabolism,30,3,10.0,both
Cysteine and methionine metabolism,76,3,3.9473684210526314,humann2
Cysteine and methionine metabolism,76,9,11.842105263157896,mpro
Cysteine and methionine metabolism,76,15,19.736842105263158,both
D-Alanine metabolism,6,2,33.333333333333336,both
D-Glutamine and D-glutamate metabolism,12,4,33.333333333333336,both
Drug metabolism - cytochrome P450,8,1,12.5,mpro
Drug metabolism - cytochrome P450,8,1,12.5,both
Drug metabolism - other enzymes,25,9,36.0,both
Drug metabolism - other enzymes,25,3,12.0,mpro
Ether lipid metabolism,23,1,4.3478260869565215,humann2
Ethylbenzene degradation,6,1,16.666666666666668,mpro
Fatty acid biosynthesis,17,7,41.1764705882353,both
Fatty acid biosynthesis,17,1,5.882352941176471,mpro
Fatty acid degradation,29,2,6.896551724137931,both
Fatty acid degradation,29,4,13.793103448275861,mpro
Fatty acid degradation,29,1,3.4482758620689653,humann2
Fatty acid elongation,13,2,15.384615384615385,mpro
Fatty acid elongation,13,1,7.6923076923076925,humann2
Flavone and flavonol biosynthesis,32,1,3.125,mpro
Fluorobenzoate degradation,14,1,7.142857142857143,mpro
Folate biosynthesis,51,3,5.882352941176471,mpro
Folate biosynthesis,51,9,17.647058823529413,both
Folate biosynthesis,51,1,1.9607843137254901,humann2
Fructose and mannose metabolism,75,1,1.3333333333333333,humann2
Fructose and mannose metabolism,75,9,12.0,mpro
Fructose and mannose metabolism,75,11,14.666666666666666,both
Galactose metabolism,48,7,14.583333333333334,mpro
Galactose metabolism,48,8,16.666666666666668,both
Geraniol degradation,10,2,20.0,mpro
Geraniol degradation,10,1,10.0,humann2
Glucosinolate biosynthesis,15,1,6.666666666666667,both
Glutathione metabolism,39,7,17.94871794871795,both
Glutathione metabolism,39,4,10.256410256410257,mpro
Glycerolipid metabolism,40,6,15.0,mpro
Glycerolipid metabolism,40,2,5.0,both
Glycerolipid metabolism,40,1,2.5,humann2
Glycerophospholipid metabolism,61,6,9.836065573770492,mpro
Glycerophospholipid metabolism,61,5,8.19672131147541,both
Glycerophospholipid metabolism,61,1,1.639344262295082,humann2
"Glycine, serine and threonine metabolism",68,3,4.411764705882353,humann2
"Glycine, serine and threonine metabolism",68,15,22.058823529411764,both
"Glycine, serine and threonine metabolism",68,9,13.235294117647058,mpro
Glycolysis / Gluconeogenesis,48,17,35.416666666666664,both
Glycolysis / Gluconeogenesis,48,6,12.5,mpro
Glycosaminoglycan degradation,15,1,6.666666666666667,both
Glycosaminoglycan degradation,15,2,13.333333333333334,mpro
Glycosphingolipid biosynthesis - ganglio series,8,1,12.5,both
Glycosphingolipid biosynthesis - ganglio series,8,1,12.5,mpro
Glycosphingolipid biosynthesis - globo and isoglobo series,13,1,7.6923076923076925,both
Glycosphingolipid biosynthesis - globo and isoglobo series,13,2,15.384615384615385,mpro
Glyoxylate and dicarboxylate metabolism,73,6,8.219178082191782,both
Glyoxylate and dicarboxylate metabolism,73,4,5.47945205479452,humann2
Glyoxylate and dicarboxylate metabolism,73,9,12.32876712328767,mpro
Histidine metabolism,38,7,18.42105263157895,both
Histidine metabolism,38,4,10.526315789473685,mpro
Human cytomegalovirus infection,2,1,50.0,both
Human papillomavirus infection,2,1,50.0,both
Inositol phosphate metabolism,48,5,10.416666666666666,mpro
Inositol phosphate metabolism,48,1,2.0833333333333335,both
Insect hormone biosynthesis,9,1,11.11111111111111,mpro
Isoquinoline alkaloid biosynthesis,57,1,1.7543859649122806,mpro
Isoquinoline alkaloid biosynthesis,57,1,1.7543859649122806,both
Limonene and pinene degradation,16,1,6.25,humann2
Limonene and pinene degradation,16,1,6.25,mpro
Linoleic acid metabolism,13,1,7.6923076923076925,humann2
Lipoic acid metabolism,3,1,33.333333333333336,both
Lipopolysaccharide biosynthesis,27,11,40.74074074074074,both
Lipopolysaccharide biosynthesis,27,1,3.7037037037037037,humann2
Lipopolysaccharide biosynthesis,27,5,18.51851851851852,mpro
Lysine biosynthesis,28,3,10.714285714285714,humann2
Lysine biosynthesis,28,5,17.857142857142858,mpro
Lysine biosynthesis,28,6,21.428571428571427,both
Lysine degradation,53,3,5.660377358490566,mpro
Lysine degradation,53,1,1.8867924528301887,humann2
Lysine degradation,53,1,1.8867924528301887,both
Metabolic pathways,1650,34,2.0606060606060606,humann2
Metabolic pathways,1650,151,9.151515151515152,mpro
Metabolic pathways,1650,250,15.151515151515152,both
Metabolism of xenobiotics by cytochrome P450,10,1,10.0,both
Metabolism of xenobiotics by cytochrome P450,10,1,10.0,mpro
Methane metabolism,87,2,2.2988505747126435,humann2
Methane metabolism,87,3,3.4482758620689653,mpro
Methane metabolism,87,11,12.64367816091954,both
Microbial metabolism in diverse environments,668,51,7.634730538922156,mpro
Microbial metabolism in diverse environments,668,68,10.179640718562874,both
Microbial metabolism in diverse environments,668,13,1.9461077844311376,humann2
Monobactam biosynthesis,10,2,20.0,humann2
Monobactam biosynthesis,10,3,30.0,both
Naphthalene degradation,9,1,11.11111111111111,mpro
"Neomycin, kanamycin and gentamicin biosynthesis",28,1,3.5714285714285716,both
Nicotinate and nicotinamide metabolism,59,7,11.864406779661017,mpro
Nicotinate and nicotinamide metabolism,59,2,3.389830508474576,both
Nicotinate and nicotinamide metabolism,59,3,5.084745762711864,humann2
Nitrogen metabolism,37,3,8.108108108108109,mpro
Nitrogen metabolism,37,6,16.216216216216218,both
Nitrotoluene degradation,7,1,14.285714285714286,both
Novobiocin biosynthesis,16,2,12.5,both
One carbon pool by folate,24,10,41.666666666666664,both
One carbon pool by folate,24,6,25.0,mpro
Other glycan degradation,9,2,22.22222222222222,mpro
Other glycan degradation,9,1,11.11111111111111,both
Oxidative phosphorylation,11,4,36.36363636363637,both
Oxidative phosphorylation,11,3,27.272727272727273,mpro
PI3K-Akt signaling pathway,2,1,50.0,both
Pantothenate and CoA biosynthesis,31,12,38.70967741935484,both
Pantothenate and CoA biosynthesis,31,1,3.225806451612903,humann2
Pantothenate and CoA biosynthesis,31,1,3.225806451612903,mpro
Penicillin and cephalosporin biosynthesis,14,1,7.142857142857143,both
Pentose and glucuronate interconversions,67,10,14.925373134328359,both
Pentose and glucuronate interconversions,67,3,4.477611940298507,humann2
Pentose and glucuronate interconversions,67,5,7.462686567164179,mpro
Pentose phosphate pathway,55,1,1.8181818181818181,humann2
Pentose phosphate pathway,55,15,27.272727272727273,both
Pentose phosphate pathway,55,6,10.909090909090908,mpro
Peptidoglycan biosynthesis,19,1,5.2631578947368425,mpro
Peptidoglycan biosynthesis,19,10,52.63157894736842,both
Peptidoglycan biosynthesis,19,1,5.2631578947368425,humann2
Phenazine biosynthesis,13,1,7.6923076923076925,mpro
Phenylalanine metabolism,67,5,7.462686567164179,mpro
Phenylalanine metabolism,67,4,5.970149253731344,both
Phenylalanine metabolism,67,2,2.985074626865672,humann2
"Phenylalanine, tyrosine and tryptophan biosynthesis",39,6,15.384615384615385,mpro
"Phenylalanine, tyrosine and tryptophan biosynthesis",39,10,25.641025641025642,both
Phenylpropanoid biosynthesis,30,2,6.666666666666667,mpro
Phosphatidylinositol signaling system,29,2,6.896551724137931,mpro
Phosphonate and phosphinate metabolism,29,4,13.793103448275861,both
Phosphonate and phosphinate metabolism,29,1,3.4482758620689653,humann2
Photosynthesis,3,2,66.66666666666667,both
Polyketide sugar unit biosynthesis,27,1,3.7037037037037037,mpro
Polyketide sugar unit biosynthesis,27,2,7.407407407407407,both
Porphyrin and chlorophyll metabolism,106,8,7.547169811320755,both
Porphyrin and chlorophyll metabolism,106,11,10.377358490566039,mpro
Primary bile acid biosynthesis,19,1,5.2631578947368425,mpro
Propanoate metabolism,55,4,7.2727272727272725,humann2
Propanoate metabolism,55,9,16.363636363636363,both
Propanoate metabolism,55,4,7.2727272727272725,mpro
Purine metabolism,110,31,28.181818181818183,both
Purine metabolism,110,4,3.6363636363636362,humann2
Purine metabolism,110,15,13.636363636363637,mpro
Pyrimidine metabolism,65,23,35.38461538461539,both
Pyrimidine metabolism,65,3,4.615384615384615,mpro
Pyruvate metabolism,67,7,10.447761194029852,mpro
Pyruvate metabolism,67,13,19.402985074626866,both
Relaxin signaling pathway,1,1,100.0,both
Retinol metabolism,14,1,7.142857142857143,mpro
Riboflavin metabolism,28,3,10.714285714285714,both
Riboflavin metabolism,28,5,17.857142857142858,mpro
Riboflavin metabolism,28,1,3.5714285714285716,humann2
Selenocompound metabolism,18,4,22.22222222222222,mpro
Selenocompound metabolism,18,4,22.22222222222222,both
Sphingolipid metabolism,27,1,3.7037037037037037,both
Sphingolipid metabolism,27,3,11.11111111111111,mpro
Starch and sucrose metabolism,76,10,13.157894736842104,both
Starch and sucrose metabolism,76,9,11.842105263157896,mpro
Starch and sucrose metabolism,76,2,2.6315789473684212,humann2
Steroid hormone biosynthesis,36,1,2.7777777777777777,both
Streptomycin biosynthesis,18,4,22.22222222222222,both
Streptomycin biosynthesis,18,3,16.666666666666668,mpro
Sulfur metabolism,50,2,4.0,mpro
Sulfur metabolism,50,7,14.0,both
Sulfur metabolism,50,1,2.0,humann2
Synthesis and degradation of ketone bodies,6,1,16.666666666666668,both
T cell receptor signaling pathway,2,1,50.0,both
Taurine and hypotaurine metabolism,19,3,15.789473684210526,both
Taurine and hypotaurine metabolism,19,2,10.526315789473685,mpro
Terpenoid backbone biosynthesis,51,5,9.803921568627452,both
Terpenoid backbone biosynthesis,51,5,9.803921568627452,mpro
Th1 and Th2 cell differentiation,1,1,100.0,both
Thermogenesis,1,1,100.0,both
Thiamine metabolism,26,8,30.76923076923077,both
Thiamine metabolism,26,1,3.8461538461538463,humann2
Thiamine metabolism,26,3,11.538461538461538,mpro
Toluene degradation,26,2,7.6923076923076925,mpro
"Tropane, piperidine and pyridine alkaloid biosynthesis",27,3,11.11111111111111,mpro
"Tropane, piperidine and pyridine alkaloid biosynthesis",27,2,7.407407407407407,both
Tryptophan metabolism,60,4,6.666666666666667,mpro
Tryptophan metabolism,60,2,3.3333333333333335,both
Tryptophan metabolism,60,1,1.6666666666666667,humann2
Tyrosine metabolism,64,1,1.5625,humann2
Tyrosine metabolism,64,2,3.125,both
Tyrosine metabolism,64,2,3.125,mpro
Ubiquinone and other terpenoid-quinone biosynthesis,40,3,7.5,humann2
Ubiquinone and other terpenoid-quinone biosynthesis,40,6,15.0,both
Ubiquinone and other terpenoid-quinone biosynthesis,40,3,7.5,mpro
"Valine, leucine and isoleucine biosynthesis",14,7,50.0,both
"Valine, leucine and isoleucine biosynthesis",14,1,7.142857142857143,mpro
"Valine, leucine and isoleucine degradation",36,5,13.88888888888889,mpro
"Valine, leucine and isoleucine degradation",36,3,8.333333333333334,both
"Valine, leucine and isoleucine degradation",36,2,5.555555555555555,humann2
Various types of N-glycan biosynthesis,23,1,4.3478260869565215,both
Vitamin B6 metabolism,26,2,7.6923076923076925,mpro
Vitamin B6 metabolism,26,5,19.23076923076923,both
Vitamin B6 metabolism,26,1,3.8461538461538463,humann2
Zeatin biosynthesis,10,1,10.0,both
alpha-Linolenic acid metabolism,12,2,16.666666666666668,humann2
alpha-Linolenic acid metabolism,12,3,25.0,mpro
beta-Alanine metabolism,37,1,2.7027027027027026,humann2
beta-Alanine metabolism,37,6,16.216216216216218,both
beta-Alanine metabolism,37,2,5.405405405405405,mpro
beta-Lactam resistance,1,1,100.0,both
mTOR signaling pathway,5,1,20.0,both
