Pathway,both,humann2,mpro,num_Ecs,sample
Acarbose and validamycin biosynthesis,2,0,0,14,504_cecq_y_hk
Aflatoxin biosynthesis,1,0,0,13,504_cecq_y_hk
"Alanine, aspartate and glutamate metabolism",18,3,4,50,504_cecq_y_hk
Amino sugar and nucleotide sugar metabolism,20,0,13,119,504_cecq_y_hk
Aminoacyl-tRNA biosynthesis,21,0,3,31,504_cecq_y_hk
Aminobenzoate degradation,0,2,0,51,504_cecq_y_hk
Arachidonic acid metabolism,0,1,0,26,504_cecq_y_hk
Arginine and proline metabolism,10,2,5,86,504_cecq_y_hk
Arginine biosynthesis,7,3,6,28,504_cecq_y_hk
Ascorbate and aldarate metabolism,3,1,4,46,504_cecq_y_hk
Atrazine degradation,0,0,1,10,504_cecq_y_hk
Benzoate degradation,3,1,2,69,504_cecq_y_hk
Biosynthesis of ansamycins,0,0,1,4,504_cecq_y_hk
Biosynthesis of antibiotics,88,12,33,496,504_cecq_y_hk
Biosynthesis of secondary metabolites,115,17,60,778,504_cecq_y_hk
Biosynthesis of siderophore group nonribosomal peptides,2,1,1,6,504_cecq_y_hk
Biosynthesis of unsaturated fatty acids,1,1,1,16,504_cecq_y_hk
Biosynthesis of vancomycin group antibiotics,1,0,0,10,504_cecq_y_hk
Biotin metabolism,10,0,1,20,504_cecq_y_hk
Butanoate metabolism,6,3,4,55,504_cecq_y_hk
C5-Branched dibasic acid metabolism,3,0,2,22,504_cecq_y_hk
Caprolactam degradation,0,1,1,21,504_cecq_y_hk
Carbapenem biosynthesis,2,0,0,5,504_cecq_y_hk
Carbon fixation in photosynthetic organisms,10,1,2,25,504_cecq_y_hk
Carbon fixation pathways in prokaryotes,11,1,12,50,504_cecq_y_hk
Chloroalkane and chloroalkene degradation,0,0,2,17,504_cecq_y_hk
Chlorocyclohexane and chlorobenzene degradation,1,0,0,21,504_cecq_y_hk
Citrate cycle (TCA cycle),8,0,4,26,504_cecq_y_hk
Cyanoamino acid metabolism,3,0,1,30,504_cecq_y_hk
Cysteine and methionine metabolism,15,3,9,76,504_cecq_y_hk
D-Alanine metabolism,2,0,0,6,504_cecq_y_hk
D-Glutamine and D-glutamate metabolism,4,0,0,12,504_cecq_y_hk
Drug metabolism - cytochrome P450,1,0,1,8,504_cecq_y_hk
Drug metabolism - other enzymes,9,0,3,25,504_cecq_y_hk
Ether lipid metabolism,0,1,0,23,504_cecq_y_hk
Ethylbenzene degradation,1,0,0,6,504_cecq_y_hk
Fatty acid biosynthesis,6,0,2,17,504_cecq_y_hk
Fatty acid degradation,3,1,3,29,504_cecq_y_hk
Fatty acid elongation,1,1,1,13,504_cecq_y_hk
Flavone and flavonol biosynthesis,0,0,1,32,504_cecq_y_hk
Fluorobenzoate degradation,1,0,0,14,504_cecq_y_hk
Folate biosynthesis,9,1,5,51,504_cecq_y_hk
Fructose and mannose metabolism,12,1,8,75,504_cecq_y_hk
Galactose metabolism,11,0,5,48,504_cecq_y_hk
Geraniol degradation,1,1,1,10,504_cecq_y_hk
Glucosinolate biosynthesis,1,1,0,15,504_cecq_y_hk
Glutathione metabolism,7,0,4,39,504_cecq_y_hk
Glycerolipid metabolism,4,1,4,40,504_cecq_y_hk
Glycerophospholipid metabolism,6,1,5,61,504_cecq_y_hk
"Glycine, serine and threonine metabolism",17,3,8,68,504_cecq_y_hk
Glycolysis / Gluconeogenesis,18,0,6,48,504_cecq_y_hk
Glycosaminoglycan degradation,2,0,1,15,504_cecq_y_hk
Glycosphingolipid biosynthesis - ganglio series,2,0,0,8,504_cecq_y_hk
