Pathway,both,humann2,mpro,num_Ecs,sample
Acarbose and validamycin biosynthesis,2.0,0.0,0.0,14,504_colq_n_hk
Aflatoxin biosynthesis,1.0,0.0,0.0,13,504_colq_n_hk
"Alanine, aspartate and glutamate metabolism",12.0,2.0,7.0,50,504_colq_n_hk
Amino sugar and nucleotide sugar metabolism,15.0,0.0,11.0,119,504_colq_n_hk
Aminoacyl-tRNA biosynthesis,22.0,0.0,2.0,31,504_colq_n_hk
Aminobenzoate degradation,0.0,1.0,1.0,51,504_colq_n_hk
Arginine and proline metabolism,3.0,1.0,8.0,86,504_colq_n_hk
Arginine biosynthesis,7.0,2.0,7.0,28,504_colq_n_hk
Ascorbate and aldarate metabolism,0.0,0.0,4.0,46,504_colq_n_hk
Atrazine degradation,1.0,0.0,0.0,10,504_colq_n_hk
Benzoate degradation,0.0,0.0,2.0,69,504_colq_n_hk
Biosynthesis of ansamycins,1.0,0.0,0.0,4,504_colq_n_hk
Biosynthesis of antibiotics,82.0,7.0,30.0,496,504_colq_n_hk
Biosynthesis of secondary metabolites,111.0,13.0,53.0,778,504_colq_n_hk
Biosynthesis of unsaturated fatty acids,0.0,0.0,3.0,16,504_colq_n_hk
Biosynthesis of vancomycin group antibiotics,1.0,0.0,0.0,10,504_colq_n_hk
Biotin metabolism,5.0,1.0,4.0,20,504_colq_n_hk
Butanoate metabolism,3.0,1.0,5.0,55,504_colq_n_hk
C5-Branched dibasic acid metabolism,3.0,0.0,3.0,22,504_colq_n_hk
Caprolactam degradation,0.0,0.0,1.0,21,504_colq_n_hk
Carbapenem biosynthesis,2.0,0.0,0.0,5,504_colq_n_hk
Carbon fixation in photosynthetic organisms,9.0,0.0,5.0,25,504_colq_n_hk
Carbon fixation pathways in prokaryotes,9.0,0.0,12.0,50,504_colq_n_hk
Chloroalkane and chloroalkene degradation,0.0,0.0,2.0,17,504_colq_n_hk
Citrate cycle (TCA cycle),7.0,0.0,3.0,26,504_colq_n_hk
Cyanoamino acid metabolism,2.0,0.0,1.0,30,504_colq_n_hk
Cysteine and methionine metabolism,12.0,2.0,8.0,76,504_colq_n_hk
D-Alanine metabolism,2.0,0.0,0.0,6,504_colq_n_hk
D-Glutamine and D-glutamate metabolism,4.0,0.0,0.0,12,504_colq_n_hk
Drug metabolism - cytochrome P450,0.0,0.0,1.0,8,504_colq_n_hk
Drug metabolism - other enzymes,6.0,0.0,5.0,25,504_colq_n_hk
Fatty acid biosynthesis,4.0,2.0,2.0,17,504_colq_n_hk
Fatty acid degradation,0.0,0.0,5.0,29,504_colq_n_hk
Fatty acid elongation,0.0,0.0,2.0,13,504_colq_n_hk
Folate biosynthesis,4.0,1.0,9.0,51,504_colq_n_hk
Fructose and mannose metabolism,10.0,0.0,11.0,75,504_colq_n_hk
Galactose metabolism,8.0,2.0,7.0,48,504_colq_n_hk
