Pathway,both,humann2,mpro,num_Ecs,sample
Acarbose and validamycin biosynthesis,2.0,0.0,0.0,14,504_colq_n_new
Aflatoxin biosynthesis,1.0,0.0,0.0,13,504_colq_n_new
"Alanine, aspartate and glutamate metabolism",12.0,2.0,7.0,50,504_colq_n_new
Amino sugar and nucleotide sugar metabolism,15.0,0.0,11.0,119,504_colq_n_new
Aminoacyl-tRNA biosynthesis,22.0,0.0,2.0,31,504_colq_n_new
Aminobenzoate degradation,0.0,1.0,1.0,51,504_colq_n_new
Arginine and proline metabolism,3.0,1.0,8.0,86,504_colq_n_new
Arginine biosynthesis,7.0,2.0,7.0,28,504_colq_n_new
Ascorbate and aldarate metabolism,0.0,0.0,4.0,46,504_colq_n_new
Atrazine degradation,1.0,0.0,0.0,10,504_colq_n_new
Benzoate degradation,0.0,0.0,2.0,69,504_colq_n_new
Biosynthesis of ansamycins,1.0,0.0,0.0,4,504_colq_n_new
Biosynthesis of antibiotics,80.0,8.0,32.0,496,504_colq_n_new
Biosynthesis of secondary metabolites,109.0,14.0,55.0,778,504_colq_n_new
Biosynthesis of unsaturated fatty acids,0.0,0.0,3.0,16,504_colq_n_new
Biosynthesis of vancomycin group antibiotics,1.0,0.0,0.0,10,504_colq_n_new
Biotin metabolism,5.0,1.0,4.0,20,504_colq_n_new
Butanoate metabolism,3.0,1.0,5.0,55,504_colq_n_new
C5-Branched dibasic acid metabolism,3.0,0.0,3.0,22,504_colq_n_new
Caprolactam degradation,0.0,0.0,1.0,21,504_colq_n_new
Carbapenem biosynthesis,2.0,0.0,0.0,5,504_colq_n_new
Carbon fixation in photosynthetic organisms,9.0,0.0,5.0,25,504_colq_n_new
Carbon fixation pathways in prokaryotes,9.0,0.0,12.0,50,504_colq_n_new
Chloroalkane and chloroalkene degradation,0.0,0.0,2.0,17,504_colq_n_new
Citrate cycle (TCA cycle),7.0,0.0,3.0,26,504_colq_n_new
Cyanoamino acid metabolism,2.0,0.0,1.0,30,504_colq_n_new
Cysteine and methionine metabolism,12.0,2.0,8.0,76,504_colq_n_new
D-Alanine metabolism,2.0,0.0,0.0,6,504_colq_n_new
D-Glutamine and D-glutamate metabolism,4.0,0.0,0.0,12,504_colq_n_new
Drug metabolism - cytochrome P450,0.0,0.0,1.0,8,504_colq_n_new
Drug metabolism - other enzymes,4.0,0.0,7.0,25,504_colq_n_new
Fatty acid biosynthesis,4.0,2.0,2.0,17,504_colq_n_new
Fatty acid degradation,0.0,0.0,5.0,29,504_colq_n_new
Fatty acid elongation,0.0,0.0,2.0,13,504_colq_n_new
Folate biosynthesis,4.0,1.0,9.0,51,504_colq_n_new
Fructose and mannose metabolism,10.0,0.0,11.0,75,504_colq_n_new
Galactose metabolism,7.0,2.0,8.0,48,504_colq_n_new
Geraniol degradation,0.0,0.0,1.0,10,504_colq_n_new
Glucosinolate biosynthesis,0.0,0.0,1.0,15,504_colq_n_new
Glutathione metabolism,3.0,0.0,6.0,39,504_colq_n_new
Glycerolipid metabolism,1.0,1.0,4.0,40,504_colq_n_new
Glycerophospholipid metabolism,3.0,1.0,6.0,61,504_colq_n_new
"Glycine, serine and threonine metabolism",12.0,1.0,8.0,68,504_colq_n_new
Glycolysis / Gluconeogenesis,14.0,0.0,8.0,48,504_colq_n_new
Glycosaminoglycan degradation,2.0,0.0,0.0,15,504_colq_n_new
Glycosphingolipid biosynthesis - ganglio series,2.0,0.0,0.0,8,504_colq_n_new
Glycosphingolipid biosynthesis - globo and isoglobo series,1.0,0.0,2.0,13,504_colq_n_new
Glyoxylate and dicarboxylate metabolism,3.0,0.0,9.0,73,504_colq_n_new
Histidine metabolism,8.0,0.0,4.0,38,504_colq_n_new
Human cytomegalovirus infection,0.0,0.0,1.0,2,504_colq_n_new
Human papillomavirus infection,0.0,0.0,1.0,2,504_colq_n_new
Inositol phosphate metabolism,3.0,1.0,3.0,48,504_colq_n_new
Insect hormone biosynthesis,0.0,0.0,1.0,9,504_colq_n_new
Isoquinoline alkaloid biosynthesis,0.0,0.0,2.0,57,504_colq_n_new
Limonene and pinene degradation,0.0,0.0,2.0,16,504_colq_n_new
Lipoic acid metabolism,2.0,0.0,0.0,3,504_colq_n_new
Lipopolysaccharide biosynthesis,5.0,0.0,6.0,27,504_colq_n_new
Lysine biosynthesis,8.0,2.0,2.0,28,504_colq_n_new
Lysine degradation,0.0,0.0,4.0,53,504_colq_n_new
Metabolic pathways,217.0,27.0,152.0,1650,504_colq_n_new
Metabolism of xenobiotics by cytochrome P450,0.0,0.0,1.0,10,504_colq_n_new
Methane metabolism,10.0,0.0,7.0,87,504_colq_n_new
Microbial metabolism in diverse environments,54.0,5.0,50.0,668,504_colq_n_new
Monobactam biosynthesis,3.0,2.0,0.0,10,504_colq_n_new
Naphthalene degradation,0.0,0.0,1.0,9,504_colq_n_new
Nicotinate and nicotinamide metabolism,6.0,1.0,5.0,59,504_colq_n_new
Nitrogen metabolism,3.0,0.0,4.0,37,504_colq_n_new
Nitrotoluene degradation,0.0,0.0,1.0,7,504_colq_n_new
Novobiocin biosynthesis,1.0,0.0,1.0,16,504_colq_n_new
One carbon pool by folate,9.0,1.0,6.0,24,504_colq_n_new
Other glycan degradation,2.0,0.0,1.0,9,504_colq_n_new
Other types of O-glycan biosynthesis,0.0,0.0,1.0,9,504_colq_n_new
Oxidative phosphorylation,4.0,1.0,2.0,11,504_colq_n_new
PI3K-Akt signaling pathway,0.0,0.0,1.0,2,504_colq_n_new
Pantothenate and CoA biosynthesis,10.0,1.0,2.0,31,504_colq_n_new
Penicillin and cephalosporin biosynthesis,0.0,1.0,0.0,14,504_colq_n_new
Pentose and glucuronate interconversions,8.0,0.0,6.0,67,504_colq_n_new
Pentose phosphate pathway,13.0,0.0,4.0,55,504_colq_n_new
Peptidoglycan biosynthesis,9.0,0.0,3.0,19,504_colq_n_new
Phenazine biosynthesis,0.0,0.0,1.0,13,504_colq_n_new
Phenylalanine metabolism,1.0,1.0,4.0,67,504_colq_n_new
"Phenylalanine, tyrosine and tryptophan biosynthesis",10.0,1.0,5.0,39,504_colq_n_new
Phenylpropanoid biosynthesis,0.0,0.0,2.0,30,504_colq_n_new
Phosphatidylinositol signaling system,1.0,0.0,1.0,29,504_colq_n_new
Phosphonate and phosphinate metabolism,2.0,0.0,1.0,29,504_colq_n_new
Photosynthesis,1.0,0.0,0.0,3,504_colq_n_new
Polyketide sugar unit biosynthesis,2.0,0.0,1.0,27,504_colq_n_new
Porphyrin and chlorophyll metabolism,10.0,2.0,11.0,106,504_colq_n_new
Propanoate metabolism,5.0,1.0,9.0,55,504_colq_n_new
Purine metabolism,26.0,2.0,10.0,110,504_colq_n_new
Pyrimidine metabolism,19.0,0.0,7.0,65,504_colq_n_new
Pyruvate metabolism,8.0,0.0,16.0,67,504_colq_n_new
Relaxin signaling pathway,0.0,0.0,1.0,1,504_colq_n_new
Retinol metabolism,0.0,0.0,1.0,14,504_colq_n_new
Riboflavin metabolism,2.0,1.0,6.0,28,504_colq_n_new
Selenocompound metabolism,3.0,0.0,4.0,18,504_colq_n_new
Sphingolipid metabolism,1.0,0.0,3.0,27,504_colq_n_new
Starch and sucrose metabolism,6.0,2.0,8.0,76,504_colq_n_new
Streptomycin biosynthesis,3.0,0.0,3.0,18,504_colq_n_new
Sulfur metabolism,4.0,1.0,3.0,50,504_colq_n_new
Synthesis and degradation of ketone bodies,0.0,0.0,1.0,6,504_colq_n_new
T cell receptor signaling pathway,0.0,0.0,2.0,2,504_colq_n_new
Taurine and hypotaurine metabolism,3.0,0.0,1.0,19,504_colq_n_new
Terpenoid backbone biosynthesis,6.0,0.0,5.0,51,504_colq_n_new
Th1 and Th2 cell differentiation,0.0,0.0,1.0,1,504_colq_n_new
Thermogenesis,0.0,0.0,1.0,1,504_colq_n_new
Thiamine metabolism,8.0,0.0,3.0,26,504_colq_n_new
"Tropane, piperidine and pyridine alkaloid biosynthesis",1.0,0.0,2.0,27,504_colq_n_new
Tryptophan metabolism,1.0,0.0,4.0,60,504_colq_n_new
Tyrosine metabolism,1.0,0.0,3.0,64,504_colq_n_new
Ubiquinone and other terpenoid-quinone biosynthesis,3.0,3.0,2.0,40,504_colq_n_new
"Valine, leucine and isoleucine biosynthesis",6.0,0.0,3.0,14,504_colq_n_new
"Valine, leucine and isoleucine degradation",1.0,0.0,6.0,36,504_colq_n_new
Various types of N-glycan biosynthesis,1.0,0.0,0.0,23,504_colq_n_new
Vitamin B6 metabolism,3.0,2.0,1.0,26,504_colq_n_new
Zeatin biosynthesis,1.0,0.0,0.0,10,504_colq_n_new
alpha-Linolenic acid metabolism,0.0,0.0,2.0,12,504_colq_n_new
beta-Alanine metabolism,3.0,0.0,3.0,37,504_colq_n_new
beta-Lactam resistance,0.0,1.0,0.0,1,504_colq_n_new
mTOR signaling pathway,0.0,0.0,1.0,5,504_colq_n_new
