genus,reads
g__Achromobacter,2
g__Acidovorax,22
g__Acinetobacter,1667
g__Actinobacteria_noname,1
g__Actinomyces,85
g__Aeromonas,7
g__Afipia,29
g__Aggregatibacter,2
g__Agromyces,2
g__Alicycliphilus,37
g__Anaerostipes,8282
g__Anaerotruncus,3
g__Aspergillus,1
g__Asticcacaulis,10
g__Azospirillum,2
g__Bacillus,15
g__Bacteroides,56492
g__Barnesiella,389
g__Blattabacterium,51
g__Blautia,6789
g__Bordetella,5
g__Botryotinia,1
g__Brachybacterium,9
g__Brachyspira,3
g__Bradyrhizobium,108
g__Brevibacillus,10
g__Brevibacterium,21
g__Brevundimonas,31
g__Brucella,34
g__Burkholderia,7
g__Caldalkalibacillus,6
g__Caldanaerobacter,37
g__Campylobacter,3
g__Candidatus_Solibacter,1
g__Capnocytophaga,2
g__Carnobacterium,78
g__Caulobacter,47
g__Centipeda,2
g__Chlamydia,229
g__Chryseobacterium,2
g__Citricoccus,2
g__Citrobacter,2
g__Clavibacter,1
g__Clostridium,11717
g__Comamonas,6
g__Conexibacter,1
g__Coprococcus,258
g__Corynebacterium,37
g__Coxiella,24
g__Cupriavidus,1
g__Curvibacter,1
g__Cyanothece,1
g__Delftia,2
g__Dermacoccus,6
g__Dickeya,1
g__Dictyostelium,3
g__Dorea,1353
g__Duganella,27
g__Edwardsiella,1
g__Elizabethkingia,1283
g__Enhydrobacter,2
g__Enterobacter,3
g__Enterococcus,937
g__Erwinia,1
g__Erysipelothrix,4
g__Escherichia,332
g__Eubacterium,75
g__Faecalibacterium,83
g__Finegoldia,1
g__Flavobacteriaceae_noname,2
g__Flavobacteriia_noname,87
g__Flavonifractor,3
g__Fusobacterium,6
g__Haemophilus,3
g__Helicobacter,1
g__Heliobacterium,154
g__Holophaga,2
g__Hymenobacter,1
g__Janthinobacterium,1
g__Klebsiella,6
g__Kocuria,25
g__Labrenzia,2
g__Lachnospiraceae_noname,270
g__Lactobacillus,324
g__Lactococcus,2
g__Lamprocystis,1
g__Legionella,1
g__Leifsonia,1
g__Leptosphaeria,80
g__Leptospira,2
g__Limnohabitans,2
g__Listeria,72
g__Magnetospirillum,30
g__Malassezia,8
g__Marichromatium,4
g__Marinilabilia,6
g__Massilia,2
g__Meiothermus,1
g__Mesorhizobium,82
g__Methylibium,2
g__Methylobacterium,2
g__Methylophilus,1
g__Methyloversatilis,14
g__Microbacterium,4
g__Micrococcus,8
g__Mucispirillum,772
g__Myceliophthora,103
g__Mycobacterium,1
g__Nitrobacter,21
g__Nocardioides,5
g__Nocardiopsis,1
g__Novosphingobium,4
g__Oligotropha,1
g__Paenibacillus,20
g__Pantoea,15
g__Parabacteroides,64449
g__Paracoccus,1
g__Paraprevotella,15
g__Parvibaculum,1
g__Parvimonas,34
g__Pasteurella,2
g__Peptostreptococcaceae_noname,23
g__Perkinsus,56
g__Phenylobacterium,7
g__Plasmodium,241
g__Polaromonas,6
g__Polynucleobacter,9
g__Porphyromonas,9
g__Prevotella,410
g__Propionibacterium,104
g__Pseudacidovorax,13
g__Pseudoalteromonas,1
g__Pseudoclavibacter,1
g__Pseudoflavonifractor,4242
g__Pseudomonas,62
g__Pseudorhodobacter,1
g__Pseudovibrio,13
g__Ralstonia,2
g__Ramlibacter,1
g__Rhizobium,34
g__Rhodococcus,333
g__Rhodomicrobium,4
g__Rhodopseudomonas,10
g__Rhodospirillales_noname,1
g__Rhodospirillum,4
g__Rothia,5
g__Rubrivivax,2
g__Ruminococcus,121
g__Salmonella,5
g__Scheffersomyces,2
g__Selenomonas,3
g__Serratia,6
g__Shigella,168
g__Sinorhizobium,5
g__Sphingobium,7
g__Sphingomonas,46
g__Sphingopyxis,18
g__Staphylococcus,28
g__Streptococcus,857
g__Streptomyces,8
g__Subdoligranulum,1
g__Synergistes,1
g__Talaromyces,6
g__Tannerella,127
g__Tetrasphaera,11
g__Thalassiosira,95
g__Thauera,2
g__Thermosinus,9
g__Thielavia,101
g__Thiorhodococcus,1
g__Toxoplasma,2
g__Varibaculum,1
g__Variovorax,26
g__Vibrio,17
g__Xanthomonas,10
g__Yarrowia,1
g__Zymoseptoria,39
