genus,reads
g__Achromobacter,1.0
g__Acidovorax,13.0
g__Acinetobacter,81.0
g__Actinomyces,14.0
g__Aeromonas,8.0
g__Afipia,5.0
g__Alcanivorax,1.0
g__Alistipes,1.0
g__Anaeromyxobacter,1.0
g__Anaerostipes,109.0
g__Anaerotruncus,2.0
g__Arthrobacter,2.0
g__Asticcacaulis,1.0
g__Azospirillum,1.0
g__Azotobacter,1.0
g__Babesia,3.0
g__Bacillus,37.0
g__Bacteroides,32299.0
g__Barnesiella,9165.0
g__Bifidobacterium,4.0
g__Blattabacterium,3.0
g__Blautia,8865.0
g__Brachyspira,1.0
g__Bradyrhizobium,45.0
g__Brevibacillus,1.0
g__Brevundimonas,1.0
g__Brucella,5.0
g__Burkholderia,3.0
g__Butyricimonas,2.0
g__Butyrivibrio,1.0
g__Caldalkalibacillus,6.0
g__Caldanaerobacter,11.0
g__Campylobacter,2.0
g__Candidatus_Regiella,1.0
g__Candidatus_Sulcia,2.0
g__Capnocytophaga,1.0
g__Carnobacterium,443.0
g__Caulobacter,18.0
g__Cellulosilyticum,1.0
g__Cellvibrio,1.0
g__Centipeda,2.0
g__Chlamydia,75.0
g__Citrobacter,1.0
g__Citromicrobium,1.0
g__Clostridiales_noname,225.0
g__Clostridium,9670.0
g__Collinsella,1.0
g__Coprobacter,4295.0
g__Coprococcus,105.0
g__Corynebacterium,10.0
g__Cupriavidus,2.0
g__Curvibacter,9.0
g__Delftia,2.0
g__Desulfitobacterium,2.0
g__Desulfobacca,1.0
g__Desulfosporosinus,1.0
g__Dickeya,2.0
g__Dictyostelium,1.0
g__Dietzia,2.0
g__Dorea,164.0
g__Duganella,2.0
g__Dysgonomonas,1.0
g__Edwardsiella,3.0
g__Elizabethkingia,4.0
g__Enhydrobacter,1.0
g__Enterococcus,788.0
g__Erwinia,1.0
g__Erysipelothrix,9.0
g__Escherichia,76.0
g__Eubacterium,2806.0
g__Faecalibacterium,33.0
g__Finegoldia,8.0
g__Flavobacteriaceae_noname,1.0
g__Flavobacteriia_noname,9.0
g__Flavobacterium,1.0
g__Fluviicola,1.0
g__Fusobacterium,4.0
g__Gemmata,1.0
g__Gemmatimonas,1.0
g__Gluconacetobacter,1.0
g__Gordonia,1.0
g__Haemophilus,2.0
g__Halomonas,1.0
g__Heliobacterium,51.0
g__Hoeflea,1.0
g__Hydrogenivirga,1.0
g__Hydrogenophaga,1.0
g__Ideonella,2.0
g__Janthinobacterium,4.0
g__Johnsonella,1.0
g__Klebsiella,4.0
g__Kocuria,2.0
g__Lachnoanaerobaculum,2.0
g__Lachnospiraceae_noname,42.0
g__Lactobacillus,1366.0
g__Lactococcus,6.0
