genus,reads
g__Abiotrophia,1.0
g__Acetobacteraceae_noname,1.0
g__Achromobacter,16.0
g__Acidovorax,181.0
g__Acinetobacter,235.0
g__Actinobacillus,1.0
g__Actinomyces,65.0
g__Actinoplanes,6.0
g__Aeromonas,17.0
g__Afipia,42.0
g__Aggregatibacter,3.0
g__Agrobacterium,40.0
g__Agromyces,24.0
g__Ahrensia,1.0
g__Alcanivorax,60.0
g__Alicycliphilus,13.0
g__Alistipes,4.0
g__Alloprevotella,2.0
g__Alphaproteobacteria_noname,5.0
g__Anaerococcus,2.0
g__Anaerostipes,182.0
g__Ancylobacter,1.0
g__Arthrobacter,1.0
g__Arthroderma,5.0
g__Arthrospira,2.0
g__Aspergillus,180.0
g__Asticcacaulis,57.0
g__Atopobium,3.0
g__Aurantimonas,2.0
g__Azorhizobium,8.0
g__Babesia,14.0
g__Bacillus,721.0
g__Bacteroides,21730.0
g__Barnesiella,1928.0
g__Bdellovibrio,3.0
g__Beijerinckia,9.0
g__Bifidobacterium,3.0
g__Blastococcus,1.0
g__Blattabacterium,90.0
g__Blautia,17745.0
g__Bordetella,10.0
g__Botryotinia,127.0
g__Brachybacterium,42.0
g__Bradyrhizobiaceae_noname,14.0
g__Bradyrhizobium,1317.0
g__Brevibacterium,118.0
g__Brevundimonas,13.0
g__Brucella,11.0
g__Burkholderia,257.0
g__Burkholderiales_noname,2.0
g__Butyrivibrio,1.0
g__Caldalkalibacillus,21.0
g__Caldanaerobacter,5.0
g__Caldimonas,33.0
g__Campylobacter,23.0
g__Candida,28.0
g__Candidatus_Saccharibacteria_noname,6.0
g__Candidatus_Saccharimonas,17.0
g__Candidatus_Solibacter,1.0
g__Candidatus_Sulcia,1.0
g__Capnocytophaga,2.0
g__Carnobacterium,2204.0
g__Caulobacter,121.0
g__Cedecea,1.0
g__Cellulomonas,1.0
g__Chaetomium,106.0
g__Chlamydia,413.0
g__Chryseobacterium,12.0
g__Chthoniobacter,3.0
g__Citrobacter,21.0
