taxa,reads
g__Achromobacter.s__Achromobacter_xylosoxidans,4.0
g__Acidovorax.s__Acidovorax_avenae,2.0
g__Acidovorax.s__Acidovorax_citrulli,8.0
g__Acidovorax.s__Acidovorax_delafieldii,1.0
g__Acidovorax.s__Acidovorax_ebreus,26.0
g__Acidovorax.s__Acidovorax_radicis,10.0
g__Acidovorax.s__Acidovorax_sp_CF316,1.0
g__Acidovorax.s__Acidovorax_sp_JS42,58.0
g__Acidovorax.s__Acidovorax_sp_KKS102,25.0
g__Acinetobacter.s__Acinetobacter_baumannii,10.0
g__Acinetobacter.s__Acinetobacter_beijerinckii,1.0
g__Acinetobacter.s__Acinetobacter_bereziniae,1.0
g__Acinetobacter.s__Acinetobacter_johnsonii,6.0
g__Acinetobacter.s__Acinetobacter_junii,2.0
g__Acinetobacter.s__Acinetobacter_lwoffii,2.0
g__Acinetobacter.s__Acinetobacter_radioresistens,7.0
g__Acinetobacter.s__Acinetobacter_schindleri,3.0
g__Acinetobacter.s__Acinetobacter_sp_ANC_3994,8.0
g__Acinetobacter.s__Acinetobacter_sp_CIP_101934,1.0
g__Acinetobacter.s__Acinetobacter_sp_CIP_53_82,1.0
g__Acinetobacter.s__Acinetobacter_sp_MDS7A,1.0
g__Acinetobacter.s__Acinetobacter_sp_P8_3_8,2049.0
g__Acinetobacter.s__Acinetobacter_tjernbergiae,2.0
g__Acinetobacter.s__Acinetobacter_towneri,5.0
g__Acinetobacter.s__Acinetobacter_ursingii,3.0
g__Actinobacillus.s__Actinobacillus_pleuropneumoniae,1.0
g__Actinobacteria_noname.s__actinobacterium_SCGC_AAA278_O22,14.0
g__Actinomyces.s__Actinomyces_johnsonii,2.0
g__Actinomyces.s__Actinomyces_massiliensis,2.0
g__Actinomyces.s__Actinomyces_naeslundii,1.0
g__Actinomyces.s__Actinomyces_odontolyticus,41.0
g__Actinomyces.s__Actinomyces_sp_oral_taxon_178,1.0
g__Actinomyces.s__Actinomyces_sp_oral_taxon_877,1.0
g__Actinomyces.s__Actinomyces_viscosus,23.0
g__Actinoplanes.s__Actinoplanes_sp_N902_109,1.0
g__Actinoplanes.s__Actinoplanes_sp_SE50_110,3.0
g__Aeromonas.s__Aeromonas_caviae,2.0
g__Aeromonas.s__Aeromonas_hydrophila,6.0
g__Afipia.s__Afipia_birgiae,3.0
g__Afipia.s__Afipia_broomeae,7.0
g__Afipia.s__Afipia_felis,3.0
g__Afipia.s__Afipia_sp_1NLS2,4.0
g__Agrobacterium.s__Agrobacterium_sp_224MFTsu3_1,1.0
g__Alcaligenes.s__Alcaligenes_faecalis,1.0
g__Alcaligenes.s__Alcaligenes_sp_EGD_AK7,7.0
g__Alcaligenes.s__Alcaligenes_sp_HPC1271,5.0
g__Alcanivorax.s__Alcanivorax_dieselolei,38.0
g__Alcanivorax.s__Alcanivorax_hongdengensis,23.0
g__Alicycliphilus.s__Alicycliphilus_sp_CRZ1,5.0
g__Aliivibrio.s__Aliivibrio_logei,6.0
g__Alistipes.s__Alistipes_shahii,1.0
