taxa,reads
g__Achromobacter.s__Achromobacter_xylosoxidans,1.0
g__Acidovorax.s__Acidovorax_citrulli,3.0
g__Acidovorax.s__Acidovorax_delafieldii,2.0
g__Acidovorax.s__Acidovorax_ebreus,6.0
g__Acidovorax.s__Acidovorax_radicis,5.0
g__Acidovorax.s__Acidovorax_sp_CF316,31.0
g__Acidovorax.s__Acidovorax_sp_JS42,5.0
g__Acidovorax.s__Acidovorax_sp_KKS102,7.0
g__Acidovorax.s__Acidovorax_sp_NO_1,4.0
g__Acinetobacter.s__Acinetobacter_baumannii,25.0
g__Acinetobacter.s__Acinetobacter_bouvetii,1.0
g__Acinetobacter.s__Acinetobacter_guillouiae,1.0
g__Acinetobacter.s__Acinetobacter_johnsonii,13.0
g__Acinetobacter.s__Acinetobacter_junii,2.0
g__Acinetobacter.s__Acinetobacter_lwoffii,4.0
g__Acinetobacter.s__Acinetobacter_pittii_calcoaceticus_nosocomialis,2.0
g__Acinetobacter.s__Acinetobacter_radioresistens,1.0
g__Acinetobacter.s__Acinetobacter_sp_ANC_3994,1.0
g__Acinetobacter.s__Acinetobacter_sp_CIP_102637,1.0
g__Acinetobacter.s__Acinetobacter_sp_NIPH_809,1.0
g__Acinetobacter.s__Acinetobacter_sp_P8_3_8,37.0
g__Acinetobacter.s__Acinetobacter_sp_WC_743,1.0
g__Acinetobacter.s__Acinetobacter_tjernbergiae,1.0
g__Actinomyces.s__Actinomyces_johnsonii,2.0
g__Actinomyces.s__Actinomyces_massiliensis,1.0
g__Actinomyces.s__Actinomyces_odontolyticus,52.0
g__Actinomyces.s__Actinomyces_sp_HPA0247,1.0
g__Actinomyces.s__Actinomyces_turicensis,2.0
g__Actinomyces.s__Actinomyces_urogenitalis,1.0
g__Actinoplanes.s__Actinoplanes_globisporus,1.0
g__Aeromonas.s__Aeromonas_hydrophila,5.0
g__Aeromonas.s__Aeromonas_media,5.0
g__Afipia.s__Afipia_birgiae,1.0
g__Afipia.s__Afipia_broomeae,8.0
g__Afipia.s__Afipia_clevelandensis,2.0
g__Ajellomyces.s__Ajellomyces_capsulatus,4.0
g__Ajellomyces.s__Ajellomyces_dermatitidis,12.0
g__Alcaligenes.s__Alcaligenes_faecalis,5.0
g__Alcanivorax.s__Alcanivorax_hongdengensis,5.0
g__Alicycliphilus.s__Alicycliphilus_denitrificans,4.0
g__Alicycliphilus.s__Alicycliphilus_sp_CRZ1,1.0
g__Aliivibrio.s__Aliivibrio_logei,3.0
g__Alistipes.s__Alistipes_onderdonkii,1.0
g__Alistipes.s__Alistipes_putredinis,32.0
g__Alistipes.s__Alistipes_shahii,2.0
g__Alloprevotella.s__Alloprevotella_tannerae,3.0
g__Amycolatopsis.s__Amycolatopsis_mediterranei,1.0
g__Anaerostipes.s__Anaerostipes_caccae,179.0
g__Anaerostipes.s__Anaerostipes_sp_3_2_56FAA,4.0
g__Anaerotruncus.s__Anaerotruncus_colihominis,2.0
g__Anaerotruncus.s__Anaerotruncus_sp_G3_2012,2.0
g__Arthrobacter.s__Arthrobacter_globiformis,2.0
g__Arthrobacter.s__Arthrobacter_sp_135MFCol5_1,1.0
g__Arthrobacter.s__Arthrobacter_sp_162MFSha1_1,1.0
