taxa,reads
g__Acetivibrio.s__Acetivibrio_cellulolyticus,1.0
g__Acetobacter.s__Acetobacter_pasteurianus,1.0
g__Achromobacter.s__Achromobacter_arsenitoxydans,1.0
g__Acidaminococcus.s__Acidaminococcus_intestini,1.0
g__Acidithiobacillus.s__Acidithiobacillus_caldus,1.0
g__Acidovorax.s__Acidovorax_avenae,6.0
g__Acidovorax.s__Acidovorax_delafieldii,1.0
g__Acidovorax.s__Acidovorax_ebreus,2.0
g__Acidovorax.s__Acidovorax_radicis,13.0
g__Acidovorax.s__Acidovorax_sp_JS42,5.0
g__Acidovorax.s__Acidovorax_sp_KKS102,2.0
g__Acidovorax.s__Acidovorax_sp_MR_S7,9.0
g__Acinetobacter.s__Acinetobacter_baumannii,18.0
g__Acinetobacter.s__Acinetobacter_indicus,1.0
g__Acinetobacter.s__Acinetobacter_johnsonii,5.0
g__Acinetobacter.s__Acinetobacter_pittii_calcoaceticus_nosocomialis,12.0
g__Acinetobacter.s__Acinetobacter_radioresistens,3.0
g__Acinetobacter.s__Acinetobacter_sp_ANC_3862,1.0
g__Acinetobacter.s__Acinetobacter_sp_ANC_3929,1.0
g__Acinetobacter.s__Acinetobacter_sp_CIP_110321,1.0
g__Acinetobacter.s__Acinetobacter_sp_CIP_64_7,1.0
g__Acinetobacter.s__Acinetobacter_sp_P8_3_8,44.0
g__Acinetobacter.s__Acinetobacter_venetianus,1.0
g__Actinobacteria_noname.s__actinobacterium_SCGC_AAA044_N04,1.0
g__Actinomyces.s__Actinomyces_coleocanis,1.0
g__Actinomyces.s__Actinomyces_odontolyticus,36.0
g__Actinomyces.s__Actinomyces_sp_oral_taxon_175,1.0
g__Actinomyces.s__Actinomyces_turicensis,2.0
g__Actinomyces.s__Actinomyces_viscosus,1.0
g__Aeromonas.s__Aeromonas_hydrophila,6.0
g__Aeromonas.s__Aeromonas_media,1.0
g__Aeromonas.s__Aeromonas_veronii,2.0
g__Afipia.s__Afipia_birgiae,8.0
g__Afipia.s__Afipia_broomeae,4.0
g__Afipia.s__Afipia_felis,9.0
g__Agrobacterium.s__Agrobacterium_sp_224MFTsu3_1,2.0
g__Agrobacterium.s__Agrobacterium_tumefaciens,1.0
g__Ajellomyces.s__Ajellomyces_capsulatus,8.0
g__Ajellomyces.s__Ajellomyces_dermatitidis,44.0
g__Aliivibrio.s__Aliivibrio_logei,2.0
g__Alistipes.s__Alistipes_onderdonkii,1.0
g__Alistipes.s__Alistipes_putredinis,22.0
g__Alistipes.s__Alistipes_shahii,4.0
g__Alloprevotella.s__Alloprevotella_tannerae,8.0
g__Anaerococcus.s__Anaerococcus_hydrogenalis,1.0
g__Anaeromyxobacter.s__Anaeromyxobacter_sp_Fw109_5,4.0
g__Anaerostipes.s__Anaerostipes_caccae,4876.0
g__Anaerostipes.s__Anaerostipes_sp_3_2_56FAA,2.0
g__Anaerotruncus.s__Anaerotruncus_colihominis,1062.0
g__Arenimonas.s__Arenimonas_oryziterrae,1.0
g__Arthroderma.s__Arthroderma_benhamiae,13.0
g__Arthroderma.s__Arthroderma_gypseum,3.0
g__Arthrospira.s__Arthrospira_platensis,1.0
g__Aspergillus.s__Aspergillus_flavus,3.0
g__Aspergillus.s__Aspergillus_nidulans,4.0
g__Aspergillus.s__Aspergillus_niger,12.0
g__Aspergillus.s__Aspergillus_oryzae,10.0
g__Aspergillus.s__Aspergillus_terreus,5.0
g__Asticcacaulis.s__Asticcacaulis_biprosthecium,5.0
g__Asticcacaulis.s__Asticcacaulis_excentricus,8.0
g__Asticcacaulis.s__Asticcacaulis_sp_AC460,7.0
g__Asticcacaulis.s__Asticcacaulis_sp_AC466,1.0
g__Azoarcus.s__Azoarcus_sp_KH32C,3.0
