,,,,,,,,,,,,
English name,MetaPro,SAMSA2,humann2,BWA only,,,,,read length,,,
Clostridium ASF356,4285,878,0,117438,,,,,2876958,,,
Clostridium ASF502,0,0,0,7557,,,,,494964,,,
Eubacterium Plexicaudatum ASF492,0,0,0,3456,,,,,354461,,,
Firmicutes ASF500,0,0,0,83,,,,,1398166,,,
Lactobacillus ASF360,0,0,0,103,,,,,19383,,,
Lactobacillus Murinus ASF361,96,16,0,2884,,,,,1249569,,,
Mucispirillum Schaedleri ASF457,772,179,0,19670,,,,,2221027,,,
Parabacteroides ASF519,9454,47,0,182634,,,,,6847926,,501 cecq n,
,,,,,,,,,0,,,
,,,,,,,,,0,,,
,,,,,,,,,,,,
,,,,,,,,,,,mapped reads,333825
,,,,,,,,,,,unmapped reads,1912469
