501 cecq y ,,,,,,
English name,read length,number of reads,,MetaPro,SAMSA2,sams2 without labels
Clostridium ASF356,2895129,137228,,41209,192,20080 + 192
Clostridium ASF502,2182124,12365,,9,0,1
Eubacterium Plexicaudatum ASF492,951307,1371,,0,0,
Firmicutes ASF500,1472401,16,,0,0,
Lactobacillus ASF360,12482,10,,0,0,
Lactobacillus Murinus ASF361,2053334,5728,,0,0,
Mucispirillum Schaedleri ASF457,2315907,30621,,0,0,
Parabacteroides ASF519,6862324,577008,,239309,0,2683
mapped reads,0,764347,,,,
unmapped reads,0,2167004,,,,
