504 cecq n,,,,,,
English name,read length,number of reads,,MetaPro,SAMSA2,SAMSA2 without label
Clostridium ASF356,2876958,242369,,10660,35,35 + 5789
Clostridium ASF502,475170,23931,,3,,
Eubacterium Plexicaudatum ASF492,594111,11793,,,,
Firmicutes ASF500,1488158,129,,,,
Lactobacillus ASF360,19383,936,,,,
Lactobacillus Murinus ASF361,1618134,11740,,,,
Mucispirillum Schaedleri ASF457,2273798,36278,,,,
Parabacteroides ASF519,6860967,579169,,13848,,174
mapped reads,0,906345,,,,
unmapped reads,0,1616115,,,,
