root,kingdom,phylum,class,order,family,genus,species,Reads
root,k_Bacteria,p_Proteobacteria,c_Betaproteobacteria,o_Burkholderiales,f_Comamonadaceae,g_Acidovorax,s_Acidovorax sp. KKS102,5
root,k_Bacteria,p_Proteobacteria,c_Gammaproteobacteria,o_Pseudomonadales,f_Moraxellaceae,g_Acinetobacter,s_Acinetobacter johnsonii,2
root,k_Bacteria,p_Proteobacteria,c_Gammaproteobacteria,o_Pseudomonadales,f_Moraxellaceae,g_Acinetobacter,s_Acinetobacter baumannii,1
root,k_Bacteria,p_Proteobacteria,c_Gammaproteobacteria,o_Pseudomonadales,f_Moraxellaceae,g_Acinetobacter,s_Acinetobacter sp. TTH0-4,1
root,k_Bacteria,p_Actinobacteria,c_Actinobacteria,o_Actinomycetales,f_Actinomycetaceae,g_Actinomyces,s_Actinomyces radicidentis,1
root,k_Bacteria,p_Actinobacteria,c_Actinobacteria,o_Actinomycetales,f_Actinomycetaceae,g_Actinomyces,s_Actinomyces oris,3
root,k_Bacteria,p_Actinobacteria,c_Actinobacteria,o_Actinomycetales,f_Actinomycetaceae,g_Actinomyces,s_Actinomyces hongkongensis,1
root,k_Bacteria,p_Actinobacteria,c_Actinobacteria,o_Propionibacteriales,f_Propionibacteriaceae,g_Propionibacterium,s_Propionibacterium sp. oral taxon 193,4
root,k_Bacteria,p_Proteobacteria,c_Gammaproteobacteria,o_Aeromonadales,f_Aeromonadaceae,g_Aeromonas,s_Aeromonas veronii,1
root,k_Bacteria,p_Proteobacteria,c_Alphaproteobacteria,o_Rhizobiales,f_Bradyrhizobiaceae,g_Bosea,s_Bosea sp. RAC05,10
root,k_Bacteria,p_Actinobacteria,c_Actinobacteria,o_Jiangellales,f_Jiangellaceae,g_Jiangella,s_Jiangella alkaliphila,1
root,k_Bacteria,p_Proteobacteria,c_Betaproteobacteria,o_Burkholderiales,f_Alcaligenaceae,g_Bordetella,s_Bordetella hinzii,33
root,k_Bacteria,p_Proteobacteria,c_Betaproteobacteria,o_Burkholderiales,f_Comamonadaceae,g_Comamonas,s_Comamonas aquatica,1
root,k_Bacteria,p_Firmicutes,c_Clostridia,o_Clostridiales,f_Lachnospiraceae,g_Blautia,s_Blautia sp. YL58,2
root,k_Bacteria,p_Firmicutes,c_Clostridia,o_Clostridiales,f_Lachnospiraceae,g_Blautia,s_Blautia sp. YL58,8198
root,k_Bacteria,p_Firmicutes,c_Clostridia,o_Clostridiales,f_Lachnospiraceae,g_Tyzzerella,s_[Clostridium] piliforme,1
root,k_Bacteria,p_Firmicutes,c_Clostridia,o_Clostridiales,f_Lachnospiraceae,g_Blautia,s_Blautia sp. YL58,15
root,k_Bacteria,p_Proteobacteria,c_Deltaproteobacteria,o_Syntrophobacterales,f_Syntrophaceae,g_Syntrophus,s_Syntrophus aciditrophicus,1
