genus,Length,Reads,RPK,percentage_rpk
unclassified,19406272,462539,441820.26831105916,61.21128368686699
g_unknown,5103841,70006,144946.17493021206,20.081336392501065
g_Blautia,1896442,21208,49905.52435432282,6.914081195214918
g_Bacteroides,2136251,22982,23297.624069611793,3.2277321310007725
g_Parabacteroides,559842,7954,12652.741397483176,1.752953856233314
g_Anaerotignum,34761,2312,8969.948297434155,1.2427271659348367
g_Lactobacillus,85367,1218,2961.651042743959,0.41031721530546217
g_Escherichia,918271,1270,1837.5686309352182,0.25458301221046076
g_Prevotella,192453,2235,1778.192799563155,0.2463568824492518
g_Ralstonia,116774,923,1265.6497003117006,0.17534741706198564
g_Clostridium,287718,1456,1234.3448302946063,0.1710103338251257
g_Cutibacterium,671464,1160,1210.410301441493,0.16769436273774235
g_Pseudomonas,390164,1233,1060.4290785682167,0.14691545366665404
g_Tannerella,124272,1026,894.6165333853194,0.12394321932161026
g_Bradyrhizobium,379434,781,815.806384020605,0.11302459300188798
g_Candidatus Actinomarina,1119,858,766.7560321715818,0.10622899031609773
g_Barnesiella,68481,858,670.6266647698952,0.09291090058436777
g_Weissella,7761,168,651.2104109549831,0.09022090669851901
g_Staphylococcus,237159,571,621.3031356334266,0.08607745098742843
g_Micrococcus,128988,507,614.5591402030115,0.08514311490761907
g_Chlamydia,9060,156,583.0782071087676,0.08078163929282821
g_Chlorobaculum,8208,177,508.39725158238997,0.07043508554099125
g_Paenibacillus,66267,474,506.1967590035878,0.07013022180984826
g_Streptococcus,96951,493,432.83924680232724,0.059967022400551795
g_Fermentimonas,28098,666,415.17996826086414,0.057520445848871574
g_Acidovorax,162417,438,411.40979792223834,0.056998113618556244
g_Odoribacter,44418,445,351.9770280449949,0.048764095403051995
g_Candidatus Protochlamydia,351,123,350.42735042735046,0.04854939779164673
g_Porphyromonas,41327,205,322.33052530944957,0.04465676801355496
g_Mesorhizobium,154127,353,306.17657494626667,0.04241874475100921
g_Fusobacterium,52188,175,303.7988658966529,0.04208932884685184
g_Alistipes,60600,712,303.36177665364283,0.042028773015512
g_Bacillus,111936,353,302.8102709278424,0.041952365535235125
g_Polaribacter,24480,730,266.46717087272384,0.036917268761522064
g_Thermoanaerobacter,14199,71,260.85562864229485,0.03613982660229139
g_Acinetobacter,68031,363,256.94936477118847,0.03559863951079809
g_Sphingopyxis,36024,209,255.68223907040527,0.03542308760360728
g_Anaerophaga,150,37,246.66666666666669,0.03417403951870548
g_Rhizobium,34368,161,228.60919649902868,0.03167229614390802
g_Sphingomonas,67242,249,227.73760637350063,0.03155154308150028
g_Caulobacter,54663,176,225.3509102657592,0.03122088207972286
g_Petrimonas,35238,261,224.61629809700503,0.031119106409644777
g_Vibrio,43887,182,222.94979398820084,0.03088822325854062
g_Pedobacter,90915,425,220.4164036276283,0.03053723873570881
g_Nitratiruptor,1398,47,216.80632317109408,0.030037085902517024
g_Geobacter,14994,222,206.55672079003315,0.028617071104592454
g_Roseburia,8886,398,206.0416415100644,0.02854571026809684
g_Burkholderia,113604,236,194.58296040564755,0.026958185588794464
g_Enterococcus,50493,283,190.49172208044973,0.02639137150687925
