genus,Length,Reads,RPK,percentage_rpk
unclassified,17452250,475802,480784.25091512554,58.36957227084796
g_unknown,2441306,97629,163174.0318503876,19.81012985905443
g_Blautia,3995591,53842,64003.45207485357,7.770333812632358
g_Bacteroides,1637207,36464,29090.048599306792,3.531674947438048
g_Parabacteroides,607493,18755,21177.357944495852,2.571035392057969
g_Anaerotignum,42673,5672,9280.033480376114,1.1266416981789311
g_Lactobacillus,104470,1574,5882.106955725461,0.7141167091134294
g_Weissella,10227,1307,5499.398007474515,0.6676539608617665
g_Prevotella,96918,2750,1921.7596829812212,0.23331107558008676
g_Clostridium,442944,1936,1663.9140290086223,0.20200734525690994
g_Pseudomonas,140078,2154,1340.213927367324,0.16270856115391724
g_Barnesiella,27831,1353,1336.2275413570924,0.16222459428960997
g_Tannerella,86196,1857,1295.566846192912,0.15728818595166813
g_Odoribacter,32439,1186,1156.0138848278154,0.14034577020384276
g_Bacillus,147785,1111,936.5048496667124,0.11369629392097265
g_Mucilaginibacter,33867,906,901.2244382896072,0.10941307849180351
g_Pedobacter,53406,1204,889.9367363369904,0.1080426959685803
g_Porphyromonas,40324,1064,887.4067725050304,0.10773554591852948
g_Draconibacterium,34635,1385,823.3690519935868,0.09996105174918339
g_Alistipes,18105,1031,648.963080361461,0.07878730916865545
g_Ruminiclostridium,36816,313,597.5619968205174,0.07254696486696023
g_Paenibacillus,56231,884,574.1146306593724,0.06970033931485664
g_Serratia,22593,408,532.7407894695465,0.06467735154257527
g_Spirosoma,17307,413,530.9638721783084,0.06446162504560116
g_Orthobunyavirus,151,80,529.8013245033113,0.0643204860411415
g_Haemophilus,2625,59,527.0196146108556,0.06398277278140976
g_Lachnoclostridium,30783,319,454.6694424051366,0.05519910610070661
g_Raoultella,273,121,443.2234432234432,0.05380950551546228
g_Escherichia,235596,371,414.2005927571413,0.0502859887518113
g_Staphylococcus,94410,429,412.01000692420115,0.05002004085969977
g_Streptococcus,67975,443,376.513876366893,0.045710636061275935
g_Chlamydia,11997,108,355.25040282629794,0.04312914581238646
g_Burkholderia,33933,506,354.76075873768116,0.043069700612251245
g_Hymenobacter,23439,508,344.7437803638824,0.041853590180156025
g_Collimonas,2259,364,342.0114768951978,0.04152187510322138
g_Paeniclostridium,18465,99,331.33550555457373,0.04022575968441982
g_Paludibacter,34800,426,316.35314095954897,0.03840682694826438
g_Mycoplasma,40702,332,316.2824081251915,0.03839823963435155
g_Vibrio,27831,315,313.03167929726357,0.03800358516949853
g_Lactococcus,20532,202,306.66217406625907,0.03723029591303266
g_Pandoraea,1875,106,300.83395914908766,0.03652272196240854
g_Petrimonas,20457,482,295.77702184881355,0.03590878490715836
g_Rhizobium,23625,579,275.367573349301,0.033430977497841304
g_Halobacillus,5709,298,275.1901148959973,0.033409433168975565
g_Cellulosilyticum,34884,211,264.65962176271466,0.03213097951992017
g_Parvularcula,3774,482,263.35593334682585,0.03197270533547039
g_Pontibacter,15645,405,259.853432030611,0.031547484452472636
g_Geobacter,14637,263,258.30053371789575,0.03135895496108272
g_Niabella,17529,450,254.32811198904233,0.030876683429202762
g_Elizabethkingia,21585,280,243.17612282238994,0.02952277710555003
g_Blastochloris,2610,168,240.46499477533962,0.029193632828929866
