genus,Length,Reads,RPK,percentage_rpk
g_unknown,723463,50459,147444.2379793566,49.97670105718694
unclassified,6780476,37280,72949.27640889981,24.726393037726723
g_Parabacteroides,251812,8836,39242.5932965788,13.301403844390807
g_Blautia,708259,5103,13550.738999332112,4.593066784803093
g_Lactobacillus,32670,2695,7955.015610719412,2.696378254793801
g_Anaerotignum,22898,2522,5798.777297792882,1.9655143088709375
g_Bacteroides,503718,1536,2534.3267383783887,0.85901823985082
g_Weissella,1668,224,941.6270820617609,0.3191675431503845
g_Prevotella,51466,233,459.8162773063983,0.15585621348857215
g_Anaerophaga,150,58,386.6666666666667,0.13106191651575097
g_Tannerella,35217,73,235.9871766062129,0.07998861630814978
g_Chlamydia,5710,70,223.25493551677735,0.07567298203559285
g_Ralstonia,12648,157,221.41260747031095,0.07504851898916023
g_Leadbetterella,936,37,199.73544973544972,0.06770097630637108
g_Porphyromonas,19891,129,164.0941737840518,0.05562025061691343
g_Cutibacterium,150447,139,149.47227901162972,0.0506641121204515
g_Bradyrhizobium,57357,107,111.50252326674628,0.03779414067848762
g_Pseudomonas,48318,67,110.79848495598101,0.03755550461734259
g_Geosporobacter,4140,181,106.55828021141905,0.03611827351326982
g_Clostridium,54811,67,99.2869292417365,0.033653625598411396
g_Paenibacillus,18102,124,90.5311692438712,0.03068583244529371
g_Staphylococcus,8250,129,87.9325837104403,0.029805033479151744
g_Streptococcus,12687,111,87.12975136898332,0.029532910861965075
g_Bacillus,12829,40,82.8346335693185,0.028077066800365973
g_Escherichia,54844,60,78.19350327857853,0.026503940686477132
g_Megasphaera,1272,83,65.25157232704403,0.022117231357366887
g_Mahella,2715,21,56.68216753802936,0.01921260390465779
g_Fermentimonas,11598,40,49.39679427773197,0.016743203089070253
g_Archaeoglobus,1185,54,45.56962025316456,0.015445970082607051
g_Lactococcus,318,14,44.0251572327044,0.014922469349548741
g_Pseudoalteromonas,1188,52,43.77104377104377,0.014836336770330565
g_Mesorhizobium,32925,40,43.45234481442044,0.014728312728830677
g_Acidovorax,19019,28,40.160161779121246,0.013612416647467863
g_Mucilaginibacter,4356,17,38.7037037037037,0.013118745474996144
g_Coprococcus,2820,35,37.671450317407576,0.012768859853087925
g_Micrococcus,10170,41,36.70575742057206,0.0124415351242304
g_Dehalobacter,732,26,35.51912568306011,0.012039322461169887
g_Pontibacter,10596,23,34.934143768780906,0.011841040950447941
g_Thermodesulfovibrio,1056,35,33.14393939393939,0.0112342453909955
g_Sphingobacterium,7167,13,32.21801935673385,0.010920401801470084
