genus,Length,Reads,RPK,percentage_rpk
unclassified,17916103,242509,278912.8660074221,56.62799536781606
g_unknown,2509242,33967,82809.8296002447,16.812973578951024
g_Parabacteroides,548240,14390,40058.77880129197,8.133179271620854
g_Blautia,2504116,16610,36417.45814343333,7.393877810567189
g_Bacteroides,2189705,10799,16023.644760271825,3.2532987604668504
g_Anaerotignum,48790,3962,10476.859581475293,2.1271286776467835
g_Caldilinea,3702,1582,8774.394628476146,1.7814752882841733
g_Lactobacillus,79515,1393,5343.5758349214,1.0849122593701024
g_Weissella,2436,585,2464.5897732571193,0.5003884555826014
g_Clostridium,287065,618,661.6455255686151,0.13433464111346774
g_Anaerophaga,150,89,593.3333333333334,0.12046513928359533
g_Bacillus,125294,285,374.3610959155564,0.07600695768847229
g_Streptococcus,68549,424,370.74810493051865,0.07527340803300665
g_Escherichia,276996,235,305.1233458991271,0.06194953881305896
g_Prevotella,155250,305,293.3530558773386,0.05955980348685154
g_Raoultella,273,71,260.07326007326003,0.052802968817973
g_Barnesiella,63862,139,237.58715640227655,0.0482375896988656
g_Ralstonia,22964,150,235.40151402257442,0.04779383624881794
g_Bradyrhizobium,73851,144,200.89174563113596,0.04078727885120123
g_Porphyromonas,30248,114,199.17554443667086,0.04043883657716205
g_Geosporobacter,1713,335,195.56333917104493,0.039705446447199304
g_Pseudomonas,121283,162,177.21401128373546,0.03597996160499971
g_Pantoea,13047,457,155.57445389472443,0.03158645773718639
g_Staphylococcus,52389,121,151.34086924603687,0.030726908246670032
g_Tannerella,127674,153,150.3930805383843,0.030534477630919273
g_Tyzzerella,1368,32,138.94645659351542,0.028210456595224493
g_Odoribacter,50946,133,126.34313452848107,0.02565158982893173
g_Mycoplasma,27081,49,118.6605058882074,0.024091777026884472
g_Mesorhizobium,46794,110,111.53684219837896,0.022645451512382214
g_Winogradskyella,6492,102,110.62402648723499,0.022460121503758822
g_Paeniclostridium,11010,37,109.9987713788456,0.022333175250298303
g_Draconibacterium,35280,75,99.33413830347638,0.02016792270732169
g_Maribacter,8856,57,94.61571905334687,0.019209936698054417
g_Acetoanaerobium,6222,48,94.00269294161197,0.019085473311647744
g_Hymenobacter,9333,43,91.65852832661785,0.018609534912464136
g_Acinetobacter,12651,40,91.4734204611056,0.018571952252686458
g_Ornithobacterium,43004,61,89.59053530672763,0.01818966794530923
g_Orthobunyavirus,1525,14,86.82051726963378,0.017627268043079035
g_Halobacillus,360,30,83.33333333333334,0.016919261135336424
g_Filifactor,9386,36,81.6494169052165,0.01657737367400772
g_Frischella,981,79,80.53007135575943,0.016350111678184433
g_Cutibacterium,114399,95,79.79060336590122,0.016199976653924832
g_Alistipes,100233,140,78.87818673524976,0.01601472767106624
g_Clostridioides,25869,74,78.68797018764214,0.015976107789771415
g_Flavobacterium,59235,77,73.80594411121601,0.014984904501092508
g_Fusobacterium,39648,56,73.76207918076383,0.014975998554536464
g_Paenibacillus,46956,69,71.11349705867012,0.01443825392379142
g_Serratia,21780,70,71.06283785100341,0.01442796852743035
g_Oenococcus,1512,102,67.46031746031746,0.013696544728605674
g_Paludibacter,18147,45,66.91843754239981,0.013586526234582756
g_Enterococcus,29397,84,65.19656072346861,0.013236931632074202
g_Lactococcus,13435,29,63.61533840828355,0.012915894272910554
g_Ruminococcus,11220,31,63.20148174032722,0.012831868484457514
g_Exiguobacterium,1260,45,62.96296296296297,0.01278344174669863
g_Aerococcus,14577,90,60.338759254350585,0.012250646692878658
g_Blattabacterium,1743,16,58.8129355571216,0.011940856977919837
g_Caldicellulosiruptor,20475,70,54.496983155796556,0.011064584269211426
g_Formosa,11439,32,52.30684178504105,0.010619917383910035
g_Carnobacterium,15066,33,52.18679506229646,0.01059554416170335
g_Cellulophaga,24273,51,51.02161186810597,0.010358975696907179
g_Listeria,23544,44,50.67652958183483,0.010288913249131974
g_Pedobacter,48078,63,50.43383111319917,0.010239637903916058
g_Thermoanaerobacter,20553,56,46.91003188203182,0.009524196951348641
g_Helicobacter,21858,40,45.615768647315306,0.009261421219596234
g_Carboxydothermus,1836,28,44.510338450746886,0.009036984473644706
g_Cellulosilyticum,21927,76,44.464972157240794,0.009027773703645842
g_Lachnoclostridium,18432,42,44.12046205178692,0.008957827426390608
g_Campylobacter,43971,56,43.62671392919401,0.008857581185335828
g_Borrelia,1596,34,43.3756061698548,0.008806598492295396
g_Spiroplasma,10860,35,40.47470993169861,0.008217626240536841
g_Brachyspira,21930,44,38.92605803263188,0.007903201689880304
g_Alkaliphilus,8526,28,36.97089447082102,0.007506242615505436
g_Chryseobacterium,23322,45,35.429733547050574,0.007193338966055254
g_Petrimonas,14244,30,35.08212614300647,0.0071227638407560705
g_Citrobacter,16431,43,34.91474242220035,0.007088779734170594
g_Chlorovirus,1695,57,33.6283185840708,0.006827595643994167
g_Gemmatimonas,2121,15,33.61623695321374,0.006825142696785232
g_Gottschalkia,3558,14,33.53094017686149,0.006807824795587958
g_Dokdonia,8562,32,33.410577268589996,0.006783387377875311
g_Lysinibacillus,12033,52,33.345284794527124,0.0067701309728492075
g_Bifidobacterium,4662,14,33.199805810140376,0.006740594209730692
g_Collimonas,6939,46,32.69202153678527,0.006637498193074947
g_Geobacter,12309,36,32.55263591810273,0.006609198572902943
g_Thiomicrospira,1320,42,31.818181818181817,0.006460081524401179
g_Roseburia,6207,21,30.557150587714915,0.006204052924144169
g_Bosea,1302,22,29.604596147347074,0.006010654716277677
g_Cedecea,10293,24,29.533900469147923,0.005996301292590584
g_Erysipelothrix,4812,29,28.679716848175477,0.005822875423701462
g_Mucilaginibacter,39948,45,28.25653368883928,0.005736956067130833
g_Capnocytophaga,19164,47,27.685605595255886,0.005621039889072786
g_Arsenophonus,4164,18,27.18805643062594,0.005520021918144276
g_Megamonas,14304,25,26.94707587399651,0.00547109536255045
g_Candidatus Azobacteroides,2186,9,26.594446850411124,0.005399500692143172
g_Echinicola,4239,33,26.2821178317989,0.00533608817743065
g_Heliobacillus,1287,33,25.641025641025642,0.005205926503180438
g_Owenweeksia,5646,18,25.588376469096087,0.0051952370821192135
g_Candidatus Pelagibacter,2646,47,25.367568925211074,0.0051504062761715
g_Riemerella,3897,22,24.97930706859901,0.005071577031280579
g_Actinomyces,1779,5,24.604117828781188,0.004995401934596825
g_Xenorhabdus,9366,20,24.41843551301924,0.0049577026435337415
g_Variovorax,7362,37,24.35622574601775,0.004945072124016942
g_Methanosarcina,18600,33,24.349451099322334,0.004943696659818469
g_Croceibacter,4983,32,23.530442890070074,0.004777412494646589
g_Vibrio,33804,27,23.334519646323304,0.004737633976365385
g_Acidovorax,23484,21,23.267571842992325,0.004724041487961457
g_Oceanobacillus,5460,9,22.874523679957655,0.004644240473851683
g_Veillonella,4626,30,22.78258487608081,0.004625574034276529
g_Pseudothermotoga,4371,19,22.31776905476014,0.004531201951147406
g_Tepidanaerobacter,11031,24,22.31498897124963,0.004530637507640697
g_Anabaena,2616,10,20.754050236361024,0.004213718346778594
g_Niabella,18132,30,20.718546174147264,0.004206509916779075
g_Gramella,6906,19,20.372154390317476,0.004136181600230061
g_Sphingobacterium,34239,26,20.19390468223292,0.004099991359929499
g_Melissococcus,2145,17,20.014945958272204,0.004063657167331845
g_Sulfurihydrogenibium,6768,31,19.442745674904202,0.003947482695139643
g_Nitrosopumilus,2280,17,19.34362418101591,0.003927357945868996
g_Alteromonas,10899,21,19.274687556805798,0.003913361664907402
g_Faecalibacterium,3837,24,19.148049525412397,0.0038876502018336838
