,kingdom,phylum,class,order,family,genus,species,list_form
1,Archaea,,,,,,Candidatus Pacearchaeota archaeon CG1_02_32_132,"['Archaea', 'Candidatus Pacearchaeota archaeon CG1_02_32_132']"
2,Archaea,,,,,,Candidatus Pacearchaeota archaeon CG1_02_39_14,"['Archaea', 'Candidatus Pacearchaeota archaeon CG1_02_39_14']"
3,Archaea,Euryarchaeota,,,,,uncultured marine group II/III euryarchaeote KM3_87_G01,"['Archaea', 'Euryarchaeota', 'uncultured marine group II/III euryarchaeote KM3_87_G01']"
4,Bacteria,,,,,,,['Bacteria']
5,Bacteria,,,,,,bacterium F082,"['Bacteria', 'bacterium F082']"
6,Bacteria,,,,,,bacterium P201,"['Bacteria', 'bacterium P201']"
7,Bacteria,,,,,,uncultured bacterium,"['Bacteria', 'uncultured bacterium']"
8,Bacteria,Acidobacteria,,,,,,"['Bacteria', 'Acidobacteria']"
9,Bacteria,Acidobacteria,,,,,Acidobacteria bacterium Mor1,"['Bacteria', 'Acidobacteria', 'Acidobacteria bacterium Mor1']"
10,Bacteria,Acidobacteria,,,,,Acidobacteria bacterium RIFCSPLOWO2_12_FULL_60_22,"['Bacteria', 'Acidobacteria', 'Acidobacteria bacterium RIFCSPLOWO2_12_FULL_60_22']"
11,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,Microthrixaceae,Candidatus Microthrix,Candidatus Microthrix parvicella,"['Bacteria', 'Actinobacteria', 'Acidimicrobiia', 'Acidimicrobiales', 'Microthrixaceae', 'Candidatus Microthrix', 'Candidatus Microthrix parvicella']"
12,Bacteria,Actinobacteria,Actinobacteria,,,,,"['Bacteria', 'Actinobacteria', 'Actinobacteria']"
13,Bacteria,Actinobacteria,Actinobacteria,,,,Actinobacteria bacterium 66_15,"['Bacteria', 'Actinobacteria', 'Actinobacteria', 'Actinobacteria bacterium 66_15']"
14,Bacteria,Actinobacteria,Actinobacteria,,,,Actinobacteria bacterium BACL15 MAG-120619-bin91,"['Bacteria', 'Actinobacteria', 'Actinobacteria', 'Actinobacteria bacterium BACL15 MAG-120619-bin91']"
15,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,,"['Bacteria', 'Actinobacteria', 'Actinobacteria', 'Actinomycetales', 'Actinomycetaceae', 'Actinomyces']"
16,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces odontolyticus,"['Bacteria', 'Actinobacteria', 'Actinobacteria', 'Actinomycetales', 'Actinomycetaceae', 'Actinomyces', 'Actinomyces odontolyticus']"
17,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces urogenitalis,"['Bacteria', 'Actinobacteria', 'Actinobacteria', 'Actinomycetales', 'Actinomycetaceae', 'Actinomyces', 'Actinomyces urogenitalis']"
18,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Varibaculum,Varibaculum cambriense,"['Bacteria', 'Actinobacteria', 'Actinobacteria', 'Actinomycetales', 'Actinomycetaceae', 'Varibaculum', 'Varibaculum cambriense']"
19,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium longum,"['Bacteria', 'Actinobacteria', 'Actinobacteria', 'Bifidobacteriales', 'Bifidobacteriaceae', 'Bifidobacterium', 'Bifidobacterium longum']"
20,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,,"['Bacteria', 'Actinobacteria', 'Actinobacteria', 'Corynebacteriales', 'Corynebacteriaceae', 'Corynebacterium']"
21,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium glyciniphilum,"['Bacteria', 'Actinobacteria', 'Actinobacteria', 'Corynebacteriales', 'Corynebacteriaceae', 'Corynebacterium', 'Corynebacterium glyciniphilum']"
22,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium kroppenstedtii,"['Bacteria', 'Actinobacteria', 'Actinobacteria', 'Corynebacteriales', 'Corynebacteriaceae', 'Corynebacterium', 'Corynebacterium kroppenstedtii']"
23,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium matruchotii,"['Bacteria', 'Actinobacteria', 'Actinobacteria', 'Corynebacteriales', 'Corynebacteriaceae', 'Corynebacterium', 'Corynebacterium matruchotii']"
24,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium,Mycobacterium tuberculosis,"['Bacteria', 'Actinobacteria', 'Actinobacteria', 'Corynebacteriales', 'Mycobacteriaceae', 'Mycobacterium', 'Mycobacterium tuberculosis']"
25,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Nocardiaceae,Rhodococcus,Rhodococcus qingshengii,"['Bacteria', 'Actinobacteria', 'Actinobacteria', 'Corynebacteriales', 'Nocardiaceae', 'Rhodococcus', 'Rhodococcus qingshengii']"
26,Bacteria,Actinobacteria,Actinobacteria,Glycomycetales,Glycomycetaceae,Glycomyces,Glycomyces arizonensis,"['Bacteria', 'Actinobacteria', 'Actinobacteria', 'Glycomycetales', 'Glycomycetaceae', 'Glycomyces', 'Glycomyces arizonensis']"
27,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,,,,"['Bacteria', 'Actinobacteria', 'Actinobacteria', 'Micrococcales']"
28,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Brevibacteriaceae,Brevibacterium,Brevibacterium casei,"['Bacteria', 'Actinobacteria', 'Actinobacteria', 'Micrococcales', 'Brevibacteriaceae', 'Brevibacterium', 'Brevibacterium casei']"
29,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Cellulomonadaceae,Cellulomonas,Cellulomonas timonensis,"['Bacteria', 'Actinobacteria', 'Actinobacteria', 'Micrococcales', 'Cellulomonadaceae', 'Cellulomonas', 'Cellulomonas timonensis']"
30,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Dermabacteraceae,Brachybacterium,Brachybacterium faecium,"['Bacteria', 'Actinobacteria', 'Actinobacteria', 'Micrococcales', 'Dermabacteraceae', 'Brachybacterium', 'Brachybacterium faecium']"
31,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Microbacterium,,"['Bacteria', 'Actinobacteria', 'Actinobacteria', 'Micrococcales', 'Microbacteriaceae', 'Microbacterium']"
32,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Yonghaparkia,,"['Bacteria', 'Actinobacteria', 'Actinobacteria', 'Micrococcales', 'Microbacteriaceae', 'Yonghaparkia']"
33,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Micrococcaceae,,,"['Bacteria', 'Actinobacteria', 'Actinobacteria', 'Micrococcales', 'Micrococcaceae']"
34,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Micrococcaceae,Kocuria,,"['Bacteria', 'Actinobacteria', 'Actinobacteria', 'Micrococcales', 'Micrococcaceae', 'Kocuria']"
35,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Micrococcaceae,Kocuria,Kocuria palustris,"['Bacteria', 'Actinobacteria', 'Actinobacteria', 'Micrococcales', 'Micrococcaceae', 'Kocuria', 'Kocuria palustris']"
36,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Micrococcaceae,Micrococcus,,"['Bacteria', 'Actinobacteria', 'Actinobacteria', 'Micrococcales', 'Micrococcaceae', 'Micrococcus']"
37,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Micrococcaceae,Rothia,,"['Bacteria', 'Actinobacteria', 'Actinobacteria', 'Micrococcales', 'Micrococcaceae', 'Rothia']"
