taxa,reads
g__Achromobacter.s__Achromobacter_piechaudii,2
g__Acidovorax.s__Acidovorax_avenae,1
g__Acidovorax.s__Acidovorax_delafieldii,1
g__Acidovorax.s__Acidovorax_sp_KKS102,8
g__Acidovorax.s__Acidovorax_sp_NO_1,12
g__Acinetobacter.s__Acinetobacter_baumannii,2
g__Acinetobacter.s__Acinetobacter_johnsonii,4
g__Acinetobacter.s__Acinetobacter_junii,1
g__Acinetobacter.s__Acinetobacter_radioresistens,2
g__Acinetobacter.s__Acinetobacter_sp_NIPH_284,1
g__Acinetobacter.s__Acinetobacter_sp_P8_3_8,1651
g__Acinetobacter.s__Acinetobacter_tandoii,4
g__Acinetobacter.s__Acinetobacter_tjernbergiae,1
g__Acinetobacter.s__Acinetobacter_venetianus,1
g__Actinobacteria_noname.s__actinobacterium_SCGC_AAA278_O22,1
g__Actinomyces.s__Actinomyces_naeslundii,3
g__Actinomyces.s__Actinomyces_odontolyticus,61
g__Actinomyces.s__Actinomyces_oris,1
g__Actinomyces.s__Actinomyces_sp_oral_taxon_170,1
g__Actinomyces.s__Actinomyces_sp_oral_taxon_175,3
g__Actinomyces.s__Actinomyces_sp_oral_taxon_849,1
g__Actinomyces.s__Actinomyces_sp_oral_taxon_877,1
g__Actinomyces.s__Actinomyces_turicensis,4
g__Actinomyces.s__Actinomyces_viscosus,10
g__Aeromonas.s__Aeromonas_hydrophila,1
g__Aeromonas.s__Aeromonas_media,4
g__Aeromonas.s__Aeromonas_salmonicida,1
g__Aeromonas.s__Aeromonas_veronii,1
g__Afipia.s__Afipia_birgiae,29
g__Aggregatibacter.s__Aggregatibacter_actinomycetemcomitans,2
g__Agromyces.s__Agromyces_subbeticus,2
g__Alicycliphilus.s__Alicycliphilus_denitrificans,37
g__Anaerostipes.s__Anaerostipes_caccae,8282
g__Anaerotruncus.s__Anaerotruncus_colihominis,2
g__Anaerotruncus.s__Anaerotruncus_sp_G3_2012,1
g__Aspergillus.s__Aspergillus_clavatus,1
g__Asticcacaulis.s__Asticcacaulis_excentricus,8
g__Asticcacaulis.s__Asticcacaulis_sp_YBE204,2
g__Azospirillum.s__Azospirillum_brasilense,1
g__Azospirillum.s__Azospirillum_lipoferum,1
g__Bacillus.s__Bacillus_alcalophilus,2
g__Bacillus.s__Bacillus_coagulans,5
g__Bacillus.s__Bacillus_licheniformis,3
g__Bacillus.s__Bacillus_sp_BT1B_CT2,1
g__Bacillus.s__Bacillus_sp_FJAT_13831,1
g__Bacillus.s__Bacillus_sp_WBUNB004,1
g__Bacillus.s__Bacillus_subtilis,2
g__Bacteroides.s__Bacteroides_caccae,16184
g__Bacteroides.s__Bacteroides_coprocola,6609
g__Bacteroides.s__Bacteroides_fragilis,29
g__Bacteroides.s__Bacteroides_intestinalis,25
g__Bacteroides.s__Bacteroides_ovatus,60
g__Bacteroides.s__Bacteroides_plebeius,149
g__Bacteroides.s__Bacteroides_salyersiae,4
g__Bacteroides.s__Bacteroides_sp_1_1_14,2
g__Bacteroides.s__Bacteroides_sp_1_1_30,2
g__Bacteroides.s__Bacteroides_sp_1_1_6,1
g__Bacteroides.s__Bacteroides_sp_2_1_16,115
g__Bacteroides.s__Bacteroides_sp_2_1_22,21983
g__Bacteroides.s__Bacteroides_sp_2_1_33B,9874
g__Bacteroides.s__Bacteroides_sp_2_1_56FAA,3
g__Bacteroides.s__Bacteroides_sp_2_1_7,24
g__Bacteroides.s__Bacteroides_sp_2_2_4,5
g__Bacteroides.s__Bacteroides_sp_3_1_19,12
g__Bacteroides.s__Bacteroides_sp_3_1_23,1
g__Bacteroides.s__Bacteroides_sp_3_1_33FAA,1344
g__Bacteroides.s__Bacteroides_sp_4_1_36,2
g__Bacteroides.s__Bacteroides_sp_D1,3
g__Bacteroides.s__Bacteroides_sp_D2,2
g__Bacteroides.s__Bacteroides_sp_D22,1
g__Bacteroides.s__Bacteroides_sp_HPS0048,2
g__Bacteroides.s__Bacteroides_stercoris,1
g__Bacteroides.s__Bacteroides_thetaiotaomicron,2
g__Bacteroides.s__Bacteroides_uniformis,35
g__Bacteroides.s__Bacteroides_vulgatus,14
g__Bacteroides.s__Bacteroides_xylanisolvens,4
g__Barnesiella.s__Barnesiella_intestinihominis,389
g__Blattabacterium.s__Blattabacterium_sp_Nauphoeta_cinerea,51
g__Blautia.s__Blautia_hansenii,44
g__Blautia.s__Blautia_producta,385
g__Blautia.s__Blautia_sp_KLE_1732,1
g__Blautia.s__Ruminococcus_gnavus,228
g__Blautia.s__Ruminococcus_obeum,996
g__Blautia.s__Ruminococcus_torques,5135
g__Bordetella.s__Bordetella_pertussis,1
g__Bordetella.s__Bordetella_petrii,4
g__Botryotinia.s__Botryotinia_fuckeliana,1
g__Brachybacterium.s__Brachybacterium_faecium,1
g__Brachybacterium.s__Brachybacterium_paraconglomeratum,7
g__Brachybacterium.s__Brachybacterium_squillarum,1
g__Brachyspira.s__Brachyspira_innocens,2
g__Brachyspira.s__Brachyspira_pilosicoli,1
g__Bradyrhizobium.s__Bradyrhizobium_diazoefficiens,5
g__Bradyrhizobium.s__Bradyrhizobium_elkanii,22
g__Bradyrhizobium.s__Bradyrhizobium_japonicum,12
g__Bradyrhizobium.s__Bradyrhizobium_oligotrophicum,2
g__Bradyrhizobium.s__Bradyrhizobium_sp,4
