GeneID,Taxonomy,Length,Reads,EC#,RPK
gi|423332908|ref|NZ_JH976496.1|:1-433|823|g__Parabacteroides.s__Parabacteroides_distasonis|UniRef90_K5ZEM5|UniRef50_K5ZEM5,root;k_Bacteria;p_;c_;o_;f_;g_;s_uncultured bacterium,433,42804,0.0.0.0,98854.50346420324
gi|550260673|ref|NZ_KI440779.1|:146983-147156|1099853|g__Coprobacter.s__Coprobacter_fastidiosus|UniRef90_U5CR87|UniRef50_U5CR87,root;k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Tannerellaceae;g_Parabacteroides,174,3227,0.0.0.0,18545.977011494255
gi|223954455|ref|NZ_DS981451.1|:c548-153|310298|g__Bacteroides.s__Bacteroides_coprocola|UniRef90_unknown|UniRef50_unknown,root;k_Bacteria;p_;c_;o_;f_;g_;s_uncultured bacterium,396,5248,0.0.0.0,13252.525252525253
gi|265758149|ref|NZ_GG705247.1|:368-826|457391|g__Bacteroides.s__Bacteroides_sp_3_1_33FAA|UniRef90_unknown|UniRef50_V8CH43,root;k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Bacteroidaceae;g_Bacteroides;s_Bacteroides dorei,459,5608,0.0.0.0,12217.864923747276
gi|223667651|ref|NZ_DS264471.1|:c3968-3819|46503|g__Parabacteroides.s__Parabacteroides_merdae|UniRef90_A7AJP9|UniRef50_A5ZBN0,unclassified,150,1418,0.0.0.0,9453.333333333334
gi|224010945|ref|XM_002294394.1||35128|g__Thalassiosira.s__Thalassiosira_pseudonana|UniRef90_B8CEF3|UniRef50_G4UHZ3,unclassified,210,1617,0.0.0.0,7700.0
gi|211596901|ref|NZ_DS264355.1|:c1684-1436|33039|g__Blautia.s__Ruminococcus_torques|UniRef90_A5KRH1|UniRef50_A6P1U3,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,249,1629,0.0.0.0,6542.168674698795
gi|148986346|ref|NZ_AAZZ01000021.1|:c1282-1037|1313|g__Streptococcus.s__Streptococcus_mitis_oralis_pneumoniae|UniRef90_U3YS68|UniRef50_Z9JYL9,unclassified,246,1552,0.0.0.0,6308.943089430894
gi|354586036|ref|NZ_AGIP01000025.1|:1-225|228574|g__Paenibacillus.s__Paenibacillus_lactis|UniRef90_G4HPA0|UniRef50_G4HPA0,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,225,956,0.0.0.0,4248.888888888889
gi|549283107|emb|CAMC01000115.1|:c538-416|1496|g__Peptostreptococcaceae_noname.s__Clostridium_difficile|UniRef90_U3YNI1|UniRef50_U3YNI1,unclassified,123,514,0.0.0.0,4178.861788617886
gi|423721761|ref|NZ_JH976524.1|:c198-1|46503|g__Parabacteroides.s__Parabacteroides_merdae|UniRef90_K6B5C7|UniRef50_K6B5C7,root;k_Bacteria;p_;c_;o_;f_;g_;s_uncultured bacterium,198,683,0.0.0.0,3449.494949494949
gi|520917857|ref|NZ_KE360606.1|:976-1138|83554|g__Chlamydia.s__Chlamydia_psittaci|UniRef90_S7K4H7|UniRef50_S7K4H7,unclassified,163,355,0.0.0.0,2177.9141104294476
gi|331640214|ref|NZ_GL890571.1|:c1035080-1035012|658088|g__Lachnospiraceae_noname.s__Lachnospiraceae_bacterium_9_1_43BFAA|UniRef90_F3AKP7|UniRef50_F3AKP7,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,69,141,0.0.0.0,2043.478260869565
