uniref,ec
UNMAPPED,0
UniRef90_unknown,0
UniRef90_A7ACF2,0
UniRef90_S0GJR7,0
UniRef90_B5CUP9,0
UniRef90_D1KAJ3,0
UniRef90_D0TKA0,0
UniRef90_A5ZQM1,0
UniRef90_UPI000156FA79,0
UniRef90_A7AJP8,0
UniRef90_R9J210,0
UniRef90_K0WTB3,0
UniRef90_N2B405,0
UniRef90_A5ZLI4,0
UniRef90_V1EAX6,0
UniRef90_B3C522,0
UniRef90_E0XVH4,0
UniRef90_UPI00015BEA70,0
UniRef90_A8RZB5,0
UniRef90_N1ZD63,0
UniRef90_S7K4H7,0
UniRef90_G9S8W7,0
UniRef90_D4CI29,0
UniRef90_N2ASE1,0
UniRef90_UPI0001DE5DFE,0
UniRef90_A0A015S3B6,0
UniRef90_N2BCN4,0
UniRef90_D4VKI7,2.7.7.49
UniRef90_Q4YHT4,0
UniRef90_A7B8Q0,0
UniRef90_K5ZQ95,0
UniRef90_Q4YA27,0
UniRef90_UPI0001532979,0
UniRef90_W8YEK8,0
UniRef90_Q4YHX4,0
UniRef90_A0A023KWQ1,0
UniRef90_B1QRR6,0
UniRef90_Q4YHF0,0
UniRef90_Q4YI61,0
UniRef90_A7AJP9,0
UniRef90_B0NWG2,0
UniRef90_G5SMU9,0
UniRef90_A7SPZ4,0
UniRef90_K5Y8F0,0
UniRef90_UPI00019656B7,0
UniRef90_D9UEL3,0
UniRef90_K6A2A2,0
UniRef90_N1ZJP8,0
UniRef90_N1ZTH6,1.97.1.4
UniRef90_K5ZF52,1.16.3.2
UniRef90_UPI00019660E0,0
UniRef90_N1ZMM0,0
UniRef90_A7VEM4,0
UniRef90_UPI00029B13CF,0
UniRef90_K5ZU07,0
UniRef90_A1AII0,0
UniRef90_N2B3F1,0
UniRef90_X3F781,0
UniRef90_UPI000156186B,0
UniRef90_K7F1M8,0
UniRef90_K6A8M1,0
UniRef90_N1ZLM4,0
UniRef90_D6SEF8,0
UniRef90_K5ZGT5,0
UniRef90_Q7R6V5,0
UniRef90_N1ZD44,0
UniRef90_E5E781,0
UniRef90_Q4YA17,0
UniRef90_Q4YHW5,0
UniRef90_K5Z1A3,0
UniRef90_V2RK85,0
UniRef90_Q7R7S4,0
UniRef90_K5ZUN2,0
UniRef90_Q5L7N5,4.1.1.49
UniRef90_N1ZDV0,0
UniRef90_A7B6K6,0
UniRef90_R0CI69,0
UniRef90_N1ZJP4,0
UniRef90_W1YU10,0
UniRef90_UPI0001FD331E,0
UniRef90_N1Z5G6,0
UniRef90_R6X5K9,0
UniRef90_B0NEX9,0
UniRef90_N1ZMZ6,0
UniRef90_K5YTH8,0
UniRef90_A6LE88,0
UniRef90_K5YVQ6,0
UniRef90_A0A009X8S5,0
UniRef90_G6AJF3,0
UniRef90_A6LEI5,0
UniRef90_W8YNF3,0
UniRef90_N1ZLN7,0
UniRef90_W1WT70,0
UniRef90_Q4YJU8,0
UniRef90_A6LEH4,0
UniRef90_H4BMF2,0
UniRef90_N1ZHD5,0
UniRef90_K5Y132,0
UniRef90_K6AQ86,0
UniRef90_R6WQ56,0
UniRef90_Q7R7L8,0
UniRef90_K5Z9T8,0
UniRef90_N1ZB99,2.8.3.8
UniRef90_T1DKC0,0
UniRef90_Q59199,1.2.1.12
UniRef90_Q4YI79,0
UniRef90_N1ZRS8,0
UniRef90_K6A0T5,0
UniRef90_K5ZGY8,0
UniRef90_N1ZS05,0
UniRef90_N2B6W2,0
UniRef90_A5ZYV5,0
UniRef90_Q4X813,0
UniRef90_N2AQH5,0
UniRef90_Q4YK64,0
UniRef90_N2B6Q5,0
UniRef90_A5ZQM3,0
UniRef90_Q7R7M0,0
UniRef90_N1ZDH6,0
UniRef90_K6ALG1,0
UniRef90_V2QF42,0
UniRef90_K6AYR2,5.2.1.8
UniRef90_N1ZHM2,0
UniRef90_N1Z1T4,0
UniRef90_R6S803,0
UniRef90_K6A3N1,0
UniRef90_R6IBF4,0
UniRef90_X2PD96,0
UniRef90_K5YUI7,0
UniRef90_K5ZDQ1,0
UniRef90_L2CS94,0
UniRef90_R6XBD7,0
UniRef90_V2QDT2,0
UniRef90_K5ZTE6,0
UniRef90_C1BRN8,0
UniRef90_K5YZ96,0
UniRef90_K5ZPH1,0
UniRef90_A0A026VT83,0
UniRef90_W1I8G9,0
UniRef90_K5YJ12,0
UniRef90_K6A1B7,0
UniRef90_N1ZAM0,0
UniRef90_N1ZAM5,0
UniRef90_Q4YHQ3,0
UniRef90_Q4YJ71,0
UniRef90_A5ZYV6,0
UniRef90_A7VJ92,0
UniRef90_E1IKK1,0
UniRef90_K5ZTE3,0
UniRef90_K5ZMM1,0
UniRef90_A8SIA6,0
UniRef90_N2BGZ1,0
UniRef90_A7VD49,0
UniRef90_Q7R7D8,0
UniRef90_K6A2W8,0
UniRef90_N2BJ19,0
UniRef90_A6LEI8,0
UniRef90_K5ZYN1,0
UniRef90_A6BKY9,0
UniRef90_Q9QUJ6,0
UniRef90_R6X568,0
UniRef90_Q4X778,0
UniRef90_Q4YHQ2,0
UniRef90_A6LI78,0
UniRef90_K5Z513,0
UniRef90_Q4YHX5,0
UniRef90_E5VPR3,0
UniRef90_A5KRL1,0
UniRef90_A6LEG5,2.7.7.6
UniRef90_A6L9B8,0
UniRef90_N1ZDJ1,0
UniRef90_K5ZVN3,0
UniRef90_K6AGA7,0
UniRef90_N1Z9E8,0
UniRef90_N1ZQZ4,2.7.2.3
UniRef90_K5ZDK4,0
UniRef90_W2CMU2,0
UniRef90_K5YIZ7,0
UniRef90_N2B1J4,0
UniRef90_A5ZYV3,0
UniRef90_A5KR91,0
UniRef90_K5YUH8,0
UniRef90_UPI0001871175,0
UniRef90_A5Z324,0
UniRef90_A0A016JHV3,0
UniRef90_Q4YH89,0
UniRef90_N2B963,0
UniRef90_N1ZM68,0
UniRef90_N2BCA3,0
UniRef90_A6LEH9,0
UniRef90_P03631,6.5.1.1
UniRef90_A6LE84,0
UniRef90_Q4XDB9,0
UniRef90_A5ZYU0,0
UniRef90_G7SQ06,0
UniRef90_K5ZHI4,0
UniRef90_K6A913,0
UniRef90_K6AUL6,0
UniRef90_G1Q1K5,0
UniRef90_R6XD50,0
UniRef90_E0MU53,0
UniRef90_K6A6P6,0
UniRef90_S0GEK8,0
UniRef90_K5ZYR5,0
UniRef90_UPI000185C9BD,0
UniRef90_A6LER8,0
UniRef90_D5GZ89,0
UniRef90_K5ZSB6,0
UniRef90_K6AMX5,0
UniRef90_UPI0001DA96E4,0
UniRef90_N2AYB4,0
UniRef90_F1YWH0,0
UniRef90_Q4YD76,0
UniRef90_G1Q6C2,0
UniRef90_N1ZHK7,0
UniRef90_Q4X6X1,0
UniRef90_T0NDH0,0
UniRef90_N1Z1T6,0
UniRef90_K5ZYD5,0
UniRef90_N2AX12,0
UniRef90_K6AX53,0
UniRef90_K6AGG3,0
UniRef90_V2Q9Q5,0
